"India/State/ UT",Gross Enrolment Ratio (GER)  – Scheduled Tribes,,,,,,,,,,,,,,
"",Primary (1 to 5),Upper Primary (6 to 8),Elementary (1 to 8),Secondary (9-10),Higher Secondary (11-12),,,,,,,,,,
"",Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16)
India,106.8,106.6,106.7,96.1,95.4,95.8,102.9,102.5,102.7,77.9,79.3,78.6,43.8,46.5,45.2
Andaman and Nicobar Islands,87.1,99.1,92.6,99.4,116.5,107.4,91.7,105.6,98.1,80.6,88.1,84.1,37.8,52.2,44.6
Andhra Pradesh,114.9,115.9,115.4,100.3,99.2,99.8,109.6,109.8,109.7,77.2,80.6,78.8,50.8,54.5,52.6
Arunachal Pradesh,121.2,126.6,123.8,81.5,87.9,84.7,104.4,109.8,107.1,67.0,71.4,69.2,44.3,48.5,46.4
Assam,123.8,131.0,127.3,101.9,105.8,103.8,115.0,120.7,117.8,88.0,91.3,89.6,46.4,43.7,45.1
Bihar,197.4,193.7,195.6,143.3,147.7,145.5,177.5,176.2,176.9,124.5,130.8,127.6,71.9,74.2,73.0
Chandigarh,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Chhattisgarh,93.6,93.4,93.5,89.9,88.9,89.4,92.3,91.8,92.1,74.9,84.1,79.4,46.6,57.9,52.3
"Daman and Diu andDadra and Nagar Haveli",71.6,77.3,74.3,71.4,75.4,73.3,71.5,76.5,73.9,56.2,59.4,57.7,36.5,48.1,42.0
Delhi,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Goa,64.3,67.6,65.9,66.1,72.6,69.2,65.0,69.6,67.2,80.2,84.2,82.1,73.1,78.6,75.9
Gujarat,96.6,96.8,96.7,95.2,92.2,93.7,96.1,95.1,95.6,81.0,77.5,79.3,34.5,41.4,37.8
Haryana,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Himachal Pradesh,99.6,104.0,101.7,93.5,95.8,94.6,97.2,100.7,98.9,100.1,97.1,98.6,84.2,86.6,85.4
Jammu and Kashmir,116.4,114.2,115.3,67.2,69.6,68.4,94.7,95.5,95.1,55.8,50.0,53.2,41.2,32.2,37.1
Jharkhand,105.8,106.6,106.2,82.2,85.3,83.7,96.8,98.2,97.5,52.9,57.2,55.1,31.9,34.6,33.2
Karnataka,106.3,105.1,105.7,103.0,102.5,102.7,105.1,104.1,104.6,87.1,84.3,85.7,45.1,49.7,47.3
Kerala,95.6,97.1,96.3,95.3,90.7,93.0,95.5,94.6,95.1,107.5,101.6,104.6,80.5,92.2,86.2
Ladakh,80.0,85.2,82.5,63.1,74.4,68.4,73.4,81.0,77.0,57.0,65.6,61.2,44.6,58.8,51.5
Lakshadweep,79.1,80.9,80.0,64.2,50.7,57.1,73.5,68.3,70.9,80.0,77.6,78.8,72.7,65.1,68.8
Madhya Pradesh,91.1,88.3,89.7,96.7,89.3,93.0,93.0,88.6,90.8,63.8,60.3,62.1,32.7,34.6,33.7
Maharashtra,104.2,105.9,105.0,99.1,100.5,99.7,102.3,103.8,103.0,93.1,91.0,92.1,51.3,48.7,50.1
Manipur,128.1,136.2,131.9,65.9,72.1,68.9,100.9,108.0,104.3,52.2,56.0,54.1,39.8,41.0,40.4
Meghalaya,181.9,187.3,184.5,107.1,123.0,115.0,150.9,160.3,155.5,76.8,97.0,86.8,36.8,46.6,41.7
Mizoram,150.4,148.8,149.7,107.4,108.6,108.0,132.4,132.0,132.2,88.4,99.3,93.8,53.3,58.4,55.8
Nagaland,89.7,94.7,92.1,65.1,71.8,68.3,79.1,84.8,81.8,55.0,63.2,58.9,31.5,36.1,33.8
Odisha,97.6,95.7,96.6,102.0,100.6,101.3,99.1,97.4,98.3,88.1,89.2,88.6,36.8,40.3,38.5
Puducherry,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Punjab,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Rajasthan,110.7,110.3,110.5,99.4,93.2,96.4,106.7,104.3,105.6,87.7,81.7,84.8,60.4,57.1,58.8
Sikkim,109.7,94.5,102.2,80.0,82.5,81.3,96.2,89.0,92.7,84.6,98.5,91.5,52.3,67.0,59.7
Tamil Nadu,111.6,112.1,111.8,109.3,107.6,108.5,110.8,110.4,110.6,109.9,112.9,111.3,66.6,78.7,72.3
Telangana,105.2,101.9,103.6,100.3,98.1,99.2,103.3,100.4,102.0,86.1,88.4,87.2,62.7,71.1,66.6
Tripura,118.5,122.8,120.6,85.5,87.2,86.3,104.1,107.3,105.7,67.8,76.2,71.9,34.9,40.0,37.3
Uttar Pradesh,158.5,160.9,159.6,147.7,150.7,149.2,154.9,157.5,156.2,105.7,101.6,103.7,66.6,65.5,66.1
Uttarakhand,105.5,110.4,107.8,87.9,91.1,89.4,98.1,102.2,100.1,80.2,82.6,81.4,62.5,69.8,66.1
West Bengal,120.5,120.3,120.4,96.8,98.9,97.8,111.4,112.0,111.7,79.5,96.6,87.8,42.5,46.3,44.4
