State,Gender Parity Index (GPI) of GER,,,,
"","Primary
(1 to 5)","Upper
Primary
(6-8)",Elementary (1-8),"Secondary
(9-10)","Higher
Secondary
(11-12)"
(1),(2),(3),(4),(5),(6)
India,1.02,1.01,1.02,0.99,1.03
Andaman and Nicobar Islands,1.05,1.06,1.05,1.03,1.31
Andhra Pradesh,0.98,0.96,0.97,0.98,1.06
Arunachal Pradesh,1.03,1.09,1.05,1.10,1.12
Assam,1.05,1.10,1.07,1.19,1.05
Bihar,1.02,1.06,1.03,1.07,1.03
Chandigarh,1.12,1.12,1.12,1.12,1.21
Chhattisgarh,1.00,1.01,1.00,1.07,1.21
"Daman and Diu and
Dadra and Nagar Haveli",1.06,1.05,1.05,1.13,1.68
Delhi,1.06,1.04,1.05,1.03,1.11
Goa,1.05,1.04,1.04,0.99,1.13
Gujarat,1.05,1.00,1.03,0.90,1.01
Haryana,1.00,0.99,1.00,0.96,1.04
Himachal Pradesh,1.01,1.02,1.02,0.99,1.07
Jammu and Kashmir,1.02,1.06,1.04,1.01,0.96
Jharkhand,1.00,1.04,1.01,1.07,1.03
Karnataka,1.00,0.99,1.00,0.98,1.13
Kerala,1.00,1.00,1.00,0.99,1.09
Ladakh,1.07,1.18,1.11,1.17,1.32
Lakshadweep,1.03,0.80,0.93,0.98,0.91
Madhya Pradesh,1.00,0.98,0.99,0.94,1.00
Maharashtra,1.03,0.99,1.01,0.97,1.00
Manipur,1.04,1.04,1.04,1.03,0.98
Meghalaya,1.03,1.15,1.07,1.25,1.25
Mizoram,0.99,1.01,1.00,1.13,1.11
Nagaland,1.05,1.10,1.07,1.15,1.16
Odisha,0.99,0.98,0.99,0.98,1.07
Puducherry,1.02,1.01,1.01,1.07,1.17
Punjab,0.99,1.01,1.00,0.98,1.04
Rajasthan,1.02,0.95,0.99,0.89,0.89
Sikkim,0.93,1.02,0.97,1.10,1.28
Tamil Nadu,1.01,0.99,1.01,1.00,1.17
Telangana,1.01,0.99,1.00,1.01,1.08
Tripura,1.04,1.03,1.04,1.11,1.12
Uttar Pradesh,1.05,1.03,1.04,0.90,0.93
Uttarakhand,1.03,1.02,1.03,1.00,1.09
West Bengal,1.00,1.04,1.02,1.23,1.20
