"India/State/ UT",% of Schools with CWSN friendly toilet,% of Schools with functional CWSN friendly toilet,,,,,,,,
"","Allmanagement",Govt.,Govt. aided,Pvt. unaided,Others,"Allmanagement",Govt.,Govt. aided,Pvt. unaided,Others
(1),(17),(18),(19),(20),(21),(22),(23),(24),(25),(26)
India,25.25,24.83,24.52,28.22,15.25,24.25,23.73,23.8,27.39,14.64
Andaman and Nicobar Islands,23.98,25.15,0,19.18,0,23.74,24.85,0,19.18,0
Andhra Pradesh,8.35,6.78,3.21,13.53,9.12,7.66,6.02,3.02,12.92,9.12
Arunachal Pradesh,6.34,4.87,13.43,13.91,11.76,5.55,3.92,13.43,13.91,11.76
Assam,17.49,21.36,5.32,15.29,3.12,16.94,20.8,4.7,14.59,2.73
Bihar,14.66,13.1,15.24,23.69,19.68,14.3,12.76,14.97,23.16,19.26
Chandigarh,68.26,76.86,71.43,73.33,14.81,68.26,76.86,71.43,73.33,14.81
Chhattisgarh,74.39,77.16,51.4,58.11,45.54,69.84,72.06,50.23,56.95,44.27
"Daman and Diu andDadra and Nagar Haveli",79.12,88.21,50,23.81,100,78.29,87.22,50,23.81,100
Delhi,99.59,99.64,96.8,99.81,0,99.59,99.64,96.8,99.81,0
Goa,4.12,2.31,5.75,8.7,0,3.85,1.95,5.56,8.7,0
Gujarat,32.81,43.49,14.36,13.35,0,32.64,43.24,14.34,13.32,0
Haryana,41.35,57.6,17.65,15.87,13.38,40.16,55.98,17.65,15.32,13.38
Himachal Pradesh,23.38,21.6,0,33.35,0,22.6,20.8,0,32.62,0
Jammu and Kashmir,3.83,1.66,100,12.52,15.04,3.62,1.47,100,12.18,15.04
Jharkhand,3.81,2.72,3.66,15.69,6.93,3.54,2.53,3.4,15.3,6.26
Karnataka,15.84,11.94,14.59,26.04,5.88,14.51,10.57,13.39,24.77,0
Kerala,22.5,41,14.96,14.13,11.37,21.03,37.31,14.38,13.79,10.88
Ladakh,29.64,33.44,0,6.25,0,29.26,33.01,0,6.25,0
Lakshadweep,26.67,26.67,0,0,0,26.67,26.67,0,0,0
Madhya Pradesh,7.02,3.85,9.06,17.14,3.82,6.7,3.63,8.67,16.47,3.65
Maharashtra,48.12,46.77,46.24,54.8,50.49,44.9,42.24,44.9,53.63,49.51
Manipur,7.52,4,2.05,19.77,12.27,7.14,3.58,1.71,19.47,11.66
Meghalaya,2.46,2.33,2.49,3.12,1.29,2.23,2.01,2.42,2.89,1.29
Mizoram,18.11,25.65,6.93,2.95,9.3,14.65,20.56,6.06,2.76,6.98
Nagaland,4.82,5.27,0,3.63,0,4.41,4.76,0,3.5,0
Odisha,59.8,63.08,39.13,57.22,43.5,58.75,61.93,38.47,56.64,42.2
Puducherry,37.65,45.73,18.18,27.97,0,36.98,44.55,18.18,27.97,0
Punjab,100,100,100,100,100,100,100,100,100,100
Rajasthan,19.12,9.65,0,37.56,14.21,17.56,8.76,0,34.74,12.24
Sikkim,10.77,13.16,5.26,5.85,0,9.82,11.87,5.26,5.6,0
Tamil Nadu,32.3,40.12,10.06,24.21,17.72,32.3,40.12,10.06,24.21,17.72
Telangana,6.22,5.61,4.29,7.92,1.68,5.27,4.27,3.71,7.91,1.12
Tripura,7.62,7.64,20.93,10.56,1.13,6.59,6.49,18.6,10.28,1.13
Uttar Pradesh,18.56,14.54,22.08,24.05,17.97,17.68,13.5,21.33,23.35,17.29
Uttarakhand,5.15,3.67,4.89,9.64,6.5,4.7,3.26,4.56,9.1,5.71
West Bengal,29.61,29.39,22.99,31.32,30.94,29.61,29.39,22.99,31.32,30.94
