"India/State/ UT",Total Schools,Schools with drinking water facility,Schools with functional drinking water facility,,,,,,,,,,,,
"","Allmanagement",Govt.,"Govt.aided","Pvt.unaided",Others,"Allmanagement",Govt.,"Govt.aided","Pvt.unaided",Others,"Allmanagement",Govt.,"Govt.aided","Pvt.unaided",Others
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16)
India,1509136,1032049,84295,340753,52039,1470690,1005078,81308,335910,48394,1436287,984448,80024,325241,46574
Andaman and Nicobar Islands,417,342,2,73,0,417,342,2,73,0,417,342,2,73,0
Andhra Pradesh,63343,45145,2121,15792,285,55985,38051,2060,15605,269,55667,37809,2047,15543,268
Arunachal Pradesh,3675,3061,67,496,51,2814,2220,65,479,50,2361,1809,56,447,49
Assam,65203,46749,4983,6045,7426,60296,45307,4369,5774,4846,58431,44283,4127,5611,4410
Bihar,93459,75555,735,7923,9246,93192,75348,733,7902,9209,92877,75102,731,7875,9169
Chandigarh,230,121,7,75,27,230,121,7,75,27,230,121,7,75,27
Chhattisgarh,56494,48619,430,7131,314,56413,48548,429,7122,314,54863,47344,423,6793,303
"Daman and Diu andDadra and Nagar Haveli",479,407,8,63,1,479,407,8,63,1,479,407,8,63,1
Delhi,5642,2751,250,2641,0,5642,2751,250,2641,0,5642,2751,250,2641,0
Goa,1481,821,522,138,0,1481,821,522,138,0,1481,821,522,138,0
Gujarat,54444,34967,5640,13834,3,54428,34952,5640,13833,3,54424,34949,5640,13832,3
Haryana,23764,14563,17,8235,949,23677,14478,17,8233,949,23612,14436,17,8216,943
Himachal Pradesh,18145,15391,0,2753,1,18134,15381,0,2752,1,18112,15368,0,2743,1
Jammu and Kashmir,28930,23167,1,5649,113,28099,22375,1,5612,111,27471,21844,1,5516,110
Jharkhand,45319,35888,1175,1542,6714,44514,35187,1157,1537,6633,43519,34356,1129,1520,6514
Karnataka,76905,49791,7182,19915,17,76659,49568,7179,19895,17,75123,48593,7063,19452,15
Kerala,16481,5020,7191,3241,1029,16442,4987,7185,3241,1029,16382,4954,7174,3227,1027
Ladakh,1056,915,29,112,0,1012,875,29,108,0,946,813,28,105,0
Lakshadweep,45,45,0,0,0,45,45,0,0,0,45,45,0,0,0
Madhya Pradesh,133271,99152,773,31512,1834,130845,97815,737,30549,1744,125125,95042,682,27978,1423
Maharashtra,110114,65734,23924,19632,824,109500,65163,23909,19604,824,107812,63917,23753,19328,814
Manipur,4653,2878,585,1027,163,4512,2796,548,1011,157,4493,2787,545,1005,156
Meghalaya,14694,7795,4176,2179,544,6496,3119,2170,947,260,5763,2696,1953,878,236
Mizoram,3925,2558,231,1050,86,3595,2269,230,1012,84,3543,2236,227,999,81
Nagaland,2719,1975,0,743,1,1827,1236,0,590,1,1696,1130,0,565,1
Odisha,64185,50256,5844,6393,1692,63636,50195,5747,6169,1525,61912,48883,5559,6018,1452
Puducherry,741,422,33,286,0,741,422,33,286,0,741,422,33,286,0
Punjab,28695,19330,455,8893,17,28695,19330,455,8893,17,28695,19330,455,8893,17
Rajasthan,107376,68813,0,36023,2540,105020,66706,0,35860,2454,98621,63123,0,33289,2209
Sikkim,1263,851,19,393,0,1259,847,19,393,0,1259,847,19,393,0
Tamil Nadu,58904,37589,8326,12402,587,58904,37589,8326,12402,587,58904,37589,8326,12402,587
Telangana,42917,30015,700,12023,179,41092,28190,700,12023,179,39805,27031,688,11909,177
Tripura,4934,4265,43,360,266,4077,3466,41,345,225,3630,3065,39,324,202
Uttar Pradesh,256911,137068,8125,96741,14977,253870,135451,8055,95589,14775,246554,132286,7848,92106,14314
Uttarakhand,23169,16651,614,5396,508,22047,15647,599,5300,501,21059,14844,586,5163,466
West Bengal,95153,83379,87,10042,1645,94615,83073,86,9854,1602,94593,83073,86,9835,1599
