"India/State/ UT",Projected population by age group – Overall,,,,,,,,
"",Age 6-13,Age 14-15,Age 16-17,,,,,,
"",Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total
(1),(11),(12),(13),(14),(15),(16),(17),(18),(19)
India,99210400,90384200,189592600,25461400,23438800,48900200,26142600,23913600,50056400
Andaman and Nicobar Islands,32187,29618,61805,8952,7848,16800,9065,7981,17046
Andhra Pradesh,3081000,2890400,5972200,824000,782400,1606400,863400,814800,1678600
Arunachal Pradesh,119677,115748,235424,34770,33921,68691,32052,31396,63448
Assam,2633600,2496800,5131400,688400,663600,1352000,695800,666400,1361400
Bihar,11563400,10795400,22359400,2854400,2687400,5542600,2858400,2645400,5503600
Chandigarh,99103,77972,177075,27219,20242,47461,29681,21441,51122
Chhattisgarh,2218400,2126800,4345000,548400,531400,1079800,558800,541200,1100000
"Daman and Diu andDadra and Nagar Haveli",55696,47894,103590,13670,10626,24295,15886,10177,26063
Delhi,1318600,1113800,2431200,352400,303000,655400,368200,317400,686600
Goa,109556,98633,208189,29375,25768,55142,29148,26440,55588
Gujarat,4935200,4246600,9180800,1252000,1092000,2344000,1286400,1111600,2398000
Haryana,2155400,1780200,3934800,554200,459200,1013400,569800,472200,1041800
Himachal Pradesh,452400,405400,858400,123400,109400,232800,126600,112400,239000
Jammu and Kashmir,1038600,914200,1952800,301800,262800,564600,293000,258600,551400
Jharkhand,3141600,2964800,6106200,810600,780600,1590800,817200,781200,1598400
Karnataka,4195000,3926600,8120400,1082200,1021400,2103600,1111400,1041600,2153800
Kerala,2030000,1945800,3977200,524000,501800,1025000,529600,506000,1035600
Ladakh,24381,21823,46203,6499,6097,12596,6563,6147,12710
Lakshadweep,5491,5486,10977,1485,1402,2887,1458,1556,3014
Madhya Pradesh,6732000,6248000,12980200,1639600,1525200,3164800,1680600,1549200,3229800
Maharashtra,7961800,7013200,14975200,2126800,1894200,4021000,2175000,1929000,4103000
Manipur,210637,196285,406922,61479,58896,120375,57733,56926,114659
Meghalaya,263851,253382,517232,70285,68449,138734,70159,67899,138058
Mizoram,80850,76827,157676,22350,21366,43716,23533,22651,46184
Nagaland,170242,155994,326235,49521,45337,94858,48950,46719,95669
Odisha,3054800,2888800,5943600,801800,766400,1569000,816600,784400,1601600
Puducherry,103185,94974,198160,27801,24818,52618,26799,24658,51458
Punjab,1853200,1569000,3422000,511000,419800,930800,537000,437200,973600
Rajasthan,6537600,5811600,12348800,1612600,1467800,3080400,1642600,1491800,3133600
Sikkim,42914,41179,84093,13211,12912,26122,14140,13791,27931
Tamil Nadu,4378800,4071000,8450000,1134600,1072400,2207000,1163200,1097600,2260000
Telangana,2325200,2145400,4472400,625600,589600,1215000,652000,613400,1266200
Tripura,240834,227211,468045,70201,66535,136736,76217,69849,146066
Uttar Pradesh,19282200,17193400,36475200,4809200,4344200,9152600,5039600,4519200,9558800
Uttarakhand,803400,692000,1494600,219200,194000,414000,227000,201400,428600
W    e s  t   B  e  n gal,5959600,5702000,11661200,1628400,1566000,3194400,1689000,1614000,3303000
