"India/State/ UT",Projected population by age group – Overall,,,,,,,,
"",Age 3-5,Age 6-10,Age 11-13,,,,,,
"",Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10)
India,44559933,39955000,84515733,62147000,55998000,118144200,37063400,34386200,71448400
Andaman and Nicobar Islands,12852,12135,24987,19636,17890,37526,12551,11728,24279
Andhra Pradesh,1342933,1233333,2576067,1917200,1775600,3693400,1163800,1114800,2278800
Arunachal Pradesh,44100,41478,85578,69310,66166,135476,50366,49581,99948
Assam,1152800,1058267,2211267,1611200,1501600,3113000,1022400,995200,2018400
Bihar,5248933,4725467,9974933,7255200,6655400,13911800,4308200,4140000,8447600
Chandigarh,40691,34751,75443,61292,48817,110109,37811,29155,66966
Chhattisgarh,1042067,985800,2026867,1412400,1346000,2759000,806000,780800,1586000
"Daman and Diu andDadra and Nagar Haveli",26225,23494,49719,35240,30231,65470,20457,17663,38120
Delhi,571867,486600,1058333,820200,689200,1509000,498400,424600,922200
Goa,46373,42838,89210,67465,60616,128081,42091,38018,80108
Gujarat,2294533,1954467,4248733,3115800,2646800,5761600,1819400,1599800,3419200
Haryana,972000,817333,1789867,1354000,1116200,2469400,801400,664000,1465400
Himachal Pradesh,183333,166733,350067,273200,245600,520200,179200,159800,338200
Jammu and Kashmir,331400,308000,638600,570200,512000,1081600,468400,402200,871200
Jharkhand,1394000,1277067,2671867,1931200,1790400,3722400,1210400,1174400,2383800
Karnataka,1824400,1678733,3502933,2626200,2433000,5057800,1568800,1493600,3062600
Kerala,880533,844800,1725133,1254800,1201600,2456800,775200,744200,1520400
Ladakh,10855,10233,21088,14809,13378,28187,9572,8445,18017
Lakshadweep,2292,2154,4446,3437,3202,6639,2054,2284,4338
Madhya Pradesh,3228667,2966600,6195667,4337800,3995200,8332000,2394200,2252800,4648200
Maharashtra,3348867,2926333,6275333,4861600,4243600,9106200,3100200,2769600,5869000
Manipur,77514,70403,147917,119855,110752,230607,90782,85533,176315
Meghalaya,112603,106384,218987,154504,147096,301601,109346,106285,215632
Mizoram,32564,30741,63305,47104,44689,91793,33745,32138,65883
Nagaland,60935,55761,116696,97036,88868,185904,73206,67125,140331
Odisha,1320667,1243467,2564133,1875600,1769400,3645000,1179200,1119400,2298600
Puducherry,40912,39195,80107,63520,58067,121588,39665,36907,76572
Punjab,776600,681267,1457867,1134400,972000,2106200,718800,597000,1315800
Rajasthan,3041267,2646867,5688267,4163800,3646800,7810400,2373800,2164800,4538400
Sikkim,13488,12424,25911,23533,22528,46061,19381,18651,38032
Tamil Nadu,1869400,1708400,3577933,2731000,2508800,5239800,1647800,1562200,3210200
Telangana,1013600,915467,1929067,1435600,1304800,2741400,889600,840600,1731000
Tripura,96941,90664,187605,136444,127924,264369,104389,99287,203676
Uttar Pradesh,9295733,8152200,17448200,12438000,10949400,23387400,6844200,6244000,13087800
Uttarakhand,344067,292133,636200,488400,414200,901800,315000,277800,592800
West Bengal,2463933,2313000,4777067,3626000,3440200,7065600,2333600,2261800,4595600
