"India/State/ UT",Projected population  by age group – Scheduled Castes (SC),,,,,,,,
"",Age 3-5,Age 6-10,Age 11-13,,,,,,
"",Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10)
India,7862775,7163403,15026178,10882901,9948767,20831669,6379245,5970358,12349604
Andaman and Nicobar Islands,-,-,-,-,-,-,-,-,-
Andhra Pradesh,244883,229200,474083,348863,332317,681180,216192,216432,432624
Arunachal Pradesh,-,-,-,-,-,-,-,-,-
Assam,73508,67860,141368,105475,98642,204117,72966,71503,144469
Bihar,939065,868386,1807451,1276840,1183173,2460013,698881,652167,1351048
Chandigarh,8969,7678,16647,13397,11211,24607,8234,6891,15125
Chhattisgarh,144195,135857,280052,192080,184272,376352,109305,106807,216112
"Daman and Diu andDadra and Nagar Haveli",460,431,891,643,593,1236,450,420,871
Delhi,100950,88470,189420,144550,125096,269646,88540,79831,168371
Goa,854,829,1683,1253,1164,2417,743,738,1481
Gujarat,145244,125221,270466,206780,177993,384773,126688,113792,240480
Haryana,214057,188683,402740,296203,256998,553201,174179,152233,326413
Himachal Pradesh,50777,47225,98003,73533,68999,142532,47564,44391,91955
Jammu and Kashmir,21509,19606,41115,39601,34293,73894,35002,29752,64754
Jharkhand,188140,177277,365418,259849,244871,504720,154671,148506,303176
Karnataka,352733,328694,681427,501469,472097,973566,300137,288320,588457
Kerala,74162,70779,144941,106168,102011,208178,69775,66677,136452
Ladakh,6,1,7,10,5,14,6,5,11
Lakshadweep,-,-,-,-,-,-,-,-,-
Madhya Pradesh,528364,482510,1010874,711060,650632,1361692,397485,373336,770821
Maharashtra,401094,362493,763586,583225,530907,1114132,377565,349616,727180
Manipur,2608,2371,4979,4407,4124,8531,3277,3079,6357
Meghalaya,487,493,980,783,693,1476,592,570,1162
Mizoram,17,27,44,46,41,87,33,24,57
Nagaland,-,-,-,-,-,-,-,-,-
Odisha,239495,227422,466917,330070,313437,643507,213179,204236,417415
Puducherry,7194,6798,13992,11249,10484,21733,7161,6776,13936
Punjab,280475,258574,539049,407375,371469,778843,255725,229576,485302
Rajasthan,578462,506675,1085137,793369,700559,1493929,451042,411090,862133
Sikkim,724,707,1431,1219,1149,2368,977,902,1879
Tamil Nadu,401359,372326,773685,597943,557584,1155527,365793,353954,719747
Telangana,152346,140250,292596,220471,205774,426245,143773,141593,285366
Tripura,16422,15273,31696,23126,21549,44675,18073,17197,35270
Uttar Pradesh,2092762,1863588,3956350,2735669,2431791,5167460,1457040,1327487,2784526
Uttarakhand,72451,63603,136054,102275,90254,192530,66164,59991,126155
West Bengal,529004,504092,1033097,793900,764589,1558489,518033,512465,1030497
