India/ State/ UT,"Number of Government and Government AidedSchools with level","Number of Government and Government AidedSchools providing training on psycho-socialaspects to students","Percentage of Government and Government AidedSchools providing training on psycho-social aspects tostudents",,,,,,,,,
"",Primary,"UpperPrimary",Secondary,"HigherSecondary",Primary,"UpperPrimary",Secondary,"HigherSecondary",Primary,"UpperPrimary",Secondary,"HigherSecondary"
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13)
India,650146,293590,83537,77593,40448,30658,13425,12507,6.2,10.4,16.1,16.1
Andaman and Nicobar Islands,185,57,46,56,27,16,13,15,14.6,28.1,28.3,26.8
Andhra Pradesh,34642,4285,6525,1227,4305,771,2462,334,12.4,18.0,37.7,27.2
Arunachal Pradesh,1685,1002,232,134,31,21,18,16,1.8,2.1,7.8,11.9
Assam,34948,8585,4250,1548,1463,371,410,194,4.2,4.3,9.7,12.5
Bihar,40563,25993,2516,7228,565,595,66,113,1.4,2.3,2.6,1.6
Chandigarh,8,12,54,56,3,12,45,40,37.5,100,83.3,71.4
Chhattisgarh,30892,13284,1949,3035,2010,1642,375,548,6.5,12.4,19.2,18.1
"Dadra and Nagar Haveli andDaman and Diu",167,163,31,35,131,97,26,24,78.4,59.5,83.9,68.6
Delhi,1671,39,122,1177,511,21,72,700,30.6,53.9,59.0,59.5
Goa,795,67,400,109,37,7,144,36,4.7,10.5,36.0,33.0
Gujarat,12545,20680,3031,4033,1954,6382,724,754,15.6,30.9,23.9,18.7
Haryana,8677,2450,1108,2343,1727,648,362,782,19.9,26.5,32.7,33.4
Himachal Pradesh,10563,1952,942,1923,764,256,171,303,7.2,13.1,18.2,15.8
Jammu and Kashmir,12974,7612,1754,834,421,493,302,220,3.2,6.5,17.2,26.4
Jharkhand,21814,12122,1914,1165,713,749,240,174,3.3,6.2,12.5,14.9
Karnataka,21240,24635,8554,2360,1119,2181,1861,293,5.3,8.9,21.8,12.4
Kerala,5967,3486,778,1962,3732,1834,506,1172,62.5,52.6,65.0,59.7
Ladakh,355,382,85,44,3,8,9,10,0.9,2.1,10.6,22.7
Lakshadweep,16,9,0,13,2,1,0,6,12.5,11.1,0.0,46.2
Madhya Pradesh,58826,24917,4921,4771,3094,1852,899,942,5.3,7.4,18.3,19.7
Maharashtra,46217,24885,12040,6534,2621,2302,1416,781,5.7,9.3,11.8,12.0
Manipur,2309,605,461,97,7,7,11,17,0.3,1.2,2.4,17.5
Meghalaya,7928,3157,699,171,68,61,30,20,0.9,1.9,4.3,11.7
Mizoram,1277,1015,439,62,3,9,7,2,0.2,0.9,1.6,3.2
Nagaland,1032,617,255,56,28,28,17,9,2.7,4.5,6.7,16.1
Odisha,27438,17508,8610,1323,1517,1266,835,132,5.5,7.2,9.7,10.0
Puducherry,236,48,91,80,39,13,36,32,16.5,27.1,39.6,40.0
Punjab,12880,2541,1800,2488,1298,607,617,800,10.1,23.9,34.3,32.2
Rajasthan,33781,19498,3758,11911,2015,3005,641,2359,6.0,15.4,17.1,19.8
Sikkim,481,173,125,104,28,22,28,19,5.8,12.7,22.4,18.3
Tamil Nadu,29274,8526,3692,4467,0,0,0,0,0.0,0.0,0.0,0.0
Telangana,20080,3379,5913,1351,267,68,359,69,1.3,2.0,6.1,5.1
Tripura,2137,1126,609,433,47,25,55,63,2.2,2.2,9.0,14.6
Uttar Pradesh,87964,49339,2065,5769,6398,4692,198,491,7.3,9.5,9.6,8.5
Uttarakhand,11511,2778,991,1812,620,264,156,329,5.4,9.5,15.7,18.2
West Bengal,67068,6663,2777,6882,2880,332,314,708,4.3,5.0,11.3,10.3
