"India/State/ UT",Projected population by age group – Scheduled Castes (SC),,,,,,,,
"",Age 6-13,Age 14-15,Age 16-17,,,,,,
"",Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total
(1),(11),(12),(13),(14),(15),(16),(17),(18),(19)
India,17187464,15799467,32986931,4305986,3959512,8265498,4365369,3934342,8299711
Andaman and Nicobar Islands,-,-,-,-,-,-,-,-,-
Andhra Pradesh,558023,539698,1097721,146895,145472,292367,148344,143668,292012
Arunachal Pradesh,-,-,-,-,-,-,-,-,-
Assam,176264,167176,343440,49848,49862,99710,52244,51261,103505
Bihar,1971556,1824360,3795917,439458,383106,822564,412964,348986,761950
Chandigarh,22105,18469,40573,5953,4932,10885,6361,5195,11556
Chhattisgarh,302830,291654,594484,74315,71441,145756,76351,72577,148928
"Dadra and Nagar Haveli andDaman and Diu",1117,1034,2151,332,255,588,350,296,646
Delhi,233330,204408,437739,63418,57997,121415,67578,61501,129080
Goa,2039,1940,3980,581,504,1085,557,557,1113
Gujarat,334128,290832,624960,88258,78772,167030,92991,83055,176046
Haryana,470307,408959,879266,118219,103591,221810,121217,103804,225021
Himachal Pradesh,118844,111317,230161,31876,29709,61585,32636,29782,62418
Jammu and Kashmir,71401,61573,132974,23529,19877,43406,24618,20358,44976
Jharkhand,410573,387527,798101,101801,94826,196627,98634,88787,187422
Karnataka,798926,755075,1554001,205587,192523,398110,206292,188936,395227
Kerala,174735,167411,342147,46871,44595,91466,44673,43234,87907
Ladakh,16,10,26,3,3,5,3,3,5
Lakshadweep,-,-,-,-,-,-,-,-,-
Madhya Pradesh,1116342,1029606,2145948,270236,245205,515441,277226,240739,517965
Maharashtra,950459,867343,1817802,258080,235016,493096,267025,236390,503415
Manipur,7413,6921,14334,2157,2036,4193,1898,1796,3694
Meghalaya,1326,1215,2541,379,334,713,420,374,794
Mizoram,76,62,139,11,19,30,19,16,34
Nagaland,-,-,-,-,-,-,-,-,-
Odisha,536357,510187,1046544,142436,139447,281884,143574,140081,283655
Puducherry,18811,17607,36418,4925,4613,9538,4582,4507,9089
Punjab,651952,594904,1246856,176880,158778,335658,182583,157974,340556
Rajasthan,1246219,1109083,2355302,301554,270357,571911,303350,264773,568123
Sikkim,2122,1973,4095,646,548,1194,684,674,1358
Tamil Nadu,957802,901676,1859478,246213,238633,484846,247264,240352,487616
Telangana,358979,340323,699302,100899,98152,199051,104254,99681,203934
Tripura,39771,37272,77044,12240,11757,23997,14168,12795,26964
Uttar Pradesh,4201528,3753747,7955275,997035,890231,1887266,1030098,900748,1930845
Uttarakhand,165630,146550,312180,43650,39571,83221,44485,39137,83622
West Bengal,1286481,1249554,2536034,351701,347349,699050,357927,352308,710236
