"India/State/UT",Number of Primary schools – Government Aided,,,
"",Total,"Having AWC inthe school campus","Having Pre-Primary Sections","Having AWC in theschool campus or Pre-Primary Sections"
(1),(2),(3),(4),(5)
India,42897,1408,11840,12619
Andaman and Nicobar Islands,2,0,2,2
Andhra Pradesh,1049,74,81,149
Arunachal Pradesh,68,0,21,21
Assam,17,0,13,13
Bihar,459,14,13,27
Chandigarh,6,0,5,5
Chhattisgarh,277,10,180,184
"Dadra and Nagar Haveli andDaman and Diu",6,0,0,0
Delhi,156,0,10,10
Goa,312,4,251,253
Gujarat,245,8,41,49
Haryana,14,0,6,6
Himachal Pradesh,0,0,0,0
Jammu and Kashmir,1,0,1,1
Jharkhand,1009,45,613,620
Karnataka,2797,185,808,953
Kerala,5381,238,4426,4460
Ladakh,28,2,1,3
Lakshadweep,0,0,0,0
Madhya Pradesh,508,17,82,99
Maharashtra,18451,528,2442,2815
Manipur,502,23,84,105
Meghalaya,2526,206,2218,2253
Mizoram,0,0,0,0
Nagaland,0,0,0,0
Odisha,342,38,10,46
Puducherry,33,0,25,25
Punjab,323,5,50,54
Rajasthan,0,0,0,0
Sikkim,13,0,7,7
Tamil Nadu,6605,2,291,293
Telangana,461,2,48,50
Tripura,35,1,2,3
Uttar Pradesh,1154,5,52,56
Uttarakhand,59,0,11,11
West Bengal,58,1,46,46
