"India/State /UT",Number of teachers by Gender and Classes Taught – Others,,,,,,,,
"",Secondary Only,Secondary & Higher Secondary,Higher Secondary Only,,,,,,
"",Male,Female,Total,Male,Female,Total,Male,Female,Total
(1),(23),(24),(25),(26),(27),(28),(29),(30),(31)
India,6219,3798,10017,620,278,898,1540,1015,2555
Andaman and Nicobar Islands,0,0,0,0,0,0,0,0,0
Andhra Pradesh,7,6,13,0,0,0,0,0,0
Arunachal Pradesh,0,0,0,0,0,0,0,0,0
Assam,2451,1147,3598,17,6,23,678,437,1115
Bihar,551,101,652,81,4,85,239,42,281
Chandigarh,1,3,4,0,8,8,0,1,1
Chhattisgarh,0,0,0,0,0,0,0,0,0
"Dadra and Nagar Haveli andDaman and Diu",5,0,5,4,0,4,3,0,3
Delhi,0,0,0,0,0,0,0,0,0
Goa,0,0,0,0,0,0,0,0,0
Gujarat,2,6,8,0,1,1,3,1,4
Haryana,21,20,41,13,9,22,4,1,5
Himachal Pradesh,0,0,0,0,0,0,0,0,0
Jammu and Kashmir,20,14,34,0,4,4,2,7,9
Jharkhand,514,344,858,8,8,16,61,40,101
Karnataka,3,3,6,0,0,0,0,0,0
Kerala,22,117,139,1,14,15,8,15,23
Ladakh,0,0,0,0,0,0,0,0,0
Lakshadweep,0,0,0,0,0,0,0,0,0
Madhya Pradesh,1,0,1,0,3,3,1,0,1
Maharashtra,93,151,244,4,2,6,5,5,10
Manipur,0,0,0,0,0,0,0,0,0
Meghalaya,166,356,522,3,11,14,45,158,203
Mizoram,86,67,153,0,0,0,42,29,71
Nagaland,0,0,0,0,0,0,0,0,0
Odisha,301,191,492,11,5,16,60,52,112
Puducherry,0,0,0,0,0,0,0,0,0
Punjab,0,0,0,0,0,0,0,0,0
Rajasthan,47,11,58,28,9,37,16,4,20
Sikkim,0,0,0,0,0,0,0,0,0
Tamil Nadu,16,98,114,13,14,27,13,25,38
Telangana,0,0,0,0,0,0,0,0,0
Tripura,13,0,13,5,0,5,13,0,13
Uttar Pradesh,1736,1051,2787,396,153,549,311,171,482
Uttarakhand,66,56,122,3,2,5,19,16,35
West Bengal,97,56,153,33,25,58,17,11,28
