"India/State /UT",Number of teachers by Gender and Classes Taught – Others,,,,,,,,,,,
"",Total,Pre-Primary Only,Pre-Primary & Primary,Primary Only,,,,,,,,
"",Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13)
India,150668,136731,287399,739,2802,3541,4708,7083,11791,63891,68177,132068
Andaman and Nicobar Islands,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,230,418,648,0,0,0,2,5,7,82,180,262
Arunachal Pradesh,146,214,360,0,8,8,5,20,25,78,144,222
Assam,12736,6108,18844,1,11,12,86,54,140,7214,3455,10669
Bihar,42568,28987,71555,165,425,590,463,788,1251,8616,8752,17368
Chandigarh,26,271,297,0,42,42,1,19,20,3,92,95
Chhattisgarh,360,570,930,0,1,1,3,0,3,240,364,604
"Dadra and Nagar Haveli andDaman and Diu",25,0,25,0,0,0,0,0,0,9,0,9
Delhi,0,0,0,0,0,0,0,0,0,0,0,0
Goa,0,0,0,0,0,0,0,0,0,0,0,0
Gujarat,10,20,30,0,0,0,0,0,0,3,7,10
Haryana,1466,5097,6563,2,102,104,6,51,57,755,3439,4194
Himachal Pradesh,3,2,5,0,0,0,0,0,0,3,2,5
Jammu and Kashmir,368,346,714,6,28,34,21,35,56,167,137,304
Jharkhand,24921,26942,51863,86,546,632,552,1213,1765,9045,13276,22321
Karnataka,16,29,45,0,0,0,0,0,0,5,10,15
Kerala,361,7017,7378,4,357,361,2,55,57,156,4347,4503
Ladakh,0,0,0,0,0,0,0,0,0,0,0,0
Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,2438,3826,6264,3,8,11,13,19,32,1038,1496,2534
Maharashtra,888,3144,4032,6,90,96,26,113,139,430,2038,2468
Manipur,475,772,1247,2,55,57,20,124,144,212,403,615
Meghalaya,511,1881,2392,6,53,59,45,249,294,122,668,790
Mizoram,233,307,540,1,17,18,4,13,17,41,114,155
Nagaland,3,3,6,0,2,2,1,0,1,2,1,3
Odisha,2630,6269,8899,2,66,68,57,258,315,1293,3837,5130
Puducherry,0,0,0,0,0,0,0,0,0,0,0,0
Punjab,49,29,78,1,0,1,9,9,18,22,12,34
Rajasthan,4424,2740,7164,8,26,34,55,72,127,3318,2044,5362
Sikkim,0,0,0,0,0,0,0,0,0,0,0,0
Tamil Nadu,315,3244,3559,13,308,321,0,101,101,127,1893,2020
Telangana,149,228,377,0,2,2,5,15,20,106,145,251
Tripura,784,292,1076,17,11,28,46,46,92,629,223,852
Uttar Pradesh,47435,31000,78435,11,10,21,53,73,126,28903,19726,48629
Uttarakhand,1226,1133,2359,2,10,12,8,14,22,819,751,1570
West Bengal,5872,5842,11714,403,624,1027,3225,3737,6962,453,621,1074
