"India/State/ UT",Children With Special Needs (CWSN) enrolment,,,,,,,,
"",Primary (1 to 5),Upper Primary (6 to 8),Elementary (1 to 8),,,,,,
"",Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10)
India,672517,459020,1131537,403844,306614,710458,1076361,765634,1841995
Andaman and Nicobar Islands,99,70,169,114,49,163,213,119,332
Andhra Pradesh,23363,16127,39490,17504,12536,30040,40867,28663,69530
Arunachal Pradesh,701,658,1359,396,631,1027,1097,1289,2386
Assam,20233,15410,35643,7204,6530,13734,27437,21940,49377
Bihar,68549,44130,112679,28861,21700,50561,97410,65830,163240
Chandigarh,578,341,919,847,571,1418,1425,912,2337
Chhattisgarh,23986,18181,42167,13858,11577,25435,37844,29758,67602
"Dadra and Nagar Haveli and Damanand Diu",286,186,472,217,130,347,503,316,819
Delhi,4626,3373,7999,4106,3337,7443,8732,6710,15442
Goa,945,530,1475,762,427,1189,1707,957,2664
Gujarat,21013,13514,34527,15562,10468,26030,36575,23982,60557
Haryana,6678,4066,10744,4711,3210,7921,11389,7276,18665
Himachal Pradesh,1618,1196,2814,1006,839,1845,2624,2035,4659
Jammu and Kashmir,5669,3686,9355,3138,2358,5496,8807,6044,14851
Jharkhand,14961,10231,25192,9845,8466,18311,24806,18697,43503
Karnataka,25131,17777,42908,19271,14682,33953,44402,32459,76861
Kerala,29063,18902,47965,24880,18424,43304,53943,37326,91269
Ladakh,222,185,407,127,174,301,349,359,708
Lakshadweep,54,45,99,31,12,43,85,57,142
Madhya Pradesh,36642,27491,64133,32353,26392,58745,68995,53883,122878
Maharashtra,76753,48810,125563,43707,32650,76357,120460,81460,201920
Manipur,1737,1460,3197,448,417,865,2185,1877,4062
Meghalaya,1538,1120,2658,548,443,991,2086,1563,3649
Mizoram,879,734,1613,582,618,1200,1461,1352,2813
Nagaland,936,713,1649,549,519,1068,1485,1232,2717
Odisha,45185,31475,76660,26557,20451,47008,71742,51926,123668
Puducherry,408,298,706,391,343,734,799,641,1440
Punjab,15554,10453,26007,12106,8973,21079,27660,19426,47086
Rajasthan,20063,13682,33745,15687,11298,26985,35750,24980,60730
Sikkim,391,224,615,199,164,363,590,388,978
Tamil Nadu,33274,21405,54679,35014,22706,57720,68288,44111,112399
Telangana,9020,6816,15836,7874,6284,14158,16894,13100,29994
Tripura,919,631,1550,852,590,1442,1771,1221,2992
Uttar Pradesh,135817,93053,228870,50899,38446,89345,186716,131499,318215
Uttarakhand,1444,1028,2472,715,611,1326,2159,1639,3798
West Bengal,44182,31019,75201,22923,19588,42511,67105,50607,117712
