India/State/ UT,Enrolment of age group 6-10 years,,,,,,,,,,,
"",All,Pre-Primary,Primary (1 to 5),Upper Primary (1to 8),,,,,,,,
"",Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total
(1),(29),(30),(31),(32),(33),(34),(35),(36),(37),(38),(39),(40)
India,60940660,56238788,117179448,239640,190088,429728,54331742,50075648,104407390,6369278,5973052,12342330
"Andaman and NicobarIslands",13559,13024,26583,277,216,493,11992,11511,23503,1290,1297,2587
Andhra Pradesh,1847195,1723850,3571045,1154,904,2058,1598921,1471237,3070158,247120,251709,498829
Arunachal Pradesh,74268,72411,146679,889,693,1582,64261,61869,126130,9118,9849,18967
Assam,1799081,1771768,3570849,4898,4366,9264,1631762,1598916,3230678,162421,168486,330907
Bihar,7227619,6766551,13994170,15449,9879,25328,6649139,6217215,12866354,563031,539457,1102488
Chandigarh,48645,43533,92178,894,770,1664,44011,39327,83338,3740,3436,7176
Chhattisgarh,1317875,1257762,2575637,5434,4758,10192,1224852,1169762,2394614,87589,83242,170831
"Dadra and Nagar Haveliand Daman and Diu",29360,26867,56227,208,155,363,27857,25501,53358,1295,1211,2506
Delhi,899520,776837,1676357,3619,3012,6631,805067,715606,1520673,90834,58219,149053
Goa,59394,55412,114806,242,189,431,53531,50659,104190,5621,4564,10185
Gujarat,2767050,2464950,5232000,3468,2423,5891,2359589,2099388,4458977,403993,363139,767132
Haryana,1297599,1087270,2384869,6831,4612,11443,1113118,920767,2033885,177650,161891,339541
Himachal Pradesh,280700,255719,536419,982,768,1750,232001,210754,442755,47717,44197,91914
Jammu and Kashmir,537960,495638,1033598,5475,5161,10636,443095,408083,851178,89390,82394,171784
Jharkhand,1878251,1755454,3633705,10111,7905,18016,1702500,1592819,3295319,165640,154730,320370
Karnataka,2788219,2596935,5385154,2232,1919,4151,2517755,2324843,4842598,268232,270173,538405
Kerala,1254581,1195090,2449671,4703,4299,9002,1081269,1029844,2111113,168609,160947,329556
Ladakh,10569,10402,20971,356,364,720,8700,8506,17206,1513,1532,3045
Lakshadweep,2701,2548,5249,15,7,22,2602,2465,5067,84,76,160
Madhya Pradesh,3572913,3301316,6874229,25459,20173,45632,3094206,2858166,5952372,453248,422977,876225
Maharashtra,4866744,4436941,9303685,13229,10901,24130,4525511,4124859,8650370,328004,301181,629185
Manipur,139367,134103,273470,1363,1087,2450,127854,122822,250676,10150,10194,20344
Meghalaya,235684,233170,468854,11766,10583,22349,209859,207281,417140,14059,15306,29365
Mizoram,61150,58590,119740,614,568,1182,55962,53348,109310,4574,4674,9248
Nagaland,83836,80423,164259,3212,2870,6082,73319,69980,143299,7305,7573,14878
Odisha,1806548,1698592,3505140,684,570,1254,1526557,1437046,2963603,279307,260976,540283
Puducherry,49599,45703,95302,65,76,141,39812,37237,77049,9722,8390,18112
Punjab,1145182,995152,2140334,65119,53460,118579,1002117,870143,1872260,77946,71549,149495
Rajasthan,3977066,3548193,7525259,27361,20452,47813,3486115,3123415,6609530,463590,404326,867916
Sikkim,21834,20332,42166,677,496,1173,19031,17595,36626,2126,2241,4367
Tamil Nadu,2686862,2512377,5199239,0,0,0,2299715,2128953,4428668,387147,383424,770571
Telangana,1462038,1371116,2833154,6112,4054,10166,1314964,1203612,2518576,140962,163450,304412
Tripura,156610,151519,308129,163,165,328,151187,146313,297500,5260,5041,10301
Uttar Pradesh,12091122,11084852,23175974,14128,10413,24541,10514385,9641086,20155471,1562609,1433353,2995962
Uttarakhand,530754,466794,997548,2451,1820,4271,455079,400150,855229,73224,64824,138048
West Bengal,3919205,3727594,7646799,0,0,0,3864047,3674570,7538617,55158,53024,108182
