"India/State/ UT",Enrolment of age group - All ages,,,,,,,,
"",Pre-Primary to Higher Secondary,Pre-Primary,Primary (1 to 5),,,,,,
"",Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10)
India,137900578,127335252,265235830,5051523,4443684,9495207,63517655,58324595,121842250
Andaman and Nicobar Islands,37536,36325,73861,3449,3436,6885,13293,12671,25964
Andhra Pradesh,4278015,3966632,8244647,41948,35443,77391,1942766,1782027,3724793
Arunachal Pradesh,177336,177046,354382,13517,12559,26076,83662,80399,164061
Assam,3720048,3824912,7544960,228797,214591,443388,1844170,1801193,3645363
Bihar,14054053,13418639,27472692,251500,174754,426254,7339469,6840063,14179532
Chandigarh,143711,124916,268627,11507,10552,22059,50841,45107,95948
Chhattisgarh,3013246,2978951,5992197,120536,107431,227967,1379792,1312721,2692513
"Dadra and Nagar Haveli andDaman and Diu",70068,63290,133358,2738,2373,5111,31296,28290,59586
Delhi,2411323,2160784,4572107,128967,124658,253625,928498,825932,1754430
Goa,157027,147955,304982,11457,11099,22556,62585,58771,121356
Gujarat,6158736,5383540,11542276,90861,73830,164691,2848644,2538546,5387190
Haryana,3306187,2729492,6035679,135943,107702,243645,1406310,1172952,2579262
Himachal Pradesh,752697,684325,1437022,55078,49796,104874,288640,262353,550993
Jammu and Kashmir,1423914,1294730,2718644,205990,189259,395249,576318,530614,1106932
Jharkhand,4060838,3909912,7970750,157652,124891,282543,1938656,1802253,3740909
Karnataka,6234114,5858267,12092381,141477,123551,265028,2837353,2618873,5456226
Kerala,3272192,3150928,6423120,289712,278460,568172,1274839,1211401,2486240
Ladakh,29663,30125,59788,5533,5185,10718,11609,11283,22892
Lakshadweep,6997,6589,13586,814,768,1582,2759,2636,5395
Madhya Pradesh,8458385,7710880,16169265,403029,338950,741979,3833282,3524107,7357389
Maharashtra,11954636,10632059,22586695,276372,249489,525861,5015735,4549586,9565321
Manipur,352199,340995,693194,31759,29964,61723,158618,151405,310023
Meghalaya,572522,597198,1169720,109509,105273,214782,267341,263049,530390
Mizoram,156216,153688,309904,16402,16165,32567,70199,66450,136649
Nagaland,222509,221287,443796,39322,37299,76621,90734,87221,177955
Odisha,3880763,3696130,7576893,27123,22253,49376,1815168,1703985,3519153
Puducherry,130772,124774,255546,11595,10923,22518,49290,45798,95088
Punjab,3319404,2828096,6147500,424765,370689,795454,1252540,1071757,2324297
Rajasthan,9451991,8215519,17667510,275725,216782,492507,4360498,3896222,8256720
Sikkim,68708,67255,135963,10213,9421,19634,24237,21653,45890
Tamil Nadu,6578995,6251956,12830951,344384,319267,663651,2674754,2484126,5158880
Telangana,3585691,3329550,6915241,81382,70210,151592,1594470,1446848,3041318
Tripura,359315,354547,713862,15708,13975,29683,158968,153430,312398
Uttar Pradesh,24875681,22305757,47181438,228022,179012,407034,12645781,11536854,24182635
Uttarakhand,1296206,1153720,2449926,51984,42174,94158,564938,496956,1061894
West Bengal,9328884,9404483,18733367,806753,761500,1568253,4079602,3887063,7966665
