"India/State /UT"
India/
State /UT
"","able 5.5: Enrolment of students by school management and level of school education, 2021-22",,,,,,,,,,,,,,,,,,,,,,
"India/State /UT",,Enrolment – Other Schools,,,,,,,,,,,,,,,,,,,,,
"",India/,,Total,,"Pre-Primary","Primary(1 to 5)",,Upper,,"Elementary(1-8)","Secondary(9-10)",,Higher,,,,,,,,,,
"",,,,,,,Pre-,Primary,Elementary,Secondary,,,,,,,,,,,,,
"",State /UT,(Pre-primary,Primary,Secondary,,,,,,,,,,,,,,,,,,,
"",,,,,,,Primary,(1 to 5),(1-8),(9-10),,,,,,,,,,,,,
"",,,,to 12),(6-8),(11-12),,,,,,,,,,,,,,,,,
"",(1),,,(2),,,(3),,,(4),,,(5),,,(6),,,(7),,,(8),
"",ndia,,6684577,540857,4391983,1376726,5768709,278114,96897,,,,,,,,,,,,,,
Andaman and Nicobar Islands,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Andhra Pradesh,14956,108,10293,4147,14440,408,0,,,,,,,,,,,,,,,,
Arunachal Pradesh,4674,1036,3044,594,3638,0,0,,,,,,,,,,,,,,,,
Assam,290200,14701,187208,26981,214189,40833,20477,,,,,,,,,,,,,,,,
Bihar,1979684,194040,1215504,485351,1700855,51356,33433,,,,,,,,,,,,,,,,
Chandigarh,6152,1776,3607,682,4289,71,16,,,,,,,,,,,,,,,,
Chhattisgarh,12295,0,9114,3181,12295,0,0,,,,,,,,,,,,,,,,
"Dadra and Nagar Haveli andDaman and Diu",0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Delhi,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Goa,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Gujarat,1208,0,447,345,792,295,121,,,,,,,,,,,,,,,,
Haryana,122182,22072,75846,23034,98880,904,326,,,,,,,,,,,,,,,,
Himachal Pradesh,69,0,69,0,69,0,0,,,,,,,,,,,,,,,,
Jammu and Kashmir,10034,2075,5671,1761,7432,472,55,,,,,,,,,,,,,,,,
Jharkhand,1104541,174732,638309,250909,889218,37748,2843,,,,,,,,,,,,,,,,
Karnataka,857,22,323,290,613,222,0,,,,,,,,,,,,,,,,
Kerala,108331,24599,69764,12545,82309,1059,364,,,,,,,,,,,,,,,,
Ladakh,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Lakshadweep,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Madhya Pradesh,104139,793,73230,30005,103235,74,37,,,,,,,,,,,,,,,,
Maharashtra,102267,9581,68895,18458,87353,4602,731,,,,,,,,,,,,,,,,
Manipur,15940,4659,9397,1884,11281,0,0,,,,,,,,,,,,,,,,
Meghalaya,41965,10879,18544,4555,23099,5658,2329,,,,,,,,,,,,,,,,
Mizoram,7251,1232,3067,1102,4169,1197,653,,,,,,,,,,,,,,,,
Nagaland,86,31,55,0,55,0,0,,,,,,,,,,,,,,,,
Odisha,101743,6739,68612,17042,85654,7403,1947,,,,,,,,,,,,,,,,
Puducherry,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Punjab,1032,135,682,215,897,0,0,,,,,,,,,,,,,,,,
Rajasthan,170292,2031,142850,21465,164315,2908,1038,,,,,,,,,,,,,,,,
Sikkim,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Tamil Nadu,46799,8468,29391,6101,35492,1803,1036,,,,,,,,,,,,,,,,
Telangana,6603,157,4118,2310,6428,18,0,,,,,,,,,,,,,,,,
Tripura,15139,2821,10968,904,11872,310,136,,,,,,,,,,,,,,,,
Uttar Pradesh,2142498,7193,1570492,422165,1992657,113972,28676,,,,,,,,,,,,,,,,
Uttarakhand,73589,883,50864,16854,67718,3406,1582,,,,,,,,,,,,,,,,
West Bengal,200051,50094,121619,23846,145465,3395,1097,,,,,,,,,,,,,,,,
"Pre-Primary"
Pre-
Primary
"Primary(1 to 5)"
Primary
(1 to 5)
"Elementary(1-8)"
Elementary
(1-8)
"Secondary(9-10)"
Secondary
(9-10)
