"India/State/ UT",Enrolment – All Types of Management,,,,,,,,,,,
"",Pre-Primary,Primary (1 to 5),Upper Primary (6-8),Elementary (1-8),,,,,,,,
"",Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13)
India,5051523,4443684,9495207,63517655,58324595,121842250,34511750,32278942,66790692,98029405,90603537,188632942
Andaman and Nicobar Islands,3449,3436,6885,13293,12671,25964,9088,8631,17719,22381,21302,43683
Andhra Pradesh,41948,35443,77391,1942766,1782027,3724793,1132406,1036628,2169034,3075172,2818655,5893827
Arunachal Pradesh,13517,12559,26076,83662,80399,164061,41309,43621,84930,124971,124020,248991
Assam,228797,214591,443388,1844170,1801193,3645363,917373,988402,1905775,2761543,2789595,5551138
Bihar,251500,174754,426254,7339469,6840063,14179532,3635833,3617710,7253543,10975302,10457773,21433075
Chandigarh,11507,10552,22059,50841,45107,95948,34343,29759,64102,85184,74866,160050
Chhattisgarh,120536,107431,227967,1379792,1312721,2692513,753340,733078,1486418,2133132,2045799,4178931
"Dadra and Nagar Haveli andDaman and Diu",2738,2373,5111,31296,28290,59586,18697,16653,35350,49993,44943,94936
Delhi,128967,124658,253625,928498,825932,1754430,633559,557216,1190775,1562057,1383148,2945205
Goa,11457,11099,22556,62585,58771,121356,37525,34785,72310,100110,93556,193666
Gujarat,90861,73830,164691,2848644,2538546,5387190,1638632,1452353,3090985,4487276,3990899,8478175
Haryana,135943,107702,243645,1406310,1172952,2579262,813172,667167,1480339,2219482,1840119,4059601
Himachal Pradesh,55078,49796,104874,288640,262353,550993,178750,163945,342695,467390,426298,893688
Jammu and Kashmir,205990,189259,395249,576318,530614,1106932,301526,275979,577505,877844,806593,1684437
Jharkhand,157652,124891,282543,1938656,1802253,3740909,1060618,1053691,2114309,2999274,2855944,5855218
Karnataka,141477,123551,265028,2837353,2618873,5456226,1645934,1551012,3196946,4483287,4169885,8653172
Kerala,289712,278460,568172,1274839,1211401,2486240,767896,733107,1501003,2042735,1944508,3987243
Ladakh,5533,5185,10718,11609,11283,22892,5907,6259,12166,17516,17542,35058
Lakshadweep,814,768,1582,2759,2636,5395,1473,1340,2813,4232,3976,8208
Madhya Pradesh,403029,338950,741979,3833282,3524107,7357389,2195869,2028350,4224219,6029151,5552457,11581608
Maharashtra,276372,249489,525861,5015735,4549586,9565321,3115548,2740049,5855597,8131283,7289635,15420918
Manipur,31759,29964,61723,158618,151405,310023,75988,74875,150863,234606,226280,460886
Meghalaya,109509,105273,214782,267341,263049,530390,115006,129002,244008,382347,392051,774398
Mizoram,16402,16165,32567,70199,66450,136649,36464,35485,71949,106663,101935,208598
Nagaland,39322,37299,76621,90734,87221,177955,47945,48494,96439,138679,135715,274394
Odisha,27123,22253,49376,1815168,1703985,3519153,1064056,1007699,2071755,2879224,2711684,5590908
Puducherry,11595,10923,22518,49290,45798,95088,31290,29477,60767,80580,75275,155855
Punjab,424765,370689,795454,1252540,1071757,2324297,741390,633572,1374962,1993930,1705329,3699259
Rajasthan,275725,216782,492507,4360498,3896222,8256720,2294584,2013665,4308249,6655082,5909887,12564969
Sikkim,10213,9421,19634,24237,21653,45890,14970,14499,29469,39207,36152,75359
Tamil Nadu,344384,319267,663651,2674754,2484126,5158880,1605701,1509597,3115298,4280455,3993723,8274178
Telangana,81382,70210,151592,1594470,1446848,3041318,934269,866949,1801218,2528739,2313797,4842536
Tripura,15708,13975,29683,158968,153430,312398,90154,89405,179559,249122,242835,491957
Uttar Pradesh,228022,179012,407034,12645781,11536854,24182635,5986744,5603350,11590094,18632525,17140204,35772729
Uttarakhand,51984,42174,94158,564938,496956,1061894,314114,281668,595782,879052,778624,1657676
West Bengal,806753,761500,1568253,4079602,3887063,7966665,2220277,2201470,4421747,6299879,6088533,12388412
