"India/State/ UT",Enrolment – Government,,,,,,,,,,,
"",Secondary (9-10),Higher Secondary (11-12),Primary to Higher Secondary (1-12),Total (Pre-Primary to Higher Secondary),,,,,,,,
"",Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total
(1),(14),(15),(16),(17),(18),(19),(20),(21),(22),(23),(24),(25)
India,8693396,9077606,17771002,5586742,6083308,11670050,69794400,70704318,140498718,71178414,72062066,143240480
Andaman and Nicobar Islands,4706,4571,9277,4759,4831,9590,23872,23423,47295,25791,25377,51168
Andhra Pradesh,412632,423350,835982,121714,140549,262263,2333353,2358266,4691619,2335660,2360547,4696207
Arunachal Pradesh,17129,18372,35501,14265,15383,29648,108061,117502,225563,112124,121784,233908
Assam,302400,375267,677667,154417,166947,321364,2429073,2619402,5048475,2542662,2735009,5277671
Bihar,1465342,1536262,3001604,659135,660065,1319200,10954072,11035373,21989445,10954072,11035373,21989445
Chandigarh,15661,13393,29054,14891,13647,28538,82689,74507,157196,86721,78435,165156
Chhattisgarh,309789,344668,654457,262096,319353,581449,2085755,2173081,4258836,2087530,2174523,4262053
"Dadra and Nagar Haveli andDaman and Diu",6479,6007,12486,4852,5394,10246,44966,44141,89107,45925,45101,91026
Delhi,247389,241777,489166,210986,227023,438009,1332746,1340155,2672901,1391010,1405666,2796676
Goa,2742,2422,5164,2623,2296,4919,21648,20314,41962,22143,20789,42932
Gujarat,95788,94019,189807,40055,40030,80085,2817507,2747892,5565399,2820006,2750869,5570875
Haryana,214444,212246,426690,187291,184772,372063,1301689,1294801,2596490,1304521,1297963,2602484
Himachal Pradesh,73493,71468,144961,93159,87802,180961,434006,424083,858089,455353,445396,900749
Jammu and Kashmir,107574,101965,209539,130122,115920,246042,668196,659010,1327206,740271,733097,1473368
Jharkhand,311632,354116,665748,187637,217092,404729,2538345,2665207,5203552,2558012,2684856,5242868
Karnataka,382028,403911,785939,168013,202361,370374,2652809,2770765,5423574,2664244,2781745,5445989
Kerala,155433,143675,299108,181399,185765,367164,867253,832482,1699735,949784,912236,1862020
Ladakh,2042,2400,4442,2587,2961,5548,11265,13357,24622,13549,15763,29312
Lakshadweep,986,887,1873,965,958,1923,6183,5821,12004,6997,6589,13586
Madhya Pradesh,746143,737269,1483412,526558,538419,1064977,4664086,4738059,9402145,4678115,4751619,9429734
Maharashtra,129314,126193,255507,40479,41265,81744,2902504,2866267,5768771,2945392,2907702,5853094
Manipur,10787,11395,22182,12924,13400,26324,101004,103142,204146,107269,109367,216636
Meghalaya,5254,5964,11218,3985,4844,8829,190327,193135,383462,238253,238979,477232
Mizoram,8411,8594,17005,4525,5390,9915,68040,64721,132761,73506,69839,143345
Nagaland,8578,10883,19461,4584,5366,9950,62255,70715,132970,81008,89211,170219
Odisha,377708,373203,750911,45103,53205,98308,2638269,2614651,5252920,2639465,2615733,5255198
Puducherry,7551,7833,15384,7104,8567,15671,43235,44394,87629,48128,49240,97368
Punjab,236724,211870,448594,233278,208556,441834,1409625,1295780,2705405,1607943,1482493,3090436
Rajasthan,735872,738369,1474241,689318,664894,1354212,4907624,5000219,9907843,4909937,5002343,9912280
Sikkim,9282,9877,19159,7056,8700,15756,38577,39541,78118,41816,42595,84411
Tamil Nadu,459865,465808,925673,374408,426147,800555,2603424,2617613,5221037,2650741,2664104,5314845
Telangana,285288,304915,590203,147598,176242,323840,1634675,1662849,3297524,1637887,1665812,3303699
Tripura,43280,46994,90274,31302,34855,66157,262458,274907,537365,265305,277587,542892
Uttar Pradesh,170855,210751,381606,107305,142295,249600,9498555,9545385,19043940,9505072,9551579,19056651
Uttarakhand,76159,84756,160915,73967,82982,156949,476848,503571,980419,477059,503749,980808
West Bengal,1254636,1372156,2626792,836282,1075032,1911314,7579406,7849787,15429193,8155143,8408996,16564139
