"India/State/ UT",Enrolment – Government,,,,,,,,,,,
"",Pre-Primary,Primary (1 to 5),Upper Primary (6-8),Elementary (1-8),,,,,,,,
"",Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13)
India,1384014,1357748,2741762,36799061,36301714,73100775,18715201,19241690,37956891,55514262,55543404,111057666
Andaman and Nicobar Islands,1919,1954,3873,7908,7765,15673,6499,6256,12755,14407,14021,28428
Andhra Pradesh,2307,2281,4588,1110235,1103013,2213248,688772,691354,1380126,1799007,1794367,3593374
Arunachal Pradesh,4063,4282,8345,49379,51293,100672,27288,32454,59742,76667,83747,160414
Assam,113589,115607,229196,1356610,1378926,2735536,615646,698262,1313908,1972256,2077188,4049444
Bihar,0,0,0,5871117,5748410,11619527,2958478,3090636,6049114,8829595,8839046,17668641
Chandigarh,4032,3928,7960,29846,27572,57418,22291,19895,42186,52137,47467,99604
Chhattisgarh,1775,1442,3217,956532,942723,1899255,557338,566337,1123675,1513870,1509060,3022930
"Dadra and Nagar Haveli andDaman and Diu",959,960,1919,20973,20519,41492,12662,12221,24883,33635,32740,66375
Delhi,58264,65511,123775,492838,491283,984121,381533,380072,761605,874371,871355,1745726
Goa,495,475,970,12167,11766,23933,4116,3830,7946,16283,15596,31879
Gujarat,2499,2977,5476,1713764,1665216,3378980,967900,948627,1916527,2681664,2613843,5295507
Haryana,2832,3162,5994,581185,577315,1158500,318769,320468,639237,899954,897783,1797737
Himachal Pradesh,21347,21313,42660,157246,155030,312276,110108,109783,219891,267354,264813,532167
Jammu and Kashmir,72075,74087,146162,277426,283935,561361,153074,157190,310264,430500,441125,871625
Jharkhand,19667,19649,39316,1319608,1316817,2636425,719468,777182,1496650,2039076,2093999,4133075
Karnataka,11435,10980,22415,1323941,1346945,2670886,778827,817548,1596375,2102768,2164493,4267261
Kerala,82531,79754,162285,326388,309426,635814,204033,193616,397649,530421,503042,1033463
Ladakh,2284,2406,4690,4278,4949,9227,2358,3047,5405,6636,7996,14632
Lakshadweep,814,768,1582,2759,2636,5395,1473,1340,2813,4232,3976,8208
Madhya Pradesh,14029,13560,27589,2139243,2158511,4297754,1252142,1303860,2556002,3391385,3462371,6853756
Maharashtra,42888,41435,84323,2091386,2055485,4146871,641325,643324,1284649,2732711,2698809,5431520
Manipur,6265,6225,12490,58971,58170,117141,18322,20177,38499,77293,78347,155640
Meghalaya,47926,45844,93770,129523,125863,255386,51565,56464,108029,181088,182327,363415
Mizoram,5466,5118,10584,36695,33441,70136,18409,17296,35705,55104,50737,105841
Nagaland,18753,18496,37249,32947,35210,68157,16146,19256,35402,49093,54466,103559
Odisha,1196,1082,2278,1386813,1368852,2755665,828645,819391,1648036,2215458,2188243,4403701
Puducherry,4893,4846,9739,17178,16877,34055,11402,11117,22519,28580,27994,56574
Punjab,198318,186713,385031,572094,531821,1103915,367529,343533,711062,939623,875354,1814977
Rajasthan,2313,2124,4437,2242798,2306177,4548975,1239636,1290779,2530415,3482434,3596956,7079390
Sikkim,3239,3054,6293,11671,10383,22054,10568,10581,21149,22239,20964,43203
Tamil Nadu,47317,46491,93808,1058820,1021879,2080699,710331,703779,1414110,1769151,1725658,3494809
Telangana,3212,2963,6175,740955,711244,1452199,460834,470448,931282,1201789,1181692,2383481
Tripura,2847,2680,5527,116969,118579,235548,70907,74479,145386,187876,193058,380934
Uttar Pradesh,6517,6194,12711,6864206,6723539,13587745,2356189,2468800,4824989,9220395,9192339,18412734
Uttarakhand,211,178,389,215058,214528,429586,111664,121305,232969,326722,335833,662555
West Bengal,575737,559209,1134946,3469534,3365616,6835150,2018954,2036983,4055937,5488488,5402599,10891087
