"India/State/ UT",Enrolment – Private Unaided Recognized,,,,,,,,,,,
"",Pre-Primary,Primary (1 to 5),Upper Primary (6-8),Elementary (1-8),,,,,,,,
"",Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13)
India,3165922,2655069,5820991,21642902,17293492,38936394,11253354,8759875,20013229,32896256,26053367,58949623
Andaman and Nicobar Islands,1508,1468,2976,5144,4656,9800,2361,2162,4523,7505,6818,14323
Andhra Pradesh,39414,32953,72367,789604,634492,1424096,418029,316656,734685,1207633,951148,2158781
Arunachal Pradesh,8480,7359,15839,27338,22606,49944,10706,8105,18811,38044,30711,68755
Assam,107652,91207,198859,391625,328619,720244,187184,160754,347938,578809,489373,1068182
Bihar,137757,93981,231738,776343,520403,1296746,396671,265754,662425,1173014,786157,1959171
Chandigarh,6297,5653,11950,17812,14953,32765,10801,8815,19616,28613,23768,52381
Chhattisgarh,118510,105709,224219,403938,352959,756897,184860,156226,341086,588798,509185,1097983
"Dadra and Nagar Haveli andDaman and Diu",1779,1413,3192,9471,7096,16567,4710,3341,8051,14181,10437,24618
Delhi,70194,58640,128834,417578,312993,730571,225324,155120,380444,642902,468113,1111015
Goa,3652,3223,6875,12978,11108,24086,2215,2071,4286,15193,13179,28372
Gujarat,87635,70156,157791,1107303,848011,1955314,621885,463917,1085802,1729188,1311928,3041116
Haryana,120637,94646,215283,780210,562248,1342458,479889,336053,815942,1260099,898301,2158400
Himachal Pradesh,33731,28483,62214,131356,107292,238648,68642,54162,122804,199998,161454,361452
Jammu and Kashmir,132741,114224,246965,295461,244353,539814,147435,118002,265437,442896,362355,805251
Jharkhand,35131,26873,62004,188375,137348,325723,155333,114506,269839,343708,251854,595562
Karnataka,127688,110615,238303,1318518,1087963,2406481,665322,543463,1208785,1983840,1631426,3615266
Kerala,97352,91777,189129,406191,373091,779282,183653,168795,352448,589844,541886,1131730
Ladakh,3249,2779,6028,6943,6202,13145,3455,3141,6596,10398,9343,19741
Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,387886,324364,712250,1639135,1312743,2951878,919007,699888,1618895,2558142,2012631,4570773
Maharashtra,178719,153547,332266,1701667,1356404,3058071,833071,620527,1453598,2534738,1976931,4511669
Manipur,22457,20960,43417,85789,79866,165655,53460,50418,103878,139249,130284,269533
Meghalaya,27773,27140,54913,60485,60224,120709,15854,16809,32663,76339,77033,153372
Mizoram,10327,10424,20751,31158,30664,61822,14738,14739,29477,45896,45403,91299
Nagaland,20553,18788,39341,57764,51979,109743,31799,29238,61037,89563,81217,170780
Odisha,22092,18148,40240,376603,293400,670003,160413,119228,279641,537016,412628,949644
Puducherry,6353,5395,11748,28908,23702,52610,17179,14033,31212,46087,37735,83822
Punjab,225078,182491,407569,652227,513345,1165572,347799,268340,616139,1000026,781685,1781711
Rajasthan,272335,213704,486039,2043800,1521095,3564895,1043962,712407,1756369,3087762,2233502,5321264
Sikkim,6897,6228,13125,12200,10713,22913,3943,3167,7110,16143,13880,30023
Tamil Nadu,291301,267477,558778,1264913,1098840,2363753,571593,467226,1038819,1836506,1566066,3402572
Telangana,77567,66400,143967,835713,710712,1546425,462938,379440,842378,1298651,1090152,2388803
Tripura,11275,9922,21197,32023,26607,58630,14851,12177,27028,46874,38784,85658
Uttar Pradesh,217519,169070,386589,4874764,3913110,8787874,2641873,2192422,4834295,7516637,6105532,13622169
Uttarakhand,51276,41495,92771,320665,254133,574798,169292,128175,297467,489957,382308,872265
West Bengal,203107,178357,381464,538900,459562,998462,183107,150598,333705,722007,610160,1332167
