"India/State/ UT",Percentage of all minority groups’ enrolment to total enrolment,,,,,,,,,,,,,,,,,
"",Primary (1 to 5),"Upper Primary(6 to 8)",Elementary (1 to 8),Secondary (9-10),"Higher Secondary (11-12)","Primary to HigherSecondary",,,,,,,,,,,,
"",Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16),(17),(18),(19)
India,18.6,19.1,18.8,17.3,18.4,17.8,18.1,18.8,18.5,15.6,17.2,16.4,14.2,16.0,15.1,17.3,18.3,17.8
Andaman and Nicobar Islands,29.6,29.9,29.8,29.1,30.0,29.6,29.4,29.9,29.7,29.9,30.9,30.4,26.4,27.8,27.1,29.0,29.7,29.4
Andhra Pradesh,8.2,8.3,8.3,7.0,7.4,7.2,7.8,8.0,7.9,6.3,6.6,6.5,5.7,5.5,5.6,7.3,7.4,7.4
Arunachal Pradesh,40.7,40.1,40.4,40.1,40.1,40.1,40.5,40.1,40.3,41.1,41.8,41.4,39.9,40.6,40.2,40.5,40.4,40.4
Assam,46.4,46.4,46.4,41.6,45.1,43.4,44.8,45.9,45.4,33.3,38.9,36.3,27.9,29.5,28.7,42.0,43.6,42.8
Bihar,15.0,15.7,15.4,13.8,15.4,14.6,14.6,15.6,15.1,10.9,12.9,11.9,10.0,11.2,10.6,13.8,14.9,14.3
Chandigarh,14.5,14.2,14.4,14.6,14.8,14.7,14.5,14.4,14.5,14.6,15.0,14.8,17.4,17.1,17.3,15.0,15.0,15.0
Chhattisgarh,2.7,2.6,2.6,2.6,2.5,2.6,2.6,2.6,2.6,2.5,2.5,2.5,2.4,2.4,2.4,2.6,2.5,2.6
"Dadra and Nagar Haveli andDaman and Diu",6.2,6.0,6.1,6.3,6.1,6.2,6.3,6.1,6.2,6.2,6.2,6.2,4.7,4.0,4.4,6.1,5.8,6.0
Delhi,17.4,19.1,18.2,17.5,19.5,18.4,17.5,19.3,18.3,16.4,18.8,17.5,14.2,17.2,15.7,16.8,18.9,17.8
Goa,27.7,28.5,28.1,28.6,29.1,28.8,28.0,28.7,28.3,28.2,29.4,28.8,27.0,27.9,27.5,27.9,28.7,28.3
Gujarat,9.8,10.3,10.0,9.7,10.0,9.9,9.8,10.2,10.0,8.6,8.6,8.6,7.0,7.7,7.3,9.3,9.7,9.5
Haryana,13.0,13.2,13.1,10.6,10.3,10.5,12.1,12.1,12.1,8.8,7.9,8.4,7.4,5.9,6.7,10.9,10.6,10.8
Himachal Pradesh,2.9,2.8,2.9,3.1,3.0,3.0,3.0,2.9,2.9,2.9,2.9,2.9,2.0,2.0,2.0,2.8,2.7,2.8
Jammu and Kashmir,64.9,66.6,65.7,61.7,64.3,62.9,63.8,65.8,64.8,61.1,63.3,62.1,61.3,62.8,62.0,63.1,65.0,64.0
Jharkhand,17.0,17.8,17.4,16.9,18.0,17.4,17.0,17.8,17.4,14.6,16.5,15.5,12.8,15.2,14.0,16.2,17.4,16.8
Karnataka,18.4,18.8,18.6,17.7,18.0,17.8,18.1,18.5,18.3,16.8,17.6,17.2,11.4,14.0,12.7,17.2,17.9,17.6
Kerala,50.8,50.7,50.8,49.8,49.7,49.7,50.4,50.3,50.4,49.2,49.1,49.1,42.6,43.6,43.1,49.1,49.1,49.1
Ladakh,90.8,91.3,91.0,90.8,92.3,91.6,90.8,91.7,91.2,92.6,93.4,93.0,97.1,97.1,97.1,91.9,92.7,92.3
Lakshadweep,99.7,99.4,99.6,99.6,99.8,99.7,99.7,99.6,99.6,99.8,99.8,99.8,99.9,100.0,100.0,99.7,99.7,99.7
Madhya Pradesh,6.0,6.2,6.1,5.7,6.1,5.9,5.9,6.1,6.0,4.6,5.4,5.0,4.3,5.4,4.8,5.5,6.0,5.7
Maharashtra,17.8,18.6,18.2,17.0,18.1,17.5,17.5,18.4,17.9,15.9,17.1,16.5,13.2,14.8,13.9,16.6,17.7,17.1
Manipur,52.3,51.9,52.1,46.2,46.1,46.1,50.3,50.0,50.2,44.6,45.3,45.0,41.1,40.3,40.7,48.4,48.1,48.2
Meghalaya,80.6,80.8,80.7,79.0,80.0,79.5,80.1,80.5,80.3,79.4,80.6,80.1,78.0,79.5,78.8,79.9,80.4,80.2
Mizoram,90.2,90.2,90.2,89.8,90.4,90.1,90.1,90.3,90.2,90.0,90.6,90.3,88.9,87.4,88.2,90.0,90.0,90.0
Nagaland,84.2,84.7,84.4,84.2,84.7,84.4,84.2,84.7,84.4,83.5,84.6,84.1,86.0,84.2,85.0,84.2,84.6,84.4
Odisha,3.7,3.7,3.7,3.7,3.9,3.8,3.7,3.8,3.7,3.6,3.9,3.7,2.9,3.4,3.1,3.6,3.7,3.7
Puducherry,12.7,13.8,13.2,11.9,13.3,12.6,12.4,13.6,13.0,11.4,12.9,12.1,11.7,12.4,12.1,12.1,13.3,12.7
Punjab,51.1,50.3,50.7,52.9,52.2,52.6,51.8,51.0,51.4,54.9,53.8,54.4,57.8,56.2,57.0,53.2,52.2,52.7
Rajasthan,10.8,10.7,10.8,9.3,9.1,9.2,10.3,10.2,10.2,7.9,7.7,7.8,6.5,6.2,6.4,9.5,9.3,9.4
Sikkim,37.7,33.9,35.9,35.7,37.6,36.7,37.0,35.4,36.2,34.9,37.6,36.2,34.9,37.4,36.3,36.3,36.2,36.2
Tamil Nadu,12.9,13.2,13.1,12.9,13.2,13.0,12.9,13.2,13.0,12.7,13.0,12.9,12.8,12.8,12.8,12.8,13.1,13.0
Telangana,15.9,16.4,16.1,16.5,17.4,17.0,16.1,16.8,16.4,15.9,16.9,16.4,15.9,16.3,16.1,16.1,16.7,16.4
Tripura,17.6,17.1,17.4,17.2,17.6,17.4,17.5,17.3,17.4,16.0,17.6,16.8,13.0,13.3,13.1,16.7,16.8,16.8
Uttar Pradesh,17.3,17.6,17.5,14.8,15.6,15.2,16.5,17.0,16.8,12.3,13.6,12.9,11.0,12.6,11.8,15.4,16.1,15.7
Uttarakhand,19.7,20.0,19.9,15.1,16.1,15.6,18.1,18.6,18.3,10.5,12.2,11.3,8.1,9.8,8.9,15.5,16.3,15.9
West Bengal,33.9,34.4,34.2,33.4,35.2,34.3,33.7,34.7,34.2,26.8,30.6,28.8,23.6,31.5,28.0,31.6,33.6,32.6
