"India/State /UT",Promotion Rate,,,,,,,,
"",Primary (1 to 5),Upper Primary (6-8),Secondary (9-10),,,,,,
"",Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10)
India,98.1,98.1,98.1,96.6,95.9,96.3,86,86.7,86.3
Andaman and Nicobar Islands,99.8,99.4,99.6,99.1,99,99.1,93.8,96,94.8
Andhra Pradesh,100,100,100,98.2,98.4,98.3,82.4,85,83.7
Arunachal Pradesh,88.3,88.5,88.4,93.3,90,91.6,87.6,87,87.3
Assam,92.9,94.6,93.8,89.7,92.1,90.9,79.1,78.2,78.6
Bihar,100,100,100,95.9,94.8,95.3,80.4,78.5,79.5
Chandigarh,100,100,100,100,100,100,100,100,100
Chhattisgarh,98.9,99.2,99.1,94.9,96.5,95.7,88.2,91.7,90
"Dadra and Nagar Haveli and Damanand Diu",100,100,100,100,99.9,100,88.9,91.3,90
Delhi,100,100,100,100,100,100,92,94.2,93
Goa,100,100,100,100,100,100,86.1,93.4,89.5
Gujarat,100,100,100,95.8,94.2,95.1,80.6,84.1,82.2
Haryana,100,100,100,99.7,99.7,99.7,92.3,94.3,93.2
Himachal Pradesh,100,100,100,99.4,99.5,99.4,98,99,98.5
Jammu and Kashmir,96,95.8,95.9,97.1,96.8,97,94,93.4,93.7
Jharkhand,97.4,98.7,98,96.1,95.8,96,89.9,90.7,90.3
Karnataka,99,99.1,99.1,97.4,97.4,97.4,82.1,85.2,83.6
Kerala,100,100,100,100,100,100,93.2,95.9,94.5
Ladakh,92.5,94.5,93.5,97.7,99.9,98.8,95.2,93.9,94.5
Lakshadweep,99.5,99.6,99.6,96.8,98.1,97.4,99.6,100,100
Madhya Pradesh,96.2,96.5,96.3,90.8,90.5,90.7,88.3,89.4,88.8
Maharashtra,99.9,100,99.9,98.5,98.3,98.4,88.9,89.1,89
Manipur,86.3,86.9,86.6,94,94.7,94.3,98.5,98.7,98.6
Meghalaya,87.3,90.4,88.8,86,89.3,87.7,72.3,76,74.3
Mizoram,92.8,94.3,93.6,96.1,98.3,97.2,84.9,87.4,86.2
Nagaland,92.5,94,93.2,92.8,94.7,93.8,76.9,80.1,78.6
Odisha,100,100,100,91.8,93.3,92.5,70.5,74.5,72.5
Puducherry,96.3,96.4,96.3,97.3,97.9,97.6,91.6,95.9,93.7
Punjab,98.3,99,98.6,91.3,92.8,92,81.4,83.8,82.5
Rajasthan,96.2,96.7,96.4,95.6,95.8,95.7,90.9,91.2,91
Sikkim,96.9,99.5,98.1,99.8,100,99.9,83,88.8,86
Tamil Nadu,100,100,100,100,100,100,93.4,97.3,95.3
Telangana,100,100,100,96.6,97.1,96.9,85.5,87.1,86.3
Tripura,98.7,98.9,98.8,94.9,95.5,95.2,90,90.7,90.3
Uttar Pradesh,97,96.4,96.7,97.9,94.6,96.3,89.1,88.7,88.9
Uttarakhand,99,99.4,99.2,97,97.6,97.3,93.9,94.8,94.3
West Bengal,89.5,88.5,89,98.9,98.7,98.8,76,77,76.6
