"India/State /UT",Repetition Rate,,,,,,,,
"",Primary (1 to 5),Upper Primary (6-8),Secondary (9-10),,,,,,
"",Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10)
India,0.4,0.5,0.5,0.7,0.8,0.7,1.1,1.1,1.1
Andaman and Nicobar Islands,0,0,0,0,0,0,0.2,0.1,0.2
Andhra Pradesh,0.2,0.3,0.3,0.1,0.1,0.1,0.1,0.1,0.1
Arunachal Pradesh,2.5,2.3,2.4,1.9,1.6,1.7,1.2,0.8,1
Assam,0.2,0.2,0.2,0.3,0.3,0.3,1.1,1.1,1.1
Bihar,0.1,0,0,0.1,0,0.1,0.1,0.1,0.1
Chandigarh,0,0.1,0,0,0,0,1.3,0.8,1.1
Chhattisgarh,0.2,0.2,0.2,0.2,0.1,0.2,0.3,0.3,0.3
"Dadra and Nagar Haveli and Damanand Diu",0.1,0.1,0.1,0.2,0.2,0.2,0.6,0.3,0.5
Delhi,0,0,0,0,0,0,2.2,2.1,2.2
Goa,0,0,0,0,0,0,1.9,1.2,1.6
Gujarat,0,0,0,0,0,0,0,0,0
Haryana,0.2,0.2,0.2,0.1,0.1,0.1,1,0.8,0.9
Himachal Pradesh,0,0,0,0,0,0,0.1,0.1,0.1
Jammu and Kashmir,0.1,0.1,0.1,0,0.1,0.1,0.4,0.3,0.3
Jharkhand,0.3,0.2,0.2,0.2,0.2,0.2,0.4,0.4,0.4
Karnataka,1.5,1.5,1.5,1.5,1.6,1.5,1.8,1.8,1.8
Kerala,0,0,0,0,0,0,0,0,0
Ladakh,0,0,0,0.1,0.1,0.1,0.8,0.5,0.6
Lakshadweep,0,0,0,0,0,0,0,0,0
Madhya Pradesh,0.6,0.6,0.6,0.6,0.5,0.5,1.1,0.9,1
Maharashtra,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.3,0.3
Manipur,0.2,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1
Meghalaya,1.6,1.1,1.3,1.9,1.3,1.6,4.4,3.6,4
Mizoram,0.1,0.1,0.1,0.1,0,0.1,2.1,1.8,1.9
Nagaland,1.9,1.5,1.7,2.5,1.9,2.2,4.2,3.7,3.9
Odisha,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2
Puducherry,0,0,0,0,0,0,0,0,0
Punjab,0.1,0.1,0.1,0.1,0.1,0.1,0.4,0.2,0.3
Rajasthan,0,0,0,0,0,0,1.4,1.3,1.4
Sikkim,0.2,0.1,0.1,0.3,0.2,0.2,2.4,1.7,2.1
Tamil Nadu,0,0,0,0,0,0,0.3,0.2,0.3
Telangana,0,0,0,0,0,0,0,0,0
Tripura,0.2,0.2,0.2,0.4,0.3,0.3,1.5,1.2,1.3
Uttar Pradesh,0.7,0.6,0.6,0.8,0.8,0.8,1.4,1.3,1.4
Uttarakhand,0.1,0.1,0.1,0,0,0,0.8,0.6,0.7
West Bengal,1.4,3.4,2.4,6.4,6.9,6.6,5.6,5.3,5.5
