"India/State/ UT",Percentage of OBC enrolment to total enrolment,,,,,,,,,,,,,,,,,
"",Primary (1 to 5),"Upper Primary(6 to 8)",Elementary (1 to 8),Secondary (9-10),"Higher Secondary (11-12)","Primary to HigherSecondary",,,,,,,,,,,,
"",Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16),(17),(18),(19)
India,45.0,45.1,45.1,44.7,45.0,44.8,44.9,45.1,45.0,45.4,45.0,45.2,44.5,43.9,44.2,44.9,45.0,44.9
Andaman and Nicobar Islands,23.8,24.3,24.0,23.4,23.9,23.6,23.6,24.1,23.9,25.1,25.6,25.3,26.7,28.0,27.3,24.4,25.0,24.7
Andhra Pradesh,52.0,51.8,51.9,51.5,51.5,51.5,51.9,51.7,51.8,51.0,50.9,51.0,48.4,47.9,48.2,51.3,51.1,51.2
Arunachal Pradesh,2.3,2.2,2.2,2.1,2.0,2.1,2.2,2.1,2.2,1.7,1.5,1.6,1.6,1.5,1.5,2.1,2.0,2.0
Assam,25.0,25.1,25.0,26.4,25.0,25.7,25.5,25.1,25.3,28.2,26.4,27.2,27.3,27.3,27.3,26.0,25.4,25.7
Bihar,60.7,61.4,61.0,62.7,63.9,63.3,61.4,62.2,61.8,63.5,64.1,63.8,61.4,61.9,61.6,61.7,62.5,62.1
Chandigarh,3.4,2.9,3.2,3.1,3.1,3.1,3.3,3.0,3.1,3.9,3.9,3.9,3.9,4.0,4.0,3.5,3.3,3.4
Chhattisgarh,44.5,44.8,44.6,46.1,46.4,46.2,45.1,45.3,45.2,48.5,48.5,48.5,49.4,48.9,49.1,46.1,46.3,46.2
"Dadra and Nagar Haveli andDaman and Diu",10.6,9.8,10.2,11.5,11.5,11.5,10.9,10.4,10.7,17.2,17.7,17.4,18.8,19.5,19.2,12.7,12.5,12.6
Delhi,5.8,5.4,5.6,6.1,5.1,5.6,5.9,5.2,5.6,7.2,6.5,6.9,8.8,8.0,8.4,6.6,5.9,6.2
Goa,7.1,7.3,7.2,10.6,11.2,10.9,8.4,8.8,8.6,12.3,12.7,12.5,16.8,17.4,17.1,10.3,10.7,10.5
Gujarat,47.0,48.0,47.5,47.1,48.0,47.5,47.0,48.0,47.5,46.6,44.8,45.8,44.1,40.9,42.6,46.6,46.8,46.7
Haryana,31.1,31.4,31.2,30.0,30.0,30.0,30.7,30.9,30.8,29.8,29.5,29.7,29.6,29.1,29.4,30.4,30.4,30.4
Himachal Pradesh,13.4,13.1,13.3,13.8,13.6,13.7,13.6,13.3,13.4,14.1,13.8,14.0,15.6,15.1,15.4,14.0,13.7,13.9
Jammu and Kashmir,6.3,6.4,6.4,6.4,6.6,6.5,6.3,6.5,6.4,6.3,6.6,6.4,5.5,6.0,5.7,6.2,6.4,6.3
Jharkhand,47.4,47.7,47.5,48.4,49.3,48.9,47.8,48.3,48.0,49.1,50.3,49.7,46.6,46.6,46.6,47.8,48.4,48.1
Karnataka,63.3,63.2,63.3,62.4,62.6,62.5,63.0,63.0,63.0,63.8,64.5,64.1,63.2,64.8,64.0,63.1,63.4,63.3
Kerala,69.4,69.4,69.4,68.3,68.5,68.4,69.0,69.1,69.1,67.5,67.9,67.7,62.6,63.5,63.1,67.8,68.0,67.9
Ladakh,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.0,0.1,0.1,0.1,0.1
Lakshadweep,1.3,1.5,1.4,0.6,1.0,0.8,1.0,1.3,1.2,0.3,1.0,0.6,0.6,0.6,0.6,0.9,1.2,1.0
Madhya Pradesh,43.1,43.0,43.1,43.7,44.0,43.8,43.3,43.3,43.3,47.0,46.6,46.9,48.3,47.5,47.9,44.4,44.2,44.3
Maharashtra,31.8,31.7,31.7,32.2,31.9,32.1,31.9,31.8,31.9,33.0,32.6,32.8,34.4,34.0,34.2,32.4,32.2,32.3
Manipur,29.1,29.3,29.2,31.4,32.1,31.8,29.8,30.2,30.0,32.1,31.5,31.8,26.0,25.6,25.8,29.7,29.8,29.8
Meghalaya,0.6,0.6,0.6,0.9,0.7,0.8,0.7,0.6,0.7,0.9,0.8,0.9,1.1,0.8,0.9,0.7,0.7,0.7
Mizoram,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.5,0.4,0.4,0.2,0.1,0.1
Nagaland,2.8,2.4,2.6,2.5,2.3,2.4,2.7,2.4,2.6,2.6,2.4,2.5,2.2,2.3,2.3,2.7,2.4,2.5
Odisha,37.3,37.0,37.2,37.4,36.9,37.2,37.3,37.0,37.2,40.1,38.9,39.5,30.0,29.3,29.7,37.2,36.6,36.9
Puducherry,70.3,70.2,70.3,69.0,70.6,69.8,69.8,70.4,70.1,67.4,70.9,69.1,71.3,72.8,72.1,69.6,70.9,70.2
Punjab,14.8,15.2,15.0,15.5,16.1,15.8,15.1,15.5,15.3,16.4,17.3,16.8,16.8,17.8,17.2,15.6,16.1,15.8
Rajasthan,48.5,48.1,48.3,48.7,48.5,48.6,48.5,48.2,48.4,50.5,49.8,50.2,50.5,49.1,49.9,49.1,48.6,48.8
Sikkim,36.7,38.9,37.8,39.3,38.8,39.1,37.7,38.9,38.3,40.4,38.6,39.5,40.5,40.7,40.6,38.6,39.1,38.9
Tamil Nadu,67.8,67.4,67.6,67.8,67.6,67.7,67.8,67.5,67.6,67.2,66.9,67.1,68.1,67.2,67.7,67.7,67.3,67.5
Telangana,49.6,49.5,49.5,49.4,49.4,49.4,49.5,49.5,49.5,49.8,49.7,49.8,55.0,54.5,54.7,50.2,50.1,50.2
Tripura,18.1,18.4,18.2,19.0,19.5,19.2,18.4,18.8,18.6,21.3,20.9,21.1,22.4,22.3,22.4,19.3,19.5,19.4
Uttar Pradesh,54.2,54.7,54.4,52.5,53.0,52.7,53.7,54.1,53.9,54.0,53.7,53.8,53.7,53.4,53.6,53.7,54.0,53.8
Uttarakhand,31.5,32.0,31.7,26.6,27.9,27.2,29.7,30.5,30.1,22.8,23.9,23.3,20.4,21.9,21.1,27.4,28.3,27.8
West Bengal,12.9,12.8,12.8,15.7,15.7,15.7,13.9,13.8,13.8,17.1,17.5,17.3,17.1,17.9,17.5,14.7,15.0,14.8
