"India/State/ UT",Percentage of Schools with CWSN friendly toilet,Percentage of Schools with functional CWSN friendly toilet,,,,,,,,
"","Allmanagement",Government.,"Government.aided",Pvt. unaided,Others,"Allmanagement",Government.,"Government.aided",Pvt. unaided,Others
(1),(17),(18),(19),(20),(21),(22),(23),(24),(25),(26)
India,27,26.4,26.9,30.3,16.2,25.7,24.9,26.1,29.4,15.6
Andaman and Nicobar Islands,23.1,24.6,0,16.7,0,22.6,24,0,16.7,0
Andhra Pradesh,19.9,14.4,15.1,36.7,26.1,19.4,13.9,14.7,36.4,24.6
Arunachal Pradesh,10.4,9.7,10.3,14.5,14.9,5.9,4.3,10.3,14.3,14.9
Assam,18.2,21.4,6.1,15.9,3.7,17.5,20.6,5.5,15.1,3.3
Bihar,14.4,12.7,15.1,24.7,19.7,14,12.3,14.7,24.2,19.3
Chandigarh,73.4,82.1,57.1,80.3,18.5,73.4,82.1,57.1,80.3,18.5
Chhattisgarh,73,75.4,51.3,58.8,49.1,67,68.7,49.2,56.7,47.1
"Dadra and Nagar Haveli andDaman and Diu",85.7,95.4,50,30.2,100,84.6,94.1,50,30.2,100
Delhi,100,100,100,100,0,100,100,100,100,0
Goa,6.8,3.4,10.6,10.8,0,6.6,3.2,10.4,10.8,0
Gujarat,34.9,45.7,17.1,14.7,0,34.8,45.4,17.1,14.7,0
Haryana,43.8,60.4,12.5,17.8,13.4,42.7,59,12.5,17.1,13.4
Himachal Pradesh,23.5,21.8,0,33.4,50,22.6,20.9,0,32.5,50
Jammu and Kashmir,4.3,2.2,100,12.8,15.2,4,1.9,100,12.3,15.2
Jharkhand,5.2,4,6,18.9,8.8,4.8,3.6,5.9,18.1,7.8
Karnataka,17,13.1,15.6,27.6,0,15.6,11.5,14.5,26.4,0
Kerala,25.6,45.4,17.5,15.9,13.3,23.8,41,16.8,15.4,12.2
Ladakh,24,26.9,0,8.9,0,23.6,26.4,0,8.9,0
Lakshadweep,60.5,60.5,0,0,0,60.5,60.5,0,0,0
Madhya Pradesh,10.2,6.1,15.3,23,6.1,9.7,5.7,14.2,22,5.8
Maharashtra,52.7,51.2,51.8,59.2,49,48.8,45.8,50,57.7,48.1
Manipur,8.2,4.7,2.6,20.8,11.9,7.7,4.2,2.2,20.5,10.4
Meghalaya,2.6,2.2,2.7,4.1,1.9,2.4,1.9,2.5,3.7,1.9
Mizoram,17.6,24.5,6.1,3.8,9.5,14.1,19.4,5.2,3.6,7.1
Nagaland,5.5,5.5,0,5.4,0,4.6,4.5,0,5,0
Odisha,54.8,57.2,32.2,58.7,48.7,53.1,55.2,31.6,57.9,47.3
Puducherry,38,46.5,12.1,28.5,0,36.1,43.4,12.1,28.1,0
Punjab,79.6,77.3,74.4,85.2,100,79.2,76.9,74.4,85.1,100
Rajasthan,19.8,10.6,0,38.4,15.2,18.3,9.7,0,35.8,13.2
Sikkim,15,18.8,5.3,6.9,0,13.6,16.8,5.3,6.7,0
Tamil Nadu,29.9,36.2,10.1,24.4,19.3,29.9,36.2,10.1,24.4,19.3
Telangana,5.6,5.1,3.4,7.1,0.6,4.7,3.8,3.4,7.1,0.6
Tripura,8.8,8.7,20.9,14.1,1.5,7.6,7.3,18.6,13.8,1.5
Uttar Pradesh,24,23.8,22.9,25.2,18.4,22.5,21.7,22.1,24.5,17.6
Uttarakhand,6.9,5.4,5.4,11.7,7,6.2,4.7,5.3,10.9,5.8
West Bengal,30,29.7,22.7,31.8,31.3,30,29.7,22.7,31.8,31.3
