"India/State/ UT",Total Schools,Number of schools having drinking water facility within school premises – Government aided,"No. ofGovernment.aided schools nothaving drinkingwater facilitywithin schoolpremises","Percentage ofGovernment.aided schoolshaving drinkingwater facilitywithin schoolpremises",,,,,,
"",,"Any source ofdrinking water",Tap Water,Packed Water,Hand Pump,Well,"UnprotectedWell","Othersources",,
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11)
India,82480,80023,54109,959,16307,5529,230,2889,2457,97
Andaman and Nicobar Islands,2,2,2,0,0,0,0,0,0,100
Andhra Pradesh,1542,1541,1137,159,202,6,1,36,1,99.9
Arunachal Pradesh,68,67,63,0,1,1,0,2,1,98.5
Assam,3841,3372,440,14,2542,195,60,121,469,87.8
Bihar,742,737,180,7,544,0,1,5,5,99.3
Chandigarh,7,7,7,0,0,0,0,0,0,100
Chhattisgarh,417,417,221,5,184,6,0,1,0,100
"Dadra and Nagar Haveli andDaman and Diu",8,8,8,0,0,0,0,0,0,100
Delhi,247,247,247,0,0,0,0,0,0,100
Goa,557,557,554,0,0,2,0,1,0,100
Gujarat,5590,5590,4754,81,522,131,4,98,0,100
Haryana,16,16,16,0,0,0,0,0,0,100
Himachal Pradesh,0,0,0,0,0,0,0,0,0,0
Jammu and Kashmir,1,1,1,0,0,0,0,0,0,100
Jharkhand,1175,1158,379,2,720,25,2,30,17,98.6
Karnataka,7110,7109,6587,76,204,121,3,118,1,100
Kerala,7183,7182,3051,38,314,3600,16,163,1,100
Ladakh,28,28,14,1,12,0,0,1,0,100
Lakshadweep,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,740,715,368,3,292,16,2,34,25,96.6
Maharashtra,24037,24025,18270,192,3061,1123,22,1357,12,100
Manipur,583,567,91,77,20,23,4,352,16,97.3
Meghalaya,4172,2467,1882,24,95,200,107,159,1705,59.1
Mizoram,230,227,187,4,0,0,1,35,3,98.7
Nagaland,0,0,0,0,0,0,0,0,0,0
Odisha,5807,5723,2620,58,2989,32,5,19,84,98.6
Puducherry,33,33,33,0,0,0,0,0,0,100
Punjab,450,450,401,0,16,1,0,32,0,100
Rajasthan,0,0,0,0,0,0,0,0,0,0
Sikkim,19,19,19,0,0,0,0,0,0,100
Tamil Nadu,8323,8323,7831,139,133,33,0,187,0,100
Telangana,700,651,498,34,62,1,1,55,49,93
Tripura,43,40,32,0,5,2,0,1,3,93
Uttar Pradesh,8113,8061,3622,40,4318,8,0,73,52,99.4
Uttarakhand,608,595,522,3,62,2,0,6,13,97.9
West Bengal,88,88,72,2,9,1,1,3,0,100
