"India/State/ UT",Total Schools having Secondary Sections,"Schools with Secondary Sections having IntegratedScience Lab facility available","Percentage of Schools with Secondary Sections havingIntegrated Science Lab facility available",,,,,,,,,,,,
"","Allmanagement","Government.","Government.aided","Pvt.unaided",Others,"Allmanagement","Government.","Government.aided","Pvt.unaided",Others,"Allmanagement","Government.","Government.aided","Pvt.unaided",Others
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16)
India,276840,114848,41073,116176,4743,148447,56012,24329,67496,610,53.6,48.8,59.2,58.1,12.9
Andaman and Nicobar Islands,122,100,2,20,0,95,77,0,18,0,77.9,77,0,90,0
Andhra Pradesh,12445,6706,370,5354,15,7296,3359,183,3750,4,58.6,50.1,49.5,70,26.7
Arunachal Pradesh,483,332,34,117,0,270,158,27,85,0,55.9,47.6,79.4,72.7,0
Assam,8837,4472,878,2921,566,2307,1545,7,750,5,26.1,34.6,0.8,25.7,0.9
Bihar,11949,9341,315,1757,536,3034,1867,72,1043,52,25.4,20,22.9,59.4,9.7
Chandigarh,173,103,7,59,4,164,101,5,55,3,94.8,98.1,71.4,93.2,75
Chhattisgarh,7337,4870,106,2360,1,6202,4340,96,1766,0,84.5,89.1,90.6,74.8,0
"Dadra and Nagar Haveli andDaman and Diu",96,55,8,32,1,75,39,8,28,0,78.1,70.9,100,87.5,0
Delhi,2199,1119,180,900,0,2199,1119,180,900,0,100,100,100,100,0
Goa,437,87,321,29,0,397,72,298,27,0,90.9,82.8,92.8,93.1,0
Gujarat,11999,1857,5031,5108,3,5519,588,2415,2515,1,46,31.7,48,49.2,33.3
Haryana,8585,3436,15,5102,32,6516,2705,11,3791,9,75.9,78.7,73.3,74.3,28.1
Himachal Pradesh,4259,2865,0,1394,0,2414,1295,0,1119,0,56.7,45.2,0,80.3,0
Jammu and Kashmir,4412,2585,1,1814,12,2533,1332,0,1194,7,57.4,51.5,0,65.8,58.3
Jharkhand,4634,2830,171,1121,512,2570,1437,120,865,148,55.5,50.8,70.2,77.2,28.9
Karnataka,17251,5898,3768,7579,6,9992,2863,1832,5296,1,57.9,48.5,48.6,69.9,16.7
Kerala,4854,1294,1432,2037,91,3470,732,1151,1557,30,71.5,56.6,80.4,76.4,33
Ladakh,161,127,1,33,0,106,81,0,25,0,65.8,63.8,0,75.8,0
Lakshadweep,13,13,0,0,0,13,13,0,0,0,100,100,0,0,0
Madhya Pradesh,18052,9421,270,8358,3,10270,4700,192,5377,1,56.9,49.9,71.1,64.3,33.3
Maharashtra,26015,1951,15829,8137,98,19750,1425,12204,6082,39,75.9,73,77.1,74.7,39.8
Manipur,1162,466,89,607,0,745,290,31,424,0,64.1,62.2,34.8,69.9,0
Meghalaya,1638,132,675,666,165,526,60,307,133,26,32.1,45.5,45.5,20,15.8
Mizoram,715,311,137,237,30,191,161,11,15,4,26.7,51.8,8,6.3,13.3
Nagaland,761,311,0,450,0,282,63,0,219,0,37.1,20.3,0,48.7,0
Odisha,10036,5662,3334,938,102,3859,2930,353,542,34,38.5,51.8,10.6,57.8,33.3
Puducherry,381,137,30,214,0,311,108,24,179,0,81.6,78.8,80,83.6,0
Punjab,9364,3916,363,5084,1,7320,3281,332,3707,0,78.2,83.8,91.5,72.9,0
Rajasthan,31404,15669,0,15693,42,9235,4323,0,4909,3,29.4,27.6,0,31.3,7.1
Sikkim,267,218,11,38,0,185,152,2,31,0,69.3,69.7,18.2,81.6,0
Tamil Nadu,14480,6337,1821,6288,34,11435,6267,1202,3951,15,79,98.9,66,62.8,44.1
Telangana,12970,6525,257,6186,2,4907,1789,86,3032,0,37.8,27.4,33.5,49,0
Tripura,1181,1009,33,132,7,371,264,12,95,0,31.4,26.2,36.4,72,0
Uttar Pradesh,33515,2685,5147,23309,2374,17781,2082,2961,12527,211,53.1,77.5,57.5,53.7,8.9
Uttarakhand,3962,2399,397,1127,39,2413,1338,188,880,7,60.9,55.8,47.4,78.1,18
West Bengal,10691,9609,40,975,67,3694,3056,19,609,10,34.6,31.8,47.5,62.5,14.9
