"India/State/ UT",Total Schools,Schools with toilet facility,Schools with functional toilet facility,,,,,,,,,,,,
"","Allmanagement","Government.","Government.aided","Pvt.unaided",Others,"Allmanagement","Government.","Government.aided","Pvt.unaided",Others,"Allmanagement","Government.","Government.aided","Pvt.unaided",Others
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16)
India,1489115,1022386,82480,335844,48405,1469891,1010386,80067,334584,44854,1436286,983943,78399,330411,43533
Andaman and Nicobar Islands,416,342,2,72,0,416,342,2,72,0,416,342,2,72,0
Andhra Pradesh,61948,45137,1542,15058,211,61080,44318,1502,15049,211,60767,44034,1487,15036,210
Arunachal Pradesh,3603,2985,68,503,47,3502,2891,68,497,46,2686,2083,68,490,45
Assam,60859,45490,3841,5852,5676,56017,44864,2804,5715,2634,52857,43179,2249,5429,2000
Bihar,93165,75558,742,8097,8768,92880,75299,737,8090,8754,92542,74980,736,8086,8740
Chandigarh,233,123,7,76,27,233,123,7,76,27,233,123,7,76,27
Chhattisgarh,56512,48743,417,7063,289,56292,48523,417,7063,289,55686,47935,414,7049,288
"Dadra and Nagar Haveli andDaman and Diu",460,388,8,63,1,460,388,8,63,1,460,388,8,63,1
Delhi,5619,2762,247,2610,0,5619,2762,247,2610,0,5619,2762,247,2610,0
Goa,1510,814,557,139,0,1510,814,557,139,0,1510,814,557,139,0
Gujarat,53851,34699,5590,13559,3,53742,34594,5588,13557,3,53363,34219,5585,13556,3
Haryana,23726,14562,16,8261,887,23541,14377,16,8261,887,23471,14315,16,8256,884
Himachal Pradesh,18028,15380,0,2646,2,17954,15306,0,2646,2,17890,15249,0,2639,2
Jammu and Kashmir,28805,23173,1,5526,105,27718,22106,1,5508,103,26041,20436,1,5501,103
Jharkhand,44855,35840,1175,1559,6281,44526,35620,1095,1558,6253,43759,34993,1043,1553,6170
Karnataka,76450,49679,7110,19650,11,76122,49375,7109,19627,11,75607,48877,7106,19613,11
Kerala,16240,5010,7183,3164,883,16233,5003,7183,3164,883,16224,4996,7182,3164,882
Ladakh,978,838,28,112,0,973,833,28,112,0,958,818,28,112,0
Lakshadweep,38,38,0,0,0,38,38,0,0,0,38,38,0,0,0
Madhya Pradesh,125582,92695,740,30345,1802,124854,92075,739,30255,1785,122904,90391,732,30027,1754
Maharashtra,109605,65639,24037,19268,661,108511,64581,24013,19256,661,105710,62038,23910,19101,661
Manipur,4617,2889,583,1010,135,4421,2768,509,1009,135,3830,2314,379,1005,132
Meghalaya,14600,7783,4172,2120,525,12938,7317,3624,1632,365,11141,6256,3133,1424,328
Mizoram,3911,2563,230,1034,84,3790,2482,224,1004,80,3608,2316,219,996,77
Nagaland,2718,1960,0,757,1,2553,1809,0,743,1,2183,1455,0,727,1
Odisha,62291,49072,5807,6104,1308,61168,48476,5325,6075,1292,59725,47293,5135,6027,1270
Puducherry,736,422,33,281,0,736,422,33,281,0,736,422,33,281,0
Punjab,27701,19259,450,7978,14,27670,19229,450,7977,14,27639,19198,450,7977,14
Rajasthan,106373,68948,0,34826,2599,105017,67731,0,34793,2493,99683,64614,0,32814,2255
Sikkim,1259,864,19,376,0,1259,864,19,376,0,1257,862,19,376,0
Tamil Nadu,58801,37636,8323,12396,446,58801,37636,8323,12396,446,58801,37636,8323,12396,446
Telangana,43083,30023,700,12193,167,40791,27899,627,12100,165,35682,22859,601,12058,164
Tripura,4929,4262,43,363,261,4725,4125,43,361,196,4066,3506,43,348,169
Uttar Pradesh,258054,137024,8113,97808,15109,256576,135887,8080,97570,15039,252833,133467,8008,96522,14836
Uttarakhand,22815,16484,608,5225,498,22544,16225,602,5219,498,21687,15451,591,5163,482
West Bengal,94744,83302,88,9750,1604,94681,83284,87,9730,1580,94674,83284,87,9725,1578
