"India/State/ UT",Total Schools,"Schools conducted medical checkups in last academicyear","Percentage of Schools conducted medical checkupsin last academic year",,,,,,,,,,,,
"","Allmanagement","Government.","Government.aided","Pvt.unaided","Others","Allmanagement","Government.","Government.aided","Pvt.unaided",Others,"Allmanagement","Government.","Government.aided","Pvt.unaided",Others
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16)
India,1489115,1022386,82480,335844,48405,812451,607239,54976,139770,10466,54.6,59.4,66.7,41.6,21.6
Andaman and Nicobar Islands,416,342,2,72,0,279,242,2,35,0,67.1,70.8,100,48.6,0
Andhra Pradesh,61948,45137,1542,15058,211,54561,40941,1349,12119,152,88.1,90.7,87.5,80.5,72
Arunachal Pradesh,3603,2985,68,503,47,1295,1002,46,231,16,35.9,33.6,67.7,45.9,34
Assam,60859,45490,3841,5852,5676,35616,30676,1646,2009,1285,58.5,67.4,42.9,34.3,22.6
Bihar,93165,75558,742,8097,8768,12901,10351,107,1459,984,13.9,13.7,14.4,18,11.2
Chandigarh,233,123,7,76,27,64,41,4,15,4,27.5,33.3,57.1,19.7,14.8
Chhattisgarh,56512,48743,417,7063,289,36946,32996,303,3452,195,65.4,67.7,72.7,48.9,67.5
"Dadra and Nagar Haveli andDaman and Diu",460,388,8,63,1,354,328,5,21,0,77,84.5,62.5,33.3,0
Delhi,5619,2762,247,2610,0,2315,1048,70,1197,0,41.2,37.9,28.3,45.9,0
Goa,1510,814,557,139,0,367,100,246,21,0,24.3,12.3,44.2,15.1,0
Gujarat,53851,34699,5590,13559,3,44500,31405,4851,8244,0,82.6,90.5,86.8,60.8,0
Haryana,23726,14562,16,8261,887,14850,10602,6,3849,393,62.6,72.8,37.5,46.6,44.3
Himachal Pradesh,18028,15380,0,2646,2,3508,2630,0,878,0,19.5,17.1,0,33.2,0
Jammu and Kashmir,28805,23173,1,5526,105,11406,8981,1,2373,51,39.6,38.8,100,42.9,48.6
Jharkhand,44855,35840,1175,1559,6281,12751,10800,385,454,1112,28.4,30.1,32.8,29.1,17.7
Karnataka,76450,49679,7110,19650,11,64008,44305,6240,13457,6,83.7,89.2,87.8,68.5,54.6
Kerala,16240,5010,7183,3164,883,11047,3759,5244,1636,408,68,75,73,51.7,46.2
Ladakh,978,838,28,112,0,434,370,12,52,0,44.4,44.2,42.9,46.4,0
Lakshadweep,38,38,0,0,0,38,38,0,0,0,100,100,0,0,0
Madhya Pradesh,125582,92695,740,30345,1802,51376,42100,222,8772,282,40.9,45.4,30,28.9,15.7
Maharashtra,109605,65639,24037,19268,661,72804,46722,16570,9298,214,66.4,71.2,68.9,48.3,32.4
Manipur,4617,2889,583,1010,135,923,530,117,255,21,20,18.4,20.1,25.3,15.6
Meghalaya,14600,7783,4172,2120,525,4202,2529,1162,429,82,28.8,32.5,27.9,20.2,15.6
Mizoram,3911,2563,230,1034,84,1210,908,72,218,12,30.9,35.4,31.3,21.1,14.3
Nagaland,2718,1960,0,757,1,439,265,0,173,1,16.2,13.5,0,22.9,100
Odisha,62291,49072,5807,6104,1308,26399,20419,3168,2362,450,42.4,41.6,54.6,38.7,34.4
Puducherry,736,422,33,281,0,522,296,27,199,0,70.9,70.1,81.8,70.8,0
Punjab,27701,19259,450,7978,14,16393,12422,304,3659,8,59.2,64.5,67.6,45.9,57.1
Rajasthan,106373,68948,0,34826,2599,49843,36790,0,12307,746,46.9,53.4,0,35.3,28.7
Sikkim,1259,864,19,376,0,823,587,11,225,0,65.4,67.9,57.9,59.8,0
Tamil Nadu,58801,37636,8323,12396,446,58801,37636,8323,12396,446,100,100,100,100,100
Telangana,43083,30023,700,12193,167,28747,21357,395,6934,61,66.7,71.1,56.4,56.9,36.5
Tripura,4929,4262,43,363,261,3097,2807,27,168,95,62.8,65.9,62.8,46.3,36.4
Uttar Pradesh,258054,137024,8113,97808,15109,103331,73178,3611,23974,2568,40,53.4,44.5,24.5,17
Uttarakhand,22815,16484,608,5225,498,10967,8629,395,1787,156,48.1,52.4,65,34.2,31.3
West Bengal,94744,83302,88,9750,1604,75334,69449,55,5112,718,79.5,83.4,62.5,52.4,44.8
