India/ State/ UT,"Allmanagement",Government,"GovernmentAided","PrivateUnaidedRecognized",Others,,,,
"",,Total,KVS,NVS,"Other CentralGovernment","StateGovernment",,,
(1),(2),(3),(4),(5),(6),(7),(9),(10),(11)
India,1489115,1022386,1252,643,272,1020219,82480,335844,48405
Andaman and Nicobar Islands,416,342,2,3,0,337,2,72,0
Andhra Pradesh,61948,45137,41,15,3,45078,1542,15058,211
Arunachal Pradesh,3603,2985,19,16,3,2947,68,503,47
Assam,60859,45490,58,27,12,45393,3841,5852,5676
Bihar,93165,75558,49,39,4,75466,742,8097,8768
Chandigarh,233,123,4,1,2,116,7,76,27
Chhattisgarh,56512,48743,36,28,6,48673,417,7063,289
"Dadra and Nagar Haveli and Damanand Diu",460,388,2,3,0,383,8,63,1
Delhi,5619,2762,46,2,0,2714,247,2610,0
Goa,1510,814,5,2,0,807,557,139,0
Gujarat,53851,34699,45,34,7,34613,5590,13559,3
Haryana,23726,14562,35,21,3,14503,16,8261,887
Himachal Pradesh,18028,15380,25,12,11,15332,0,2646,2
Jammu and Kashmir,28805,23173,36,20,0,23117,1,5526,105
Jharkhand,44855,35840,41,26,12,35761,1175,1559,6281
Karnataka,76450,49679,52,30,19,49578,7110,19650,11
Kerala,16240,5010,39,14,2,4955,7183,3164,883
Ladakh,978,838,3,2,1,832,28,112,0
Lakshadweep,38,38,1,1,0,36,0,0,0
Madhya Pradesh,125582,92695,112,54,13,92516,740,30345,1802
Maharashtra,109605,65639,60,34,22,65523,24037,19268,661
Manipur,4617,2889,9,11,1,2868,583,1010,135
Meghalaya,14600,7783,7,11,0,7765,4172,2120,525
Mizoram,3911,2563,4,7,1,2551,230,1034,84
Nagaland,2718,1960,6,11,1,1942,0,757,1
Odisha,62291,49072,63,31,5,48973,5807,6104,1308
Puducherry,736,422,4,4,0,414,33,281,0
Punjab,27701,19259,52,23,21,19163,450,7978,14
Rajasthan,106373,68948,77,35,14,68822,0,34826,2599
Sikkim,1259,864,2,4,2,856,19,376,0
Tamil Nadu,58801,37636,45,0,20,37571,8323,12396,446
Telangana,43083,30023,35,9,8,29971,700,12193,167
Tripura,4929,4262,9,8,0,4245,43,363,261
Uttar Pradesh,258054,137024,121,75,28,136800,8113,97808,15109
Uttarakhand,22815,16484,45,13,7,16419,608,5225,498
West Bengal,94744,83302,62,17,44,83179,88,9750,1604
