India/State/ UT,Projected population by age group – Overall,,,,,,,,
"",Age 3-5,Age 6-10,Age 11-13,,,,,,
"",Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10)
India,45529499,40227065,85753425,62278594,54622457,116897134,36978787,33420625,70402494
Andaman and Nicobar Islands,9206,9092,18298,14315,13627,27937,9537,8766,18297
Andhra Pradesh,1403600,1294400,2698000,1881800,1720000,3602600,1129400,1067000,2196200
Arunachal Pradesh,43890,41285,85175,64771,61398,126169,47202,46207,93409
Assam,1241400,1143400,2384800,1565800,1430200,2995600,988200,944800,1932600
Bihar,5422577,4588405,10008613,7435407,6340892,13775749,4434567,3983019,8421806
Chandigarh,30138,27503,57611,46284,39268,85509,29769,22971,52715
Chhattisgarh,1030200,971933,2001267,1428200,1353400,2782600,813800,784200,1597200
"Dadra and Nagar Haveli andDaman and Diu",21574,20084,41671,29510,26305,55818,17857,15075,32923
Delhi,676057,581959,1257950,902076,741998,1643206,536875,449047,985095
Goa,38037,36301,74412,49972,47301,97368,32863,29901,62818
Gujarat,2396321,2061356,4458326,3064387,2569288,5632742,1776473,1536383,3311988
Haryana,1032800,881200,1915000,1358400,1124200,2481800,801200,663000,1464000
Himachal Pradesh,177800,162067,340067,263000,236800,501600,173400,154600,326800
Jammu and Kashmir,318400,298467,615933,499600,458000,957200,433600,374400,808800
Jharkhand,1513400,1392800,2906200,1890400,1720800,3612800,1179200,1124400,2302600
Karnataka,1905600,1757400,3663000,2585800,2364600,4949600,1553800,1461800,3014200
Kerala,939800,902800,1842600,1223600,1169600,2393000,758400,728400,1487600
Ladakh,8299,8331,16620,10670,10339,20998,6864,6236,13093
Lakshadweep,1755,1709,3466,2679,2582,5263,1674,1804,3482
Madhya Pradesh,3304620,2840166,6144740,4570968,3912156,8481106,2520318,2205656,4728612
Maharashtra,3279267,2870533,6149800,4760400,4122400,8884000,3036600,2690800,5726400
Manipur,77158,70076,147234,112011,102770,214781,85088,79720,164808
Meghalaya,112182,106021,218204,144399,136504,280903,102477,99050,201526
Mizoram,32439,30626,63065,44018,41467,85486,31629,29951,61580
Nagaland,60663,55531,116194,90686,82473,173159,68613,62556,131169
Odisha,1296600,1221600,2518333,1833800,1728200,3561800,1150200,1088200,2238400
Puducherry,33606,32196,65826,45134,42859,88019,29869,27735,57611
Punjab,757533,667400,1424933,1108600,959400,2068000,696000,585000,1280800
Rajasthan,3218400,2825400,6043800,4195000,3635400,7830600,2398800,2156800,4555600
Sikkim,13422,12362,25784,21993,20907,42900,18166,17384,35550
Tamil Nadu,1935800,1780000,3716000,2660000,2415600,5075600,1619000,1513000,3131800
Telangana,1067800,971400,2039000,1403400,1258600,2663000,857600,796200,1654600
Tripura,96591,90355,186946,127508,118705,246213,97841,92532,190373
Uttar Pradesh,9263831,7903640,17166757,12865805,10916218,23778810,6994105,6144831,13141037
Uttarakhand,370200,319000,689200,473600,395400,868200,300800,259200,560000
West Bengal,2398533,2250267,4648600,3504600,3302800,6807000,2247000,2170000,4417000
