India/ State/ UT,Projected population by age group – Scheduled Tribes (ST),,,,,,,,
"",Age 6-13,Age 14-15,Age 16-17,,,,,,
"",Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total
(1),(11),(12),(13),(14),(15),(16),(17),(18),(19)
India,9270183,8636845,17909981,2232768,2096232,4329589,2134053,2035456,4170326
Andaman and Nicobar Islands,1704,1506,3211,504,455,958,466,406,872
Andhra Pradesh,199707,184376,384083,47600,45163,92763,45268,42656,87925
Arunachal Pradesh,81476,79356,160832,24698,24828,49526,22803,23166,45969
Assam,318917,300559,619477,90473,90838,181311,90526,94568,185093
Bihar,154299,137808,292263,37823,34850,72747,36722,34146,70949
Chandigarh,0,0,0,0,0,0,0,0,0
Chhattisgarh,729347,703846,1433193,169264,164542,333806,160979,160624,321603
"Dadra and Nagar Haveli andDaman and Diu",21029,19540,40553,5059,4489,9539,4575,3942,8522
Delhi,0,0,0,0,0,0,0,0,0
Goa,9125,8578,17714,2492,2235,4731,2347,2241,4594
Gujarat,794666,741347,1535969,185440,173473,358903,174608,160752,335350
Haryana,0,0,0,0,0,0,0,0,0
Himachal Pradesh,26382,24429,50811,7121,6771,13892,7243,7022,14265
Jammu and Kashmir,121306,111609,232915,34562,28419,62981,30822,25027,55849
Jharkhand,825652,787392,1613044,211474,212514,423988,202824,212905,415729
Karnataka,320197,303520,623716,83651,78913,162564,84044,76395,160440
Kerala,34108,32263,66371,7755,7687,15443,7126,6762,13888
Ladakh,16498,15385,31865,4375,4347,8716,4429,4103,8528
Lakshadweep,4242,4273,8522,1147,1107,2254,1109,1149,2260
Madhya Pradesh,1708976,1551193,3262942,367807,331985,700318,340158,313489,654375
Maharashtra,919726,843374,1763100,227382,204832,432213,219935,200219,420154
Manipur,97963,88169,186132,31552,29277,60829,32167,31160,63327
Meghalaya,217824,208916,426740,59636,58732,118368,60779,59773,120552
Mizoram,72241,68369,140610,20576,19784,40360,22166,21571,43738
Nagaland,141017,129050,270067,42463,39323,81786,43027,41984,85011
Odisha,826949,810876,1637825,186452,179336,365788,174637,170365,345002
Puducherry,0,0,0,0,0,0,0,0,0
Punjab,0,0,0,0,0,0,0,0,0
Rajasthan,970901,883101,1854002,217796,201996,419793,206904,198776,405680
Sikkim,14162,13611,27773,4519,4401,8920,4901,4925,9827
Tamil Nadu,61123,55842,116966,14183,12607,26790,12945,11594,24538
Telangana,269313,241593,510905,68997,62452,131449,64582,56885,121467
Tripura,86584,81030,167614,25490,23798,49289,26194,23862,50057
Uttar Pradesh,121224,109558,230865,25795,22814,48619,24402,21615,46026
Uttarakhand,22046,19568,41615,6666,6090,12756,6751,6453,13204
West Bengal,81479,76810,158289,20016,18175,38190,18612,16919,35531
