India/State/UT,Total number of,Percentage Share of Schools by Category,Percentage Share of Enrolments by level,Percentage Share of Teachers by School Category,,,,,,,,,,,
"",Schools,Enrolments,Teachers,Primary,"UpperPrimary",Secondary,"HigherSecondary",Primary,"UpperPrimary",Secondary,"HigherSecondary",Primary,"UpperPrimary",Secondary,"HigherSecondary"
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16)
India,1466109,251791722,9483294,50.7,29.1,9.9,10.3,48.7,25.2,15.1,11.0,25.1,28.5,16.5,29.9
Andaman & Nicobar Islands,414,75107,5685,51.4,19.1,12.8,16.7,45.7,22.9,15.6,15.8,17.8,17.0,16.9,48.2
Andhra Pradesh,61680,8622192,323221,61.7,13.4,18.8,6.0,47.0,25.9,16.0,11.1,30.0,14.8,41.8,13.4
Arunachal Pradesh,3543,325018,23754,50.2,35.9,9.2,4.7,51.4,24.6,13.8,10.3,20.2,42.6,20.2,17.0
Assam,58876,7116900,351527,66.4,17.1,12.3,4.2,53.6,25.4,14.1,7.0,33.2,21.3,29.2,16.3
Bihar,91447,24543698,583023,45.9,40.4,3.6,10.0,53.3,25.9,14.2,6.7,25.5,51.5,5.9,17.0
Chandigarh,230,270310,9649,6.5,18.3,30.4,44.8,44.0,23.5,15.6,16.9,2.0,7.1,26.3,64.5
Chhattisgarh,56333,5764210,265355,57.8,29.1,4.8,8.3,49.2,25.3,14.3,11.3,33.8,28.3,7.7,30.2
Dadra & Nagar Haveli and Daman & Diu,459,139967,4545,39.9,38.3,9.8,12.0,49.6,26.0,14.7,9.7,13.3,36.7,12.7,37.3
Delhi,5488,4628514,156038,45.4,14.6,6.7,33.3,44.3,25.2,15.8,14.7,16.4,6.9,5.7,71.0
Goa,1504,309594,14374,58.7,5.0,28.0,8.3,48.9,23.0,14.9,13.2,21.1,4.3,53.2,21.5
Gujarat,53603,11499580,384454,25.5,50.5,8.4,15.6,48.2,27.3,14.4,10.1,9.1,55.9,5.8,29.1
Haryana,23561,5727319,239256,41.0,22.2,12.4,24.4,45.2,25.9,16.0,13.0,17.2,14.7,12.4,55.6
Himachal Pradesh,18062,1419388,101693,61.2,14.3,9.7,14.9,46.3,23.5,15.4,14.7,22.4,11.6,16.5,49.5
Jammu & Kashmir,24278,2614335,166227,44.1,37.8,12.9,5.2,54.5,21.7,13.0,10.8,18.4,37.4,25.6,18.5
Jharkhand,44596,7209261,208600,52.5,36.2,7.2,4.0,51.5,26.7,13.3,8.5,23.4,43.0,16.8,16.9
Karnataka,76090,12398654,439066,31.2,40.1,21.2,7.5,46.9,25.8,16.4,10.8,10.7,35.8,38.0,15.6
Kerala,15934,6185360,276306,41.0,28.1,12.2,18.7,46.0,23.9,15.8,14.3,16.5,21.5,14.2,47.8
Ladakh,979,58841,6205,38.6,44.5,11.6,5.2,56.4,20.4,12.8,10.3,14.1,41.7,27.4,16.9
Lakshadweep,37,12587,815,40.5,24.3,0.0,35.1,50.8,22.8,10.1,16.4,24.0,24.7,0.0,51.3
Madhya Pradesh,122937,15241680,596966,50.1,35.4,6.6,7.9,49.4,26.4,14.2,9.9,22.0,38.2,11.5,28.3
Maharashtra,108451,21150066,742316,46.5,27.2,16.3,10.1,44.0,26.2,16.6,13.1,19.5,28.0,24.7,27.9
Manipur,4627,655620,40444,52.8,20.6,20.5,6.1,53.6,21.7,12.8,11.9,22.7,19.7,36.4,21.1
Meghalaya,14588,1074966,55302,62.9,24.1,10.1,2.8,62.8,21.4,10.1,5.7,43.1,27.1,19.4,10.4
Mizoram,3891,293203,22719,37.6,39.0,18.2,5.2,55.3,22.6,13.4,8.7,25.8,46.4,19.0,8.8
Nagaland,2717,415655,32050,42.5,28.6,21.5,7.4,56.7,21.9,12.3,9.1,21.5,26.4,30.7,21.4
Odisha,61891,7649925,334440,46.8,33.7,15.2,4.3,45.7,27.3,16.1,11.0,21.8,38.6,29.1,10.5
Puducherry,729,251481,12768,36.9,9.6,25.4,28.1,46.3,23.6,15.9,14.3,14.6,5.7,24.2,55.5
Punjab,27592,5915223,263700,49.0,16.8,14.8,19.4,50.8,22.6,13.9,12.7,20.2,10.0,19.0,50.7
Rajasthan,106670,17707162,719662,36.1,32.7,7.2,24.0,50.6,24.1,13.7,11.5,11.4,30.0,10.0,48.7
Sikkim,1250,128204,15301,53.5,24.9,11.9,9.7,49.0,21.5,15.5,14.0,23.3,24.1,20.5,32.1
Tamil Nadu,58150,12880110,564852,60.0,15.6,9.6,14.8,46.1,24.4,16.0,13.5,23.4,11.7,12.3,52.6
Telangana,42476,7027086,304008,48.3,17.2,27.3,7.2,46.4,25.2,15.4,13.0,15.8,15.8,53.4,14.9
Tripura,4912,694539,37761,51.0,24.8,14.1,10.1,48.1,24.9,14.6,12.3,21.7,19.3,23.2,35.8
Uttar Pradesh,251094,41672205,1476507,52.9,33.8,4.8,8.5,49.8,24.4,14.8,11.0,37.9,34.1,5.9,22.2
Uttarakhand,22618,2357204,126330,58.4,23.8,6.2,11.6,46.2,24.3,15.8,13.8,25.7,24.9,9.2,40.2
West Bengal,94402,17756558,578375,79.3,9.3,3.5,8.0,46.9,24.5,16.6,12.1,52.8,6.6,6.7,33.9
