India/State/UT
India/State/UT
"","able 3.1: Number of schools by level of school education, 2022-23",,,,,,,,,,,,,,,,
India/State/UT,Total,Primary,"UpperPrimary",Secondary,"HigherSecondary",,,,,,,,,,,,
"",,,,,,,,,,Upper,Higher,,,,,,
"",India/State/UT,Total,Primary,Secondary,,,,,,,,,,,,,
"",,,,,,,,,,Primary,Secondary,,,,,,
"",(1),,,(2),,,(3),,,(4),,,(5),,,(6),
"",ndia,,1466109,743474,426894,145452,150289,,,,,,,,,,
Andaman & Nicobar Islands,414,213,79,53,69,,,,,,,,,,,,
Andhra Pradesh,61680,38086,8279,11595,3720,,,,,,,,,,,,
Arunachal Pradesh,3543,1778,1271,327,167,,,,,,,,,,,,
Assam,58876,39106,10043,7265,2462,,,,,,,,,,,,
Bihar,91447,42017,36951,3300,9179,,,,,,,,,,,,
Chandigarh,230,15,42,70,103,,,,,,,,,,,,
Chhattisgarh,56333,32570,16376,2713,4674,,,,,,,,,,,,
"Dadra & Nagar Haveli andDaman & Diu",459,183,176,45,55,,,,,,,,,,,,
Delhi,5488,2492,803,367,1826,,,,,,,,,,,,
Goa,1504,883,75,421,125,,,,,,,,,,,,
Gujarat,53603,13657,27096,4481,8369,,,,,,,,,,,,
Haryana,23561,9669,5220,2914,5758,,,,,,,,,,,,
Himachal Pradesh,18062,11053,2578,1748,2683,,,,,,,,,,,,
Jammu & Kashmir,24278,10708,9178,3131,1261,,,,,,,,,,,,
Jharkhand,44596,23422,16161,3226,1787,,,,,,,,,,,,
Karnataka,76090,23735,30523,16151,5681,,,,,,,,,,,,
Kerala,15934,6529,4476,1943,2986,,,,,,,,,,,,
Ladakh,979,378,436,114,51,,,,,,,,,,,,
Lakshadweep,37,15,9,0,13,,,,,,,,,,,,
Madhya Pradesh,122937,61600,43477,8155,9705,,,,,,,,,,,,
Maharashtra,108451,50474,29445,17631,10901,,,,,,,,,,,,
Manipur,4627,2443,954,950,280,,,,,,,,,,,,
Meghalaya,14588,9183,3523,1477,405,,,,,,,,,,,,
Mizoram,3891,1462,1517,708,204,,,,,,,,,,,,
Nagaland,2717,1155,777,583,202,,,,,,,,,,,,
Odisha,61891,28982,20840,9403,2666,,,,,,,,,,,,
Puducherry,729,269,70,185,205,,,,,,,,,,,,
Punjab,27592,13515,4631,4095,5351,,,,,,,,,,,,
Rajasthan,106670,38535,34863,7634,25638,,,,,,,,,,,,
Sikkim,1250,669,311,149,121,,,,,,,,,,,,
Tamil Nadu,58150,34868,9084,5577,8621,,,,,,,,,,,,
Telangana,42476,20530,7322,11583,3041,,,,,,,,,,,,
Tripura,4912,2503,1217,695,497,,,,,,,,,,,,
Uttar Pradesh,251094,132737,84934,12067,21356,,,,,,,,,,,,
Uttarakhand,22618,13204,5394,1404,2616,,,,,,,,,,,,
West Bengal,94402,74836,8763,3292,7511,,,,,,,,,,,,
Total
Total
Primary
Primary
"UpperPrimary"
Upper
Primary
Secondary
Secondary
"HigherSecondary"
Higher
Secondary
