India/State /UT,Number of Schools – all types of management,,,,,,,,,,
"",Total,Primary,Upper Primary,Secondary,Higher Secondary,,,,,,
"",,(1 to 5),(1-8),(6-8),(1-10),(6-10),(9-10),(1-12),(6-12),(9-12),(11-12)
(1),(2),(3),(4),(5),( 6),(7),( 8),( 9),(10),( 11),( 12)
India,1466109,743474,336152,90742,73546,43163,28743,71180,38856,24002,16251
Andaman & Nicobar Islands,414,213,79,0,49,4,0,49,16,4,0
Andhra Pradesh,61680,38086,8256,23,5425,6170,0,406,584,0,2730
Arunachal Pradesh,3543,1778,1234,37,261,65,1,77,52,38,0
Assam,58876,39106,4573,5470,3581,2166,1518,748,819,95,800
Bihar,91447,42017,36696,255,2145,202,953,2894,100,5666,519
Chandigarh,230,15,42,0,70,0,0,99,3,1,0
Chhattisgarh,56333,32570,3139,13237,809,22,1882,1831,208,2624,11
"Dadra & Nagar Haveli andDaman & Diu",459,183,172,4,20,1,24,21,6,25,3
Delhi,5488,2492,774,29,262,86,19,1281,506,39,0
Goa,1504,883,68,7,192,227,2,16,2,0,107
Gujarat,53603,13657,26377,719,945,67,3469,2210,310,5102,747
Haryana,23561,9669,2911,2309,1855,1059,0,3310,2442,4,2
Himachal Pradesh,18062,11053,702,1876,785,963,0,642,2021,12,8
Jammu & Kashmir,24278,10708,9076,102,2800,303,28,632,150,475,4
Jharkhand,44596,23422,16103,58,2286,563,377,659,475,341,312
Karnataka,76090,23735,30274,249,6336,1272,8543,679,131,965,3906
Kerala,15934,6529,3830,646,1424,360,159,1446,1006,474,60
Ladakh,979,378,426,10,89,24,1,14,9,27,1
Lakshadweep,37,15,9,0,0,0,0,4,4,5,0
Madhya Pradesh,122937,61600,36019,7458,5159,946,2050,6083,1412,2202,8
Maharashtra,108451,50474,29343,102,10662,6004,965,6929,1267,163,2542
Manipur,4627,2443,916,38,841,85,24,165,38,9,68
Meghalaya,14588,9183,234,3289,182,244,1051,59,58,72,216
Mizoram,3891,1462,440,1077,17,8,683,3,7,0,194
Nagaland,2717,1155,757,20,465,116,2,143,46,1,12
Odisha,61891,28982,18413,2427,3713,3297,2393,271,425,37,1933
Puducherry,729,269,69,1,151,34,0,139,52,8,6
Punjab,27592,13515,2093,2538,2367,1725,3,2983,2158,58,152
Rajasthan,106670,38535,34638,225,7552,73,9,24847,647,142,2
Sikkim,1250,669,311,0,143,6,0,112,9,0,0
Tamil Nadu,58150,34868,8998,86,1813,3764,0,4148,4413,35,25
Telangana,42476,20530,7322,0,6301,5282,0,763,458,0,1820
Tripura,4912,2503,1216,1,688,7,0,440,57,0,0
Uttar Pradesh,251094,132737,46719,38215,3356,4384,4327,5544,10556,5235,21
Uttarakhand,22618,13204,2374,3020,312,832,260,726,1724,142,24
West Bengal,94402,74836,1549,7214,490,2802,0,807,6685,1,18
