India/State /UT,Number of Schools – Government,,,,,,,,,,
"",Total,Primary,Upper Primary,Secondary,Higher Secondary,,,,,,
"",,(1 to 5),(1-8),(6-8),(1-10),(6-10),(9-10),(1-12),(6-12),(9-12),(11-12)
(1),(2),(3),(4),(5),( 6),(7),( 8),( 9),(10),( 11),( 12)
India,1016010,626465,204043,65928,18978,23752,12390,25173,24171,12504,2606
Andaman & Nicobar Islands,342,185,57,0,42,4,0,34,16,4,0
Andhra Pradesh,45167,33882,3937,0,3571,2296,0,353,580,0,548
Arunachal Pradesh,2922,1610,932,37,148,65,1,40,52,37,0
Assam,44925,34394,3088,2753,1049,1955,335,310,776,24,241
Bihar,75550,40507,25346,220,1462,41,294,2035,62,5513,70
Chandigarh,119,4,12,0,54,0,0,47,1,1,0
Chhattisgarh,48728,30690,127,13011,65,10,1857,361,120,2479,8
"Dadra & Nagar Haveli andDaman & Diu",387,166,158,4,1,1,24,2,3,25,3
Delhi,2673,1545,5,13,23,68,19,529,436,35,0
Goa,806,673,38,0,0,79,0,5,2,0,9
Gujarat,34651,12420,20038,162,88,38,1025,78,178,483,141
Haryana,14443,8680,6,2302,5,1031,0,39,2378,2,0
Himachal Pradesh,15447,10558,4,1876,5,963,0,29,2012,0,0
Jammu & Kashmir,18785,8967,7129,102,1421,303,27,225,146,463,2
Jharkhand,35764,21244,11595,12,1452,77,258,268,458,334,66
Karnataka,49520,20876,21763,110,652,1126,3498,47,111,682,655
Kerala,4811,2393,1057,57,209,48,35,425,400,178,9
Ladakh,841,334,367,10,62,23,1,7,9,27,1
Lakshadweep,37,15,9,0,0,0,0,4,4,5,0
Madhya Pradesh,92741,58531,17372,7385,2037,915,1936,1475,1232,1858,0
Maharashtra,65431,42867,20582,10,962,324,232,358,83,3,10
Manipur,2922,1942,505,4,331,43,0,57,32,5,3
Meghalaya,7778,5424,8,2208,12,77,0,13,28,3,5
Mizoram,2567,1273,3,935,2,7,297,3,7,0,40
Nagaland,1954,1030,589,20,142,115,2,10,45,1,0
Odisha,48767,27054,14854,840,3119,1134,911,106,419,37,293
Puducherry,422,233,47,1,36,34,0,7,52,8,4
Punjab,19245,12824,6,2534,21,1693,0,114,2041,3,9
Rajasthan,69538,33414,18364,214,655,14,0,16398,416,63,0
Sikkim,864,473,171,0,119,4,0,91,6,0,0
Tamil Nadu,37658,24347,6950,46,25,3081,0,151,3030,15,13
Telangana,29997,19728,3250,0,519,4880,0,702,457,0,461
Tripura,4245,2111,1117,1,597,6,0,364,49,0,0
Uttar Pradesh,137003,87745,24455,22052,35,24,1454,260,830,148,0
Uttarakhand,16381,11421,15,2546,9,732,184,51,1350,68,5
West Bengal,82579,66905,87,6463,48,2541,0,175,6350,0,10
