India/State /UT,Number of Schools – Private Unaided Recognized,,,,,,,,,,
"",Total,Primary,Upper Primary,Secondary,Higher Secondary,,,,,,
"",,(1 to 5),(1-8),(6-8),(1-10),(6-10),(9-10),(1-12),(6-12),(9-12),(11-12)
(1),(2),(3),(4),(5),( 6),(7),( 8),( 9),(10),( 11),( 12)
India,323430,77180,103961,15056,44546,10498,7627,39106,7260,7359,10837
Andaman & Nicobar Islands,70,28,22,0,7,0,0,13,0,0,0
Andhra Pradesh,15127,3527,4066,20,1831,3563,0,53,3,0,2064
Arunachal Pradesh,503,130,256,0,88,0,0,28,0,1,0
Assam,5677,693,1449,40,2502,43,130,432,31,54,303
Bihar,8053,523,5358,7,411,62,565,585,11,102,429
Chandigarh,77,4,14,0,13,0,0,45,1,0,0
Chhattisgarh,6931,1520,2950,81,736,11,24,1445,48,113,3
"Dadra & Nagar Haveli andDaman & Diu",63,17,14,0,14,0,0,18,0,0,0
Delhi,2570,902,758,5,228,4,0,664,7,2,0
Goa,140,97,8,0,14,5,0,10,0,0,6
Gujarat,13387,1174,6174,264,855,20,642,2120,58,1507,573
Haryana,8315,694,2434,5,1829,28,0,3258,63,2,2
Himachal Pradesh,2613,493,698,0,780,0,0,613,9,12,8
Jammu & Kashmir,5407,1704,1911,0,1368,0,1,406,4,11,2
Jharkhand,1583,10,195,3,382,313,92,352,7,2,227
Karnataka,19531,2670,6056,95,5587,91,1678,621,11,75,2647
Kerala,3095,410,569,17,1052,20,19,899,40,27,42
Ladakh,111,21,56,0,26,1,0,7,0,0,0
Lakshadweep,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,28047,2296,17583,25,3112,28,95,4541,101,258,8
Maharashtra,18723,4293,4427,91,3115,1739,703,2111,355,141,1748
Manipur,996,41,280,7,475,4,8,107,6,4,64
Meghalaya,2121,1023,166,121,141,25,460,36,5,25,119
Mizoram,1023,181,409,67,15,1,223,0,0,0,127
Nagaland,762,124,168,0,323,1,0,133,1,0,12
Odisha,6062,994,3100,76,527,155,117,161,5,0,927
Puducherry,274,34,21,0,97,0,0,120,0,0,2
Punjab,7886,637,2047,1,2298,7,2,2676,20,55,143
Rajasthan,34497,2895,15907,11,6874,58,8,8435,230,77,2
Sikkim,368,191,138,0,23,0,0,16,0,0,0
Tamil Nadu,11969,5334,547,8,1752,132,0,3912,259,13,12
Telangana,11707,473,3909,0,5730,202,0,61,1,0,1331
Tripura,367,144,87,0,84,1,0,51,0,0,0
Uttar Pradesh,92348,37069,18878,13397,1603,3856,2826,4025,5837,4838,19
Uttarakhand,5140,1515,2276,180,299,48,34,635,104,40,9
West Bengal,7887,5319,1030,535,355,80,0,517,43,0,8
