India/State /UT,Number of Teachers – all types of management,,,,
"",Total,Primary,"UpperPrimary",Secondary,"HigherSecondary"
(1),(2),(3),(4),(5),(6)
India,9483294,2379985,2704737,1566745,2831827
Andaman & Nicobar Islands,5685,1012,969,962,2742
Andhra Pradesh,323221,96892,47992,135035,43302
Arunachal Pradesh,23754,4791,10114,4809,4040
Assam,351527,116876,75027,102479,57145
Bihar,583023,148754,300530,34673,99066
Chandigarh,9649,196,688,2538,6227
Chhattisgarh,265355,89693,75167,20365,80130
"Dadra & Nagar Haveli andDaman & Diu",4545,605,1668,576,1696
Delhi,156038,25623,10776,8859,110780
Goa,14374,3026,612,7648,3088
Gujarat,384454,35110,215040,22357,111947
Haryana,239256,41248,35258,29678,133072
Himachal Pradesh,101693,22732,11799,16823,50339
Jammu & Kashmir,166227,30617,62245,42553,30812
Jharkhand,208600,48738,89627,35014,35221
Karnataka,439066,46770,156987,166922,68387
Kerala,276306,45698,59345,39105,132158
Ladakh,6205,873,2587,1699,1046
Lakshadweep,815,196,201,0,418
Madhya Pradesh,596966,131237,228082,68886,168761
Maharashtra,742316,144579,207816,183029,206892
Manipur,40444,9200,7978,14724,8542
Meghalaya,55302,23829,14989,10722,5762
Mizoram,22719,5854,10534,4324,2007
Nagaland,32050,6877,8469,9844,6860
Odisha,334440,72983,129062,97203,35192
Puducherry,12768,1863,729,3089,7087
Punjab,263700,53397,26428,50216,133659
Rajasthan,719662,82090,215816,71639,350117
Sikkim,15301,3564,3686,3133,4918
Tamil Nadu,564852,131896,66221,69753,296982
Telangana,304008,48140,48048,162380,45440
Tripura,37761,8201,7293,8760,13507
Uttar Pradesh,1476507,558861,503133,86679,327834
Uttarakhand,126330,32482,31427,11657,50764
West Bengal,578375,305482,38394,38612,195887
