India/State /UT,Pupil Teacher Ratio (PTR),,,
"","Primary(1 to 5)","UpperPrimary (6-8)","Secondary(9-10)","HigherSecondary(11-12)"
(1),(3),(4),(5),(6)
India,23,18,17,26
Andaman & Nicobar Islands,11,9,7,12
Andhra Pradesh,24,16,11,31
Arunachal Pradesh,10,8,10,19
Assam,20,14,11,18
Bihar,43,21,54,52
Chandigarh,27,16,11,28
Chhattisgarh,19,17,14,14
"Dadra & Nagar Haveli andDaman & Diu",31,27,21,23
Delhi,34,31,24,24
Goa,25,14,8,17
Gujarat,29,24,26,27
Haryana,23,19,11,13
Himachal Pradesh,15,8,6,9
Jammu & Kashmir,13,10,12,25
Jharkhand,27,24,30,46
Karnataka,23,17,18,32
Kerala,25,20,14,21
Ladakh,6,4,5,11
Lakshadweep,15,13,5,13
Madhya Pradesh,19,18,20,23
Maharashtra,24,25,19,36
Manipur,13,10,9,16
Meghalaya,18,13,10,18
Mizoram,15,7,9,13
Nagaland,9,7,8,17
Odisha,17,15,16,39
Puducherry,16,13,10,16
Punjab,22,17,10,17
Rajasthan,24,13,11,17
Sikkim,6,7,6,9
Tamil Nadu,19,14,14,24
Telangana,21,14,10,31
Tripura,17,17,12,16
Uttar Pradesh,23,22,26,35
Uttarakhand,17,14,11,15
West Bengal,22,27,17,30
