India/State /UT,Number of teachers by Gender and Classes Taught – Government Aided,,,,,,,,
"",Primary & Upper Primary,Upper Primary Only,Upper Primary & Secondary,,,,,,
"",Male,Female,Total,Male,Female,Total,Male,Female,Total
(1),(14),(15),(16),(17),(18),(19),(20),(21),(22)
India,25530,19149,44679,73928,65487,139415,38777,25028,63805
Andaman & Nicobar Islands,0,1,1,1,7,8,2,15,17
Andhra Pradesh,125,101,226,171,183,354,526,614,1140
Arunachal Pradesh,148,133,281,80,41,121,117,73,190
Assam,16,23,39,11113,3831,14944,418,160,578
Bihar,176,81,257,767,367,1134,167,63,230
Chandigarh,7,17,24,1,9,10,12,67,79
Chhattisgarh,64,79,143,264,274,538,53,59,112
"Dadra & Nagar Haveli andDaman & Diu",4,3,7,15,36,51,8,12,20
Delhi,0,0,0,335,962,1297,0,0,0
Goa,42,149,191,151,673,824,615,2003,2618
Gujarat,71,78,149,937,1027,1964,5,3,8
Haryana,0,4,4,0,3,3,0,23,23
Himachal Pradesh,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,2,2,4,4,1,5,0,2,2
Jharkhand,615,681,1296,565,501,1066,320,476,796
Karnataka,6007,4243,10250,455,478,933,64,52,116
Kerala,84,220,304,7726,22358,30084,101,243,344
Ladakh,2,0,2,6,3,9,0,0,0
Lakshadweep,0,0,0,0,0,0,0,0,0
Madhya Pradesh,152,309,461,284,323,607,98,133,231
Maharashtra,16841,10985,27826,27638,15788,43426,21028,9264,30292
Manipur,95,111,206,228,178,406,166,162,328
Meghalaya,19,34,53,2533,2264,4797,298,349,647
Mizoram,0,0,0,293,253,546,0,0,0
Nagaland,0,0,0,0,0,0,0,0,0
Odisha,137,95,232,2227,402,2629,2404,749,3153
Puducherry,19,130,149,13,44,57,37,156,193
Punjab,17,125,142,108,398,506,60,203,263
Rajasthan,0,0,0,0,0,0,0,0,0
Sikkim,1,4,5,24,23,47,22,14,36
Tamil Nadu,401,993,1394,5460,10457,15917,3914,6780,10694
Telangana,58,144,202,75,183,258,191,477,668
Tripura,1,0,1,63,36,99,30,7,37
Uttar Pradesh,419,369,788,11793,3960,15753,7668,2417,10085
Uttarakhand,3,19,22,573,375,948,405,359,764
West Bengal,4,16,20,25,49,74,48,93,141
