India/State /UT,Number of teachers by Gender and Classes Taught – Private Unaided Recognized,,,,,,,,
"",Primary & Upper Primary,Upper Primary Only,Upper Primary & Secondary,,,,,,
"",Male,Female,Total,Male,Female,Total,Male,Female,Total
(1),(14),(15),(16),(17),(18),(19),(20),(21),(22)
India,177758,370768,548526,224355,341171,565526,118498,149003,267501
Andaman & Nicobar Islands,40,123,163,20,98,118,21,92,113
Andhra Pradesh,4326,9161,13487,3328,6208,9536,12155,10997,23152
Arunachal Pradesh,530,775,1305,508,481,989,154,151,305
Assam,6721,9560,16281,7817,7823,15640,4943,4585,9528
Bihar,11754,8788,20542,19128,13384,32512,4626,2279,6905
Chandigarh,60,437,497,22,414,436,74,533,607
Chhattisgarh,4980,11679,16659,3409,6909,10318,2106,3371,5477
"Dadra & Nagar Haveli andDaman & Diu",44,151,195,31,164,195,27,84,111
Delhi,0,0,0,1996,12410,14406,0,0,0
Goa,21,156,177,11,87,98,34,153,187
Gujarat,5239,15335,20574,7943,19575,27518,1901,2912,4813
Haryana,3196,12475,15671,4934,14417,19351,4495,10451,14946
Himachal Pradesh,1194,4832,6026,1463,3976,5439,1292,3395,4687
Jammu & Kashmir,2780,3834,6614,6685,9786,16471,1469,1125,2594
Jharkhand,1785,2784,4569,2031,2630,4661,2662,2251,4913
Karnataka,8263,29482,37745,5165,19363,24528,3406,8503,11909
Kerala,461,3942,4403,1463,14480,15943,555,3358,3913
Ladakh,158,250,408,77,143,220,80,100,180
Lakshadweep,0,0,0,0,0,0,0,0,0
Madhya Pradesh,33385,51313,84698,17416,25696,43112,8344,11121,19465
Maharashtra,6139,19672,25811,6223,21285,27508,5220,11649,16869
Manipur,1620,2159,3779,1454,1473,2927,1436,1100,2536
Meghalaya,285,671,956,401,843,1244,197,383,580
Mizoram,425,545,970,691,838,1529,2,1,3
Nagaland,808,1566,2374,712,1169,1881,711,848,1559
Odisha,8103,14596,22699,4448,5668,10116,2384,2879,5263
Puducherry,159,886,1045,105,534,639,208,635,843
Punjab,1398,10159,11557,3067,20587,23654,1391,6516,7907
Rajasthan,27719,32095,59814,29243,23927,53170,26213,15965,42178
Sikkim,56,143,199,201,397,598,68,60,128
Tamil Nadu,8084,47234,55318,2757,17862,20619,3817,12662,16479
Telangana,6300,21901,28201,4138,13218,17356,6970,10758,17728
Tripura,409,422,831,440,338,778,384,272,656
Uttar Pradesh,26021,41753,67774,78606,64963,143569,17751,14427,32178
Uttarakhand,2409,6884,9293,3272,6588,9860,1322,2297,3619
West Bengal,2886,5005,7891,5150,3437,8587,2080,3090,5170
