India/State /UT,Number of teachers by Gender and Classes Taught – Others,,,,,,,,
"",Secondary Only,Secondary & Higher Secondary,Higher Secondary Only,,,,,,
"",Male,Female,Total,Male,Female,Total,Male,Female,Total
(1),(23),(24),(25),(26),(27),(28),(29),(30),(31)
India,6443,3446,9889,2231,630,2861,1765,1061,2826
Andaman & Nicobar Islands,0,0,0,0,0,0,0,0,0
Andhra Pradesh,8,5,13,0,0,0,0,0,0
Arunachal Pradesh,0,0,0,0,0,0,0,0,0
Assam,2055,983,3038,7,5,12,606,420,1026
Bihar,472,82,554,70,5,75,211,34,245
Chandigarh,1,3,4,1,7,8,0,0,0
Chhattisgarh,0,0,0,0,0,0,0,0,0
"Dadra & Nagar Haveli andDaman & Diu",1,0,1,1,0,1,6,0,6
Delhi,0,0,0,0,0,0,0,0,0
Goa,0,0,0,0,0,0,0,0,0
Gujarat,3,3,6,0,2,2,3,3,6
Haryana,16,26,42,5,11,16,3,1,4
Himachal Pradesh,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,25,12,37,0,3,3,0,5,5
Jharkhand,481,309,790,11,11,22,58,42,100
Karnataka,0,1,1,0,0,0,0,0,0
Kerala,22,109,131,1,6,7,8,19,27
Ladakh,0,0,0,0,0,0,0,0,0
Lakshadweep,0,0,0,0,0,0,0,0,0
Madhya Pradesh,1,0,1,1,4,5,1,0,1
Maharashtra,35,74,109,0,0,0,0,4,4
Manipur,0,0,0,0,0,0,0,0,0
Meghalaya,163,373,536,3,10,13,45,152,197
Mizoram,66,59,125,0,0,0,23,17,40
Nagaland,0,0,0,0,0,0,0,0,0
Odisha,287,163,450,16,9,25,56,56,112
Puducherry,0,0,0,0,0,0,0,0,0
Punjab,0,0,0,0,0,0,0,0,0
Rajasthan,38,6,44,41,12,53,13,2,15
Sikkim,0,0,0,0,0,0,0,0,0
Tamil Nadu,9,24,33,0,0,0,1,5,6
Telangana,5,4,9,0,0,0,0,0,0
Tripura,9,0,9,6,0,6,8,0,8
Uttar Pradesh,1522,871,2393,406,148,554,305,141,446
Uttarakhand,58,52,110,7,3,10,23,12,35
West Bengal,1166,287,1453,1655,394,2049,395,148,543
