India/State /UT,Number of teachers by Gender and Classes Taught – Others,,,,,,,,,,,
"",Total,Pre-Primary Only,Pre-Primary & Primary,Primary Only,,,,,,,,
"",Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13)
India,143322,131170,274492,314,2351,2665,4845,9086,13931,60341,67239,127580
Andaman & Nicobar Islands,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,215,395,610,0,5,5,8,46,54,77,137,214
Arunachal Pradesh,146,234,380,0,7,7,7,25,32,74,158,232
Assam,10794,5266,16060,1,11,12,132,66,198,6201,2995,9196
Bihar,32808,22403,55211,124,416,540,390,775,1165,7317,7770,15087
Chandigarh,29,304,333,0,51,51,1,27,28,2,119,121
Chhattisgarh,299,512,811,0,0,0,2,0,2,215,311,526
"Dadra & Nagar Haveli andDaman & Diu",20,0,20,0,0,0,0,0,0,0,0,0
Delhi,0,0,0,0,0,0,0,0,0,0,0,0
Goa,0,0,0,0,0,0,0,0,0,0,0,0
Gujarat,12,28,40,0,0,0,0,0,0,2,10,12
Haryana,1240,4415,5655,1,90,91,8,74,82,616,2894,3510
Himachal Pradesh,2,2,4,0,0,0,0,0,0,2,2,4
Jammu & Kashmir,306,286,592,4,14,18,19,35,54,122,120,242
Jharkhand,23675,26243,49918,81,640,721,605,1494,2099,8211,12568,20779
Karnataka,12,14,26,0,0,0,0,0,0,5,5,10
Kerala,342,6762,7104,6,419,425,4,65,69,133,4137,4270
Ladakh,0,0,0,0,0,0,0,0,0,0,0,0
Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,1801,3075,4876,1,4,5,19,37,56,876,1507,2383
Maharashtra,376,1895,2271,4,61,65,18,81,99,182,1241,1423
Manipur,404,679,1083,2,43,45,23,118,141,178,328,506
Meghalaya,512,1915,2427,7,44,51,43,241,284,124,699,823
Mizoram,177,256,433,1,16,17,5,11,16,27,81,108
Nagaland,2,5,7,0,0,0,1,2,3,1,3,4
Odisha,2344,6055,8399,4,86,90,58,333,391,1102,3616,4718
Puducherry,0,0,0,0,0,0,0,0,0,0,0,0
Punjab,49,26,75,1,0,1,9,3,12,22,12,34
Rajasthan,4349,2678,7027,5,24,29,40,66,106,3292,1983,5275
Sikkim,0,0,0,0,0,0,0,0,0,0,0,0
Tamil Nadu,134,1691,1825,3,159,162,0,82,82,70,1083,1153
Telangana,95,145,240,0,2,2,2,8,10,58,85,143
Tripura,783,284,1067,12,6,18,41,43,84,654,226,880
Uttar Pradesh,42125,28332,70457,10,10,20,55,84,139,25071,17549,42620
Uttarakhand,1169,1141,2310,2,13,15,5,13,18,752,750,1502
West Bengal,19102,16129,35231,45,230,275,3350,5357,8707,4955,6850,11805
