India/State /UT,Number of Teachers – all types of management,,,,,,,,,,
"",Total,Primary,Upper Primary,Secondary,Higher Secondary,,,,,,
"",,(1 to 5),(1-8),(6-8),(1-10),(6-10),(9-10),(1-12),(6-12),(9-12),(11-12)
(1),(2),(3),(4),(5),( 6),(7),( 8),( 9),(10),( 11),( 12)
India,9483294,2379985,2374873,329864,1022415,381730,162600,1653501,753032,255428,169866
Andaman & Nicobar Islands,5685,1012,969,0,894,68,0,2129,454,159,0
Andhra Pradesh,323221,96892,47917,75,71056,63979,0,7907,8448,0,26947
Arunachal Pradesh,23754,4791,9824,290,4012,790,7,1968,1113,959,0
Assam,351527,116876,42435,32592,62335,28425,11719,22557,19216,1250,14122
Bihar,583023,148754,298653,1877,26987,1167,6519,47643,1355,42314,7754
Chandigarh,9649,196,688,0,2538,0,0,6051,153,23,0
Chhattisgarh,265355,89693,27457,47710,10930,159,9276,45012,2539,32483,96
"Dadra & Nagar Haveli andDaman & Diu",4545,605,1640,28,371,11,194,941,182,550,23
Delhi,156038,25623,10420,356,6392,2385,82,82368,27354,1058,0
Goa,14374,3026,587,25,4382,3261,5,847,46,0,2195
Gujarat,384454,35110,211593,3447,11097,465,10795,53207,3863,51300,3577
Haryana,239256,41248,26868,8390,22664,7014,0,92749,40262,37,24
Himachal Pradesh,101693,22732,5956,5843,9898,6925,0,16178,33940,141,80
Jammu & Kashmir,166227,30617,61695,550,39116,3189,248,18064,2656,10017,75
Jharkhand,208600,48738,89381,246,28037,4808,2169,22793,4301,4079,4048
Karnataka,439066,46770,156311,676,100536,9157,57229,19684,1683,12273,34747
Kerala,276306,45698,52985,6360,29825,7379,1901,61404,50023,20138,593
Ladakh,6205,873,2539,48,1418,269,12,377,163,489,17
Lakshadweep,815,196,201,0,0,0,0,121,137,160,0
Madhya Pradesh,596966,131237,212552,15530,55308,5472,8106,127317,19531,21865,48
Maharashtra,742316,144579,207445,371,147104,31331,4594,163325,14451,1463,27653
Manipur,40444,9200,7783,195,13866,737,121,5567,1328,325,1322
Meghalaya,55302,23829,1960,13029,2616,2725,5381,1684,1229,929,1920
Mizoram,22719,5854,3866,6668,201,69,4054,102,118,0,1787
Nagaland,32050,6877,8345,124,8280,1543,21,5150,1481,34,195
Odisha,334440,72983,122755,6307,54466,26654,16083,11583,5337,297,17975
Puducherry,12768,1863,715,14,2630,459,0,5543,1262,176,106
Punjab,263700,53397,17517,8911,33116,17091,9,86715,44622,551,1771
Rajasthan,719662,82090,214909,907,71134,463,42,338834,9494,1778,11
Sikkim,15301,3564,3686,0,3042,91,0,4771,147,0,0
Tamil Nadu,564852,131896,65738,483,32483,37270,0,171600,124677,496,209
Telangana,304008,48140,48048,0,108637,53743,0,16233,7165,0,22042
Tripura,37761,8201,7286,7,8700,60,0,12277,1230,0,0
Uttar Pradesh,1476507,558861,366686,136447,35233,28730,22716,148921,130138,48583,192
Uttarakhand,126330,32482,21753,9674,4962,5378,1317,23814,25326,1494,130
West Bengal,578375,305482,15710,22684,8149,30463,0,28065,167608,7,207
