India/State /UT,Number of Teachers in Government Schools,,,,,,,,,,
"",Total,Primary,Upper Primary,Secondary,Higher Secondary,,,,,,
"",,(1 to 5),(1-8),(6-8),(1-10),(6-10),(9-10),(1-12),(6-12),(9-12),(11-12)
(1),(2),(3),(4),(5),( 6),(7),( 8),( 9),(10),( 11),( 12)
India,4895601,1766560,1274712,222288,223922,243620,70806,414661,517134,130969,30929
Andaman & Nicobar Islands,4421,842,673,0,750,68,0,1475,454,159,0
Andhra Pradesh,192294,70902,22840,0,44103,32479,0,6313,8392,0,7265
Arunachal Pradesh,16414,3511,6629,290,2158,790,7,961,1113,955,0
Assam,224292,102853,25536,16038,17377,25812,2524,8550,18331,370,6901
Bihar,417759,138064,195237,1749,15635,339,2420,22108,851,40308,1048
Chandigarh,4947,27,282,0,1926,0,0,2658,31,23,0
Chhattisgarh,180553,80100,688,46876,739,74,9161,10300,1523,31013,79
"Dadra & Nagar Haveli andDaman & Diu",2828,471,1431,28,11,11,194,55,54,550,23
Delhi,85626,19058,58,282,671,2129,82,36723,25670,953,0
Goa,3143,1457,282,0,0,969,0,152,46,0,237
Gujarat,192396,28880,151773,1064,590,294,2625,1545,2003,3134,488
Haryana,91256,35127,81,8358,84,6826,0,1503,39264,13,0
Himachal Pradesh,67891,20499,35,5843,83,6925,0,769,33737,0,0
Jammu & Kashmir,97594,19879,41984,550,14832,3189,238,4420,2590,9862,50
Jharkhand,117152,38297,49397,50,14318,430,1334,4459,4008,4008,851
Karnataka,196852,35717,100791,297,7877,8072,27019,1462,1395,9479,4743
Kerala,80091,15905,14671,608,4954,683,408,17176,18827,6760,99
Ladakh,4493,679,1957,48,750,254,12,124,163,489,17
Lakshadweep,815,196,201,0,0,0,0,121,137,160,0
Madhya Pradesh,302693,117032,76237,15282,17404,5286,7490,27853,17380,18729,0
Maharashtra,235122,96461,116644,46,10647,1907,1073,7022,1215,16,91
Manipur,17236,7355,3008,29,3201,337,0,1730,1224,247,105
Meghalaya,22822,12385,61,8229,212,749,0,399,611,57,119
Mizoram,13413,4827,53,5764,31,64,1845,102,118,0,609
Nagaland,18728,5824,6567,124,2787,1536,21,361,1474,34,0
Odisha,212997,61671,79499,3489,39562,12843,6874,2336,5210,297,1216
Puducherry,4761,1552,465,14,594,459,0,162,1262,176,77
Punjab,123630,49160,56,8896,489,16934,0,4434,43300,38,323
Rajasthan,396313,64454,114420,864,5551,109,0,203659,6244,1012,0
Sikkim,11557,2303,2370,0,2611,75,0,4080,118,0,0
Tamil Nadu,229828,61354,47715,329,334,30981,0,5750,83294,47,24
Telangana,141851,43741,16045,0,5729,50527,0,12246,7151,0,6412
Tripura,29293,5944,6251,7,6854,50,0,9215,972,0,0
Uttar Pradesh,633919,347775,190099,71080,487,102,6440,7755,9014,1167,0
Uttarakhand,59953,23188,91,7869,81,4734,1039,1666,20330,913,42
West Bengal,460668,249070,585,18185,490,27583,0,5017,159628,0,110
