India/State /UT,Number of Teachers in Private Unaided Recognized Schools,,,,,,,,,,
"",Total,Primary,Upper Primary,Secondary,Higher Secondary,,,,,,
"",,(1 to 5),(1-8),(6-8),(1-10),(6-10),(9-10),(1-12),(6-12),(9-12),(11-12)
(1),(2),(3),(4),(5),( 6),(7),( 8),( 9),(10),( 11),( 12)
India,3523567,436715,873049,62694,688060,76628,41929,1088895,84164,68582,102851
Andaman & Nicobar Islands,1184,170,296,0,144,0,0,574,0,0,0
Andhra Pradesh,124912,24428,24068,69,26827,29395,0,1594,32,0,18499
Arunachal Pradesh,5895,1012,2736,0,1479,0,0,664,0,4,0
Assam,87002,4832,16600,262,44501,510,988,13829,662,744,4074
Bihar,106700,3940,57481,50,9515,414,3627,23545,205,1483,6440
Chandigarh,4075,104,206,0,560,0,0,3151,54,0,0
Chhattisgarh,81486,8486,26398,324,10066,81,110,34316,516,1172,17
"Dadra & Nagar Haveli andDaman & Diu",1481,134,209,0,272,0,0,866,0,0,0
Delhi,65682,6354,10237,27,5556,50,0,43027,347,84,0
Goa,2066,891,102,0,319,53,0,667,0,0,34
Gujarat,145919,5837,58559,1200,10494,108,2503,51437,692,12218,2871
Haryana,142232,4420,23088,25,22410,188,0,91062,991,24,24
Himachal Pradesh,33798,2229,5921,0,9815,0,0,15409,203,141,80
Jammu & Kashmir,68028,10582,19424,0,24136,0,10,13639,66,146,25
Jharkhand,35615,61,2387,18,8609,2795,691,17954,115,28,2957
Karnataka,200740,10555,43708,309,91612,610,9753,18013,177,868,25135
Kerala,70991,3277,6215,118,21462,215,153,37766,942,432,411
Ladakh,1651,152,572,0,659,15,0,253,0,0,0
Lakshadweep,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,285087,12180,132274,112,37809,169,531,98346,1184,2434,48
Maharashtra,223899,27584,50244,324,61854,10610,3371,50843,4590,1287,13192
Manipur,19552,397,3705,46,10190,48,53,3802,104,78,1129
Meghalaya,12408,3988,1479,487,2043,186,1934,1014,73,224,980
Mizoram,7026,990,3586,354,170,5,1108,0,0,0,813
Nagaland,13315,1046,1778,0,5493,7,0,4789,7,0,195
Odisha,80441,6859,39426,341,13945,1173,898,9155,120,0,8524
Puducherry,7116,290,239,0,1714,0,0,4844,0,0,29
Punjab,135219,4053,17262,7,32308,46,7,79233,342,513,1448
Rajasthan,316322,12834,98691,43,65360,347,39,135010,3242,745,11
Sikkim,3499,1245,1305,0,415,0,0,534,0,0,0
Tamil Nadu,254983,47961,4947,27,31661,1052,0,162580,6240,330,185
Telangana,158688,3353,31478,0,102368,2067,0,3987,14,0,15421
Tripura,6304,1309,960,0,1770,10,0,2255,0,0,0
Uttar Pradesh,679987,179645,155392,54664,21002,25160,16032,122138,60496,45291,167
Uttarakhand,58805,8027,21117,744,4838,339,121,21502,1736,336,45
West Bengal,81459,37490,10959,3143,6684,975,0,21097,1014,0,97
