"","Table 5.1: Enrolment of students by school management and level of school education, 2022-23: All Management",,,,,,,,,,,,,,,,,,,,,,
"",,Enrolment – all types of management,,,,,,,,,,,,,,,,,,,,,
India/ State /UT,,Total,,"Pre-Primary","Primary(1 to 5)",,Upper,,"Elementary(1-8)","Secondary(9-10)",,Higher,,,,,,,,,,,
"",,,,,,Pre-,Primary,Elementary,Secondary,,,,,,,,,,,,,,
"",India/ State /UT,(Pre-primary,Primary,Secondary,,,,,,,,,,,,,,,,,,,
"",,,,,,Primary,(1 to 5),(1-8),(9-10),,,,,,,,,,,,,,
"",,,to 12),(6-8),(11-12),,,,,,,,,,,,,,,,,,
"",(1),,,(2),,,(3),,,(4),,,(5),,,(6),,,(7),,,(8),
India,251791722,10167812,112421298,63477860,175899158,37934094,27790658,,,,,,,,,,,,,,,,
India,,,,,,,,,,,,,,,,,,,,,,,
Andaman and Nicobar Islands,75107,8999,25326,17222,42548,11716,11844,,,,,,,,,,,,,,,,
Andhra Pradesh,8622192,442672,3613630,2230696,5844326,1376307,958887,,,,,,,,,,,,,,,,
Arunachal Pradesh,325018,20637,146444,79841,226285,44756,33340,,,,,,,,,,,,,,,,
Assam,7116900,382396,3429328,1804294,5233622,1003272,497610,,,,,,,,,,,,,,,,
Bihar,24543698,395377,12677347,6345513,19022860,3480074,1645387,,,,,,,,,,,,,,,,
Chandigarh,270310,24663,94352,63490,157842,42041,45764,,,,,,,,,,,,,,,,
Chhattisgarh,5764210,298389,2536139,1457395,3993534,821615,650672,,,,,,,,,,,,,,,,
"Dadra and Nagar Haveli andDaman and Diu",139967,8218,61249,36406,97655,20510,13584,,,,,,,,,,,,,,,,
Delhi,4628514,295056,1754932,1166650,2921582,732685,679191,,,,,,,,,,,,,,,,
Goa,309594,30887,120421,71249,191670,46186,40851,,,,,,,,,,,,,,,,
Gujarat,11499580,108382,5433947,3142741,8576688,1650202,1164308,,,,,,,,,,,,,,,,
Haryana,5727319,185727,2402032,1481563,3883595,915024,742973,,,,,,,,,,,,,,,,
Himachal Pradesh,1419388,122597,534850,334051,868901,218608,209282,,,,,,,,,,,,,,,,
Jammu and Kashmir,2614335,366944,1056616,568520,1625136,339897,282358,,,,,,,,,,,,,,,,
Jharkhand,7209261,280369,3432471,1927769,5360240,957367,611285,,,,,,,,,,,,,,,,
Karnataka,12398654,376058,5442338,3204487,8646825,2033517,1342254,,,,,,,,,,,,,,,,
Kerala,6185360,512413,2331885,1476592,3808477,978361,886109,,,,,,,,,,,,,,,,
Ladakh,58841,10604,22562,12031,34593,7556,6088,,,,,,,,,,,,,,,,
Lakshadweep,12587,1187,5203,2870,8073,1265,2062,,,,,,,,,,,,,,,,
Madhya Pradesh,15241680,754352,6774318,4025757,10800075,2171349,1515904,,,,,,,,,,,,,,,,
Maharashtra,21150066,253696,9057408,5545356,14602764,3518807,2774799,,,,,,,,,,,,,,,,
Manipur,655620,57302,293853,142124,435977,84128,78213,,,,,,,,,,,,,,,,
Meghalaya,1074966,186588,488883,230205,719088,108187,61103,,,,,,,,,,,,,,,,
Mizoram,293203,36899,125248,66379,191627,39313,25364,,,,,,,,,,,,,,,,
Nagaland,415655,72240,163323,91166,254489,51287,37639,,,,,,,,,,,,,,,,
Odisha,7649925,38254,3454392,2089756,5544148,1229812,837711,,,,,,,,,,,,,,,,
Puducherry,251481,28143,88210,59286,147496,39883,35959,,,,,,,,,,,,,,,,
Punjab,5915223,773517,2231192,1334913,3566105,821574,754027,,,,,,,,,,,,,,,,
Rajasthan,17707162,915815,8050922,4266635,12317557,2429147,2044643,,,,,,,,,,,,,,,,
Sikkim,128204,19345,43416,27580,70996,19864,17999,,,,,,,,,,,,,,,,
Tamil Nadu,12880110,1071074,4865574,3141462,8007036,2057500,1744500,,,,,,,,,,,,,,,,
Telangana,7027086,331818,2928678,1773298,4701976,1082551,910741,,,,,,,,,,,,,,,,
Tripura,694539,31030,303252,172830,476082,101746,85681,,,,,,,,,,,,,,,,
Uttar Pradesh,41672205,570284,20180139,10166395,30346534,6186735,4568652,,,,,,,,,,,,,,,,
Uttarakhand,2357204,99901,988098,572463,1560561,371905,324837,,,,,,,,,,,,,,,,
West Bengal,17756558,1055979,7263320,4348875,11612195,2939347,2149037,,,,,,,,,,,,,,,,
India/ State /UT
India/ State /UT
"Pre-Primary"
Pre-
Primary
"Primary(1 to 5)"
Primary
(1 to 5)
"Elementary(1-8)"
Elementary
(1-8)
"Secondary(9-10)"
Secondary
(9-10)
India
India
