India/State/ UT,New Admissions in Class 1 – Government Aided,,,,,,,,,,,
"",Total,Boys,Girls,,,,,,,,,
"","admitted inclass 1",with pre-school experience in,"admitted inclass 1",with pre-school experience in,"admitted inclass 1",with pre-school experience in,,,,,,
"",,"sameschool","anotherschool","Anganwadi/ ECCECentre","sameschool","anotherschool","Anganwadi/ ECCECentre","sameschool","anotherschool","Anganwadi/ ECCECentre",,
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13)
India,877850,276640,57952,317377,440395,139642,27675,161353,437455,136998,30277,156024
Andaman and Nicobar Islands,83,46,37,0,46,22,24,0,37,24,13,0
Andhra Pradesh,8473,744,6096,1223,4066,356,2922,593,4407,388,3174,630
Arunachal Pradesh,1855,625,663,195,923,318,332,86,932,307,331,109
Assam,431,366,22,17,228,196,10,6,203,170,12,11
Bihar,6037,1435,244,2122,2953,676,128,1083,3084,759,116,1039
Chandigarh,338,132,189,5,155,78,71,2,183,54,118,3
Chhattisgarh,5256,838,255,2379,2783,397,133,1306,2473,441,122,1073
"Dadra and Nagar Haveli andDaman and Diu",184,13,113,28,102,9,64,14,82,4,49,14
Delhi,6999,1067,1530,87,3183,424,654,26,3816,643,876,61
Goa,13222,6748,2376,1197,6815,3407,1265,576,6407,3341,1111,621
Gujarat,10124,2683,2949,3640,5240,1435,1442,1881,4884,1248,1507,1759
Haryana,164,52,13,0,75,20,6,0,89,32,7,0
Himachal Pradesh,0,0,0,0,0,0,0,0,0,0,0,0
Jammu and Kashmir,15,15,0,0,11,11,0,0,4,4,0,0
Jharkhand,23119,11164,2610,4502,10928,5184,1058,2131,12191,5980,1552,2371
Karnataka,67873,48251,2073,14571,34631,24523,1053,7578,33242,23728,1020,6993
Kerala,163477,97282,10972,44713,82257,49185,5368,22375,81220,48097,5604,22338
Ladakh,69,40,3,14,51,25,3,13,18,15,0,1
Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,5572,3069,549,871,2795,1546,348,374,2777,1523,201,497
Maharashtra,357557,55625,9944,131407,183425,28425,5171,69024,174132,27200,4773,62383
Manipur,5977,2700,622,1813,3005,1361,313,916,2972,1339,309,897
Meghalaya,29685,25530,2003,1320,15478,13244,1126,690,14207,12286,877,630
Mizoram,0,0,0,0,0,0,0,0,0,0,0,0
Nagaland,0,0,0,0,0,0,0,0,0,0,0,0
Odisha,5631,755,112,3992,3104,507,53,2113,2527,248,59,1879
Puducherry,1266,567,511,22,444,227,129,12,822,340,382,10
Punjab,10763,4002,1446,672,5531,2058,773,344,5232,1944,673,328
Rajasthan,0,0,0,0,0,0,0,0,0,0,0,0
Sikkim,174,107,67,0,65,43,22,0,109,64,45,0
Tamil Nadu,108867,1900,7419,99548,52653,903,3020,48730,56214,997,4399,50818
Telangana,6853,1135,3078,694,2936,412,1411,327,3917,723,1667,367
Tripura,1432,134,68,886,703,66,36,416,729,68,32,470
Uttar Pradesh,33862,8398,1843,1287,14767,3988,679,683,19095,4410,1164,604
Uttarakhand,1300,209,90,110,440,104,38,28,860,105,52,82
West Bengal,1192,1008,55,62,602,492,23,26,590,516,32,36
