"","Table 5.2: Enrolment of students by school management and level of school education, 2022-23: Government",,,,,,,,,,,,,,,,,,,,,,
India/ State /UT,,Enrolment – Government Schools,,,,,,,,,,,,,,,,,,,,,
"",,,Total,,"Pre-Primary","Primary(1 to 5)",,Upper,,"Elementary(1-8)","Secondary(9-10)",,Higher,,,,,,,,,,
"",India/ State /UT,Pre-,Primary,Elementary,Secondary,,,,,,,,,,,,,,,,,,
"",,,(Pre-primary,Primary,Secondary,,,,,,,,,,,,,,,,,,
"",,,,,,Primary,(1 to 5),(1-8),(9-10),,,,,,,,,,,,,,
"",,,to 12),(6-8),(11-12),,,,,,,,,,,,,,,,,,
"",(1),,,(2),,,(3),,,(4),,,(5),,,(6),,,(7),,,(8),
India,136204917,2415480,68636119,36505149,105141268,17585722,11062447,,,,,,,,,,,,,,,,
India,,,,,,,,,,,,,,,,,,,,,,,
Andaman and Nicobar Islands,52059,5235,15493,12311,27804,9063,9957,,,,,,,,,,,,,,,,
Andhra Pradesh,4256013,5437,1855460,1316006,3171466,843579,235531,,,,,,,,,,,,,,,,
Arunachal Pradesh,205522,4656,82443,54303,136746,34668,29452,,,,,,,,,,,,,,,,
Assam,5151710,230547,2646345,1281644,3927989,693993,299181,,,,,,,,,,,,,,,,
Bihar,20359013,140,10732498,5453640,16186138,3000974,1171761,,,,,,,,,,,,,,,,
Chandigarh,164241,8395,56631,41368,97999,27228,30619,,,,,,,,,,,,,,,,
Chhattisgarh,4082523,5576,1813872,1120419,2934291,641544,501112,,,,,,,,,,,,,,,,
"Dadra and Nagar Haveli andDaman and Diu",93770,3497,41538,25857,67395,14131,8747,,,,,,,,,,,,,,,,
Delhi,2776216,121212,942136,745392,1687528,500613,466863,,,,,,,,,,,,,,,,
Goa,42653,1612,23808,7888,31696,4822,4523,,,,,,,,,,,,,,,,
Gujarat,5511272,701,3353219,1907808,5261027,167770,81774,,,,,,,,,,,,,,,,
Haryana,2464486,1516,1068447,644357,1712804,397123,353043,,,,,,,,,,,,,,,,
Himachal Pradesh,872058,37640,306283,214184,520467,148066,165885,,,,,,,,,,,,,,,,
Jammu and Kashmir,1454668,157608,546863,306957,853820,207357,235883,,,,,,,,,,,,,,,,
Jharkhand,4943098,43985,2560627,1385622,3946249,604284,348580,,,,,,,,,,,,,,,,
Karnataka,5327221,24398,2574437,1522605,4097042,812058,393723,,,,,,,,,,,,,,,,
Kerala,1854934,148678,617216,403808,1021024,301787,383445,,,,,,,,,,,,,,,,
Ladakh,28667,4448,9239,5278,14517,4398,5304,,,,,,,,,,,,,,,,
Lakshadweep,12587,1187,5203,2870,8073,1265,2062,,,,,,,,,,,,,,,,
Madhya Pradesh,9095629,15398,4115311,2529566,6644877,1455361,979993,,,,,,,,,,,,,,,,
Maharashtra,5481157,51823,3935820,1186235,5122055,232666,74613,,,,,,,,,,,,,,,,
Manipur,212608,11824,115330,37500,152830,20769,27185,,,,,,,,,,,,,,,,
Meghalaya,438863,79605,238842,101975,340817,10201,8240,,,,,,,,,,,,,,,,
Mizoram,135515,13732,63190,32063,95253,16922,9608,,,,,,,,,,,,,,,,
Nagaland,156175,34248,60970,33754,94724,16291,10912,,,,,,,,,,,,,,,,
Odisha,5267551,295,2741180,1666153,4407333,745673,114250,,,,,,,,,,,,,,,,
Puducherry,91295,8711,30312,21908,52220,15130,15234,,,,,,,,,,,,,,,,
Punjab,2902536,351924,1053539,667759,1721298,413772,415542,,,,,,,,,,,,,,,,
Rajasthan,9250493,2473,4196920,2460793,6657713,1408045,1182262,,,,,,,,,,,,,,,,
Sikkim,79597,6399,21048,19497,40545,16429,16224,,,,,,,,,,,,,,,,
Tamil Nadu,5042026,60171,1900062,1410758,3310820,923249,747786,,,,,,,,,,,,,,,,
Telangana,3009212,4478,1228528,907140,2135668,560811,308255,,,,,,,,,,,,,,,,
Tripura,524284,7238,228087,138868,366955,81769,68322,,,,,,,,,,,,,,,,
Uttar Pradesh,18018332,1322,12589309,4766568,17355877,418034,243099,,,,,,,,,,,,,,,,
Uttarakhand,942657,361,401118,228368,629486,165310,147500,,,,,,,,,,,,,,,,
West Bengal,15904276,959010,6464795,3843927,10308722,2670567,1965977,,,,,,,,,,,,,,,,
India/ State /UT
India/ State /UT
"Pre-Primary"
Pre-
Primary
"Primary(1 to 5)"
Primary
(1 to 5)
"Elementary(1-8)"
Elementary
(1-8)
"Secondary(9-10)"
Secondary
(9-10)
India
India
