India/State/ UT,Enrolment – Government,,,,,,,,,,,
"",Secondary (9-10),Higher Secondary (11-12),Primary to Higher Secondary (1-12),Total (Pre-Primary to Higher Secondary),,,,,,,,
"",Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total
(1),(14),(15),(16),(17),(18),(19),(20),(21),(22),(23),(24),(25)
India,8563147,9022575,17585722,5143873,5918574,11062447,66081984,67707453,133789437,67295939,68908978,136204917
Andaman and Nicobar Islands,4559,4504,9063,5136,4821,9957,23875,22949,46824,26472,25587,52059
Andhra Pradesh,413634,429945,843579,97214,138317,235531,2060084,2190492,4250576,2062789,2193224,4256013
Arunachal Pradesh,16718,17950,34668,13977,15475,29452,94668,106198,200866,96933,108589,205522
Assam,307209,386784,693993,142700,156481,299181,2364363,2556800,4921163,2479909,2671801,5151710
Bihar,1431124,1569850,3000974,549703,622058,1171761,10046163,10312710,20358873,10046238,10312775,20359013
Chandigarh,14313,12915,27228,16062,14557,30619,81763,74083,155846,86033,78208,164241
Chhattisgarh,304312,337232,641544,217980,283132,501112,1986830,2090117,4076947,1989731,2092792,4082523
"Dadra and Nagar Haveli andDaman and Diu",6976,7155,14131,4043,4704,8747,45345,44928,90273,47080,46690,93770
Delhi,250683,249930,500613,227093,239770,466863,1320107,1334897,2655004,1376489,1399727,2776216
Goa,2478,2344,4822,2449,2074,4523,21255,19786,41041,22085,20568,42653
Gujarat,83952,83818,167770,38684,43090,81774,2787385,2723186,5510571,2787763,2723509,5511272
Haryana,198166,198957,397123,171957,181086,353043,1226500,1236470,2462970,1227273,1237213,2464486
Himachal Pradesh,74757,73309,148066,84669,81216,165885,421389,413029,834418,439942,432116,872058
Jammu and Kashmir,106652,100705,207357,122717,113166,235883,652518,644542,1297060,730921,723747,1454668
Jharkhand,280499,323785,604284,158839,189741,348580,2396950,2502163,4899113,2418995,2524103,4943098
Karnataka,393738,418320,812058,163866,229857,393723,2570034,2732789,5302823,2582389,2744832,5327221
Kerala,156671,145116,301787,191592,191853,383445,870733,835523,1706256,945573,909361,1854934
Ladakh,2039,2359,4398,2499,2805,5304,11191,13028,24219,13432,15235,28667
Lakshadweep,617,648,1265,1040,1022,2062,5799,5601,11400,6411,6176,12587
Madhya Pradesh,731445,723916,1455361,473317,506676,979993,4484345,4595886,9080231,4492016,4603613,9095629
Maharashtra,116749,115917,232666,36191,38422,74613,2715117,2714217,5429334,2741514,2739643,5481157
Manipur,9991,10778,20769,13401,13784,27185,99555,101229,200784,105533,107075,212608
Meghalaya,4506,5695,10201,3620,4620,8240,178625,180633,359258,219888,218975,438863
Mizoram,8312,8610,16922,4385,5223,9608,62219,59564,121783,69238,66277,135515
Nagaland,7169,9122,16291,4974,5938,10912,57292,64635,121927,74698,81477,156175
Odisha,374424,371249,745673,50783,63467,114250,2649612,2617644,5267256,2649774,2617777,5267551
Puducherry,7462,7668,15130,6699,8535,15234,40216,42368,82584,44597,46698,91295
Punjab,213170,200602,413772,217809,197733,415542,1316297,1234315,2550612,1497030,1405506,2902536
Rajasthan,680957,727088,1408045,576531,605731,1182262,4480427,4767593,9248020,4481708,4768785,9250493
Sikkim,8040,8389,16429,7418,8806,16224,36303,36895,73198,39591,40006,79597
Tamil Nadu,458170,465079,923249,336686,411100,747786,2456408,2525447,4981855,2486326,2555700,5042026
Telangana,270443,290368,560811,139421,168834,308255,1469282,1535452,3004734,1471607,1537605,3009212
Tripura,38725,43044,81769,32312,36010,68322,251736,265310,517046,255526,268758,524284
Uttar Pradesh,183037,234997,418034,102313,140786,243099,8947661,9069349,18017010,8948403,9069929,18018332
Uttarakhand,78860,86450,165310,68305,79195,147500,457372,484924,942296,457574,485083,942657
West Bengal,1322590,1347977,2670567,857488,1108489,1965977,7392565,7552701,14945266,7874458,8029818,15904276
