India/State/ UT,Percentage of all minority groups’ enrolment to total enrolment,,,,,,,,,,,,,,,,,
"","Primary(1 to 5)","Upper Primary(6 to 8)","Elementary(1 to 8)","Secondary(9-10)","Higher Secondary(11-12)","Primary to HigherSecondary",,,,,,,,,,,,
"",Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total
(1),(2),(3 ),(4 ),(5 ),(6 ),(7 ),(8 ),(9 ),(1 0),(1 1),(1 2),(1 3),(1 4),(1 5),(1 6),(1 7),(1 8),(1 9)
India,20.6,21.2,20.9,18.7,20.0,19.3,19.9,20.8,20.3,17.5,19.3,18.4,15.5,17.7,16.6,19.1,20.2,19.6
Andaman and Nicobar Islands,32.8,33.0,32.9,31.2,31.2,31.2,32.1,32.3,32.2,30.4,30.7,30.5,27.9,30.7,29.3,31.1,31.7,31.4
Andhra Pradesh,10.0,10.0,10.0,9.0,9.3,9.1,9.6,9.8,9.7,8.6,8.8,8.7,7.2,7.1,7.1,9.2,9.3,9.2
Arunachal Pradesh,51.2,52.0,51.6,48.1,49.4,48.8,50.2,51.0,50.6,44.2,46.7,45.5,44.1,47.2,45.7,48.7,50.0,49.3
Assam,49.1,49.2,49.1,43.3,47.2,45.3,47.2,48.5,47.8,34.8,40.9,38.1,27.5,30.2,28.9,44.0,45.9,45.0
Bihar,21.0,22.3,21.6,18.5,20.6,19.5,20.2,21.7,20.9,15.8,18.8,17.3,13.0,15.0,14.0,19.1,20.8,19.9
Chandigarh,15.7,15.5,15.6,15.1,15.1,15.1,15.5,15.3,15.4,15.2,15.6,15.4,17.8,17.5,17.7,15.9,15.8,15.8
Chhattisgarh,3.5,3.4,3.4,3.2,3.2,3.2,3.4,3.3,3.4,3.3,3.3,3.3,3.6,3.4,3.5,3.4,3.4,3.4
"Dadra and Nagar Haveli andDaman and Diu",7.2,6.8,7.1,7.0,6.6,6.8,7.1,6.7,7.0,6.3,6.1,6.2,5.9,5.1,5.5,6.9,6.5,6.7
Delhi,15.5,16.8,16.1,14.8,17.4,16.0,15.2,17.0,16.1,13.7,16.6,15.1,11.6,15.0,13.3,14.4,16.6,15.4
Goa,28.9,29.4,29.1,29.5,30.4,29.9,29.1,29.8,29.4,30.4,31.8,31.1,28.6,29.9,29.3,29.3,30.1,29.7
Gujarat,11.6,12.2,11.9,11.2,11.7,11.4,11.4,12.0,11.7,10.1,10.5,10.3,8.0,8.8,8.4,10.9,11.5,11.2
Haryana,14.3,14.7,14.5,12.4,12.0,12.2,13.6,13.7,13.6,9.9,8.8,9.4,8.0,6.5,7.3,12.2,11.9,12.1
Himachal Pradesh,5.2,5.0,5.1,5.0,4.8,4.9,5.1,4.9,5.0,4.6,4.2,4.4,3.6,3.6,3.6,4.8,4.6,4.7
Jammu and Kashmir,70.2,71.6,70.9,66.5,68.9,67.6,68.9,70.6,69.7,65.0,66.6,65.8,67.6,68.6,68.1,68.2,69.8,68.9
Jharkhand,19.6,20.5,20.0,18.1,19.6,18.9,19.1,20.2,19.6,13.1,15.5,14.3,10.3,12.2,11.2,17.5,18.8,18.1
Karnataka,19.0,19.4,19.2,17.9,18.4,18.2,18.6,19.0,18.8,17.1,17.9,17.5,13.0,14.9,14.0,17.8,18.3,18.0
Kerala,54.8,55.0,54.9,53.3,53.5,53.4,54.2,54.4,54.3,53.4,53.4,53.4,48.0,48.9,48.5,53.1,53.4,53.2
Ladakh,96.0,95.9,95.9,97.1,97.2,97.2,96.4,96.4,96.4,98.2,98.3,98.3,99.0,99.1,99.1,97.0,97.0,97.0
Lakshadweep,99.7,99.7,99.7,99.5,99.8,99.6,99.6,99.7,99.7,99.8,99.8,99.8,99.7,99.8,99.8,99.7,99.8,99.7
Madhya Pradesh,7.3,7.4,7.4,6.6,7.1,6.8,7.0,7.3,7.2,5.4,6.1,5.7,4.7,5.8,5.2,6.5,7.0,6.7
Maharashtra,19.0,19.7,19.3,17.7,19.1,18.3,18.5,19.4,18.9,16.7,18.3,17.5,14.7,16.3,15.5,17.7,18.8,18.2
Manipur,56.9,57.3,57.1,50.2,50.4,50.3,54.7,55.1,54.9,49.5,50.2,49.9,42.9,42.5,42.7,52.5,52.7,52.6
Meghalaya,87.3,87.2,87.2,86.1,86.8,86.5,86.9,87.1,87.0,84.8,86.0,85.5,83.9,86.5,85.4,86.5,86.9,86.7
Mizoram,99.1,99.2,99.2,98.5,98.9,98.7,98.9,99.1,99.0,98.6,99.1,98.8,98.1,98.9,98.6,98.8,99.1,98.9
Nagaland,90.5,91.0,90.7,90.8,91.5,91.1,90.6,91.2,90.9,91.4,92.3,91.9,92.4,93.3,92.8,90.9,91.6,91.2
Odisha,5.8,5.9,5.9,5.5,5.6,5.5,5.7,5.8,5.7,5.1,5.4,5.3,5.0,5.2,5.1,5.5,5.6,5.6
Puducherry,14.2,14.0,14.1,14.1,14.1,14.1,14.2,14.0,14.1,14.8,14.9,14.8,14.2,13.5,13.8,14.3,14.1,14.2
Punjab,57.3,56.5,56.9,59.4,58.6,59.0,58.1,57.3,57.7,60.8,59.6,60.3,62.9,61.1,62.1,59.2,58.2,58.8
Rajasthan,6.9,7.4,7.1,6.2,6.7,6.4,6.6,7.1,6.9,4.9,5.5,5.2,4.0,4.5,4.2,6.0,6.6,6.3
Sikkim,42.0,40.1,41.1,37.9,40.6,39.2,40.4,40.3,40.4,37.1,40.3,38.7,34.1,40.1,37.4,38.9,40.3,39.6
Tamil Nadu,13.0,13.3,13.1,12.8,13.2,13.0,12.9,13.3,13.1,12.8,13.1,13.0,13.1,13.0,13.1,12.9,13.2,13.1
Telangana,16.5,17.0,16.8,16.1,17.0,16.5,16.4,17.0,16.7,15.5,16.8,16.1,14.8,16.4,15.6,16.0,16.9,16.4
Tripura,20.8,20.8,20.8,17.9,18.9,18.4,19.7,20.1,19.9,15.2,17.1,16.2,12.6,13.3,13.0,18.2,18.7,18.4
Uttar Pradesh,19.8,20.0,19.9,16.2,17.2,16.7,18.6,19.1,18.8,14.7,15.8,15.2,12.4,14.1,13.2,17.3,18.1,17.7
Uttarakhand,20.9,21.3,21.1,16.0,17.6,16.8,19.1,19.9,19.5,12.1,14.1,13.1,9.3,11.3,10.3,16.6,17.7,17.1
West Bengal,38.1,38.5,38.3,35.8,37.0,36.4,37.2,38.0,37.6,34.3,37.7,36.0,26.5,35.8,31.8,35.5,37.6,36.6
