India/State /UT,Promotion Rate,,,,,,,,
"",Primary (1 to 5),Upper Primary (6-8),Secondary (9-10),,,,,,
"",Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10)
India,90.9,91.0,91.0,91.1,90.8,90.9,79.7,82.2,80.9
Andaman and Nicobar Islands,100.0,99.9,100.0,99.3,98.6,99.0,93.6,95.4,94.5
Andhra Pradesh,99.1,99.4,99.2,99.6,99.3,99.4,82.5,87.0,84.6
Arunachal Pradesh,79.6,82.7,81.1,86.5,86.0,86.2,80.7,82.6,81.6
Assam,90.6,91.6,91.1,88.0,90.4,89.3,70.3,69.5,69.9
Bihar,88.5,89.4,88.9,82.8,85.2,84.0,69.6,71.0,70.3
Chandigarh,100.0,100.0,100.0,99.6,99.1,99.4,97.0,98.8,97.8
Chhattisgarh,92.6,93.2,92.9,91.5,93.0,92.2,69.5,78.5,74.1
Dadra and Nagar Haveli and Daman and Diu,100.0,100.0,100.0,99.1,98.9,99.0,72.0,84.6,77.8
Delhi,100.0,100.0,100.0,97.8,98.2,98.0,90.6,92.9,91.6
Goa,99.9,99.2,99.6,98.0,97.8,97.9,86.9,92.5,89.6
Gujarat,100.0,99.3,99.9,95.1,91.7,93.5,72.8,77.2,74.8
Haryana,98.7,96.8,97.8,96.9,95.0,96.0,80.9,84.1,82.3
Himachal Pradesh,98.7,98.7,98.7,98.1,97.6,97.9,90.7,93.7,92.1
Jammu and Kashmir,91.5,90.5,91.0,96.4,95.0,95.7,91.3,90.5,90.9
Jharkhand,83.5,84.2,83.9,81.0,81.3,81.1,68.7,69.2,68.9
Karnataka,99.2,99.5,99.4,99.7,99.7,99.7,81.9,87.2,84.5
Kerala,96.5,96.9,96.7,97.7,98.2,98.0,91.8,94.6,93.1
Ladakh,94.4,94.9,94.6,97.1,96.9,97.0,87.1,88.9,88.1
Lakshadweep,94.9,95.9,95.4,88.9,96.1,92.3,88.8,91.8,90.2
Madhya Pradesh,91.2,90.8,91.0,88.8,87.5,88.1,70.3,72.4,71.3
Maharashtra,94.4,94.5,94.4,93.8,93.6,93.7,82.9,83.5,83.2
Manipur,86.9,86.8,86.9,91.4,90.8,91.1,86.9,85.8,86.4
Meghalaya,81.3,83.9,82.6,76.5,82.2,79.5,60.6,68.1,64.7
Mizoram,84.5,84.8,84.6,87.5,90.7,89.1,73.3,75.8,74.6
Nagaland,87.8,88.1,87.9,85.8,89.1,87.5,70.9,74.9,73.0
Odisha,100.0,99.7,99.9,96.8,96.7,96.7,80.6,83.8,82.1
Puducherry,96.8,96.8,96.8,97.8,97.8,97.8,90.3,94.8,92.5
Punjab,96.3,96.4,96.3,94.0,94.7,94.3,88.7,90.7,89.6
Rajasthan,92.7,93.1,92.9,93.4,93.3,93.3,82.6,84.6,83.5
Sikkim,94.0,96.1,95.0,97.3,97.7,97.5,79.8,87.0,83.5
Tamil Nadu,97.5,97.8,97.7,100.0,99.9,100.0,86.1,93.6,89.7
Telangana,97.2,98.5,97.8,94.4,95.6,95.0,87.6,89.1,88.4
Tripura,97.6,98.2,97.9,92.8,94.7,93.7,79.8,81.4,80.6
Uttar Pradesh,80.1,79.8,79.9,83.7,81.5,82.7,82.2,82.8,82.5
Uttarakhand,92.3,92.2,92.2,93.8,94.0,93.9,85.8,89.6,87.6
West Bengal,88.6,89.3,88.9,94.0,94.9,94.4,76.4,83.1,79.9
