India/State/ UT,Transition Rate,,,,,,,,
"",Primary to Upper Primary (5 to 6),Upper Primary to Secondary (8 to 9),"Secondary to Higher Secondary (10 to11)",,,,,,
"",Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10)
India,87.7,88.1,87.9,87.2,86.1,86.7,69.5,73.4,71.3
Andaman and Nicobar Islands,100.0,99.0,100.0,98.6,99.3,98.9,91.2,95.2,93.1
Andhra Pradesh,98.7,98.9,98.8,99.5,98.9,99.2,67.9,76.5,72.1
Arunachal Pradesh,90.5,98.9,94.6,86.7,85.4,86.0,77.2,79.3,78.3
Assam,87.5,91.9,89.7,81.4,85.2,83.4,49.0,43.7,46.2
Bihar,74.0,76.0,74.9,71.2,74.5,72.9,46.4,47.2,46.8
Chandigarh,100.0,100.0,100.0,98.2,99.5,98.8,100.0,100.0,100.0
Chhattisgarh,92.5,93.6,93.1,85.3,88.3,86.8,67.3,74.8,71.1
Dadra and Nagar Haveli and Daman and Diu,100.0,100.0,100.0,99.6,100.0,99.8,69.4,82.2,75.1
Delhi,95.6,97.2,96.4,96.2,97.6,96.9,94.6,98.5,96.4
Goa,99.5,97.8,98.7,99.3,98.0,98.6,89.5,94.5,91.9
Gujarat,98.2,96.8,97.6,89.1,81.8,85.7,58.5,67.8,62.7
Haryana,96.3,94.3,95.4,95.1,93.2,94.3,70.7,76.4,73.2
Himachal Pradesh,97.4,97.1,97.2,97.3,97.1,97.2,85.8,90.5,88.0
Jammu and Kashmir,94.1,93.6,93.8,93.4,90.0,91.8,89.4,87.5,88.5
Jharkhand,77.9,79.5,78.7,64.6,66.8,65.7,62.0,60.2,61.1
Karnataka,98.7,99.0,98.8,100.0,99.7,99.8,67.1,76.6,71.7
Kerala,97.1,97.7,97.4,97.9,98.6,98.2,85.7,90.7,88.1
Ladakh,96.4,97.8,97.1,98.2,96.3,97.2,81.3,80.4,80.8
Lakshadweep,92.5,97.5,95.0,90.6,96.5,93.6,85.9,89.9,87.8
Madhya Pradesh,89.6,89.3,89.5,81.3,78.5,80.0,61.9,65.7,63.7
Maharashtra,93.8,93.8,93.8,93.3,92.7,93.0,74.6,76.3,75.4
Manipur,82.0,83.5,82.7,82.3,82.8,82.6,83.7,81.4,82.5
Meghalaya,91.1,96.6,93.9,70.4,76.2,73.5,50.7,57.6,54.5
Mizoram,96.1,94.4,95.3,85.8,90.9,88.3,59.4,56.7,58.0
Nagaland,91.0,92.0,91.5,84.6,89.0,86.8,77.9,78.6,78.3
Odisha,99.1,98.5,98.8,92.0,92.9,92.4,68.0,72.8,70.3
Puducherry,96.5,97.8,97.1,97.2,98.1,97.6,84.1,93.2,88.6
Punjab,95.1,95.2,95.2,91.3,92.3,91.8,86.0,87.6,86.7
Rajasthan,93.4,92.6,93.0,90.5,90.1,90.3,76.9,79.7,78.1
Sikkim,89.0,92.5,90.7,96.8,100.0,98.4,81.8,89.0,85.6
Tamil Nadu,98.4,98.8,98.6,99.4,99.4,99.4,76.3,89.5,82.7
Telangana,94.3,95.8,95.0,93.5,94.8,94.1,79.8,81.6,80.6
Tripura,93.5,93.6,93.6,88.9,91.9,90.4,85.6,83.1,84.3
Uttar Pradesh,73.3,73.6,73.4,82.4,75.9,79.3,71.7,74.6,73.0
Uttarakhand,91.9,92.4,92.2,90.9,91.2,91.0,76.6,83.3,79.8
West Bengal,93.1,93.8,93.4,90.9,93.4,92.2,71.4,80.6,76.2
