India/State/ UT,Retention Rate,,,,,,,,,,,
"",Primary (1 to 5),Elementary (1 to 8),Secondary (1 to 10),Higher Secondary (1 to 12),,,,,,,,
"",Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total,,,
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13)
India,90.7,91.2,90.9,75.2,76.4,75.8,64.9,66.1,65.5,43.2,45.1,44.1
Andaman and Nicobar Islands,95.4,95.9,95.6,91.9,91.3,91.6,87.3,90.9,89.1,99.9,95.3,97.7
Andhra Pradesh,100.0,100.0,100.0,100.0,100.0,100.0,82.8,83.5,83.1,56.2,62.1,59.1
Arunachal Pradesh,57.3,59.7,58.4,39.8,44.9,42.2,32.7,34.5,33.6,24.3,28.7,26.4
Assam,77.3,80.0,78.6,61.6,70.8,66.1,45.1,55.7,50.3,35.0,40.3,37.6
Bihar,100.0,100.0,100.0,63.2,67.1,65.1,52.3,56.4,54.3,18.6,21.2,19.8
Chandigarh,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Chhattisgarh,91.5,93.0,92.2,80.8,84.1,82.4,53.6,66.3,59.8,39.0,51.5,45.0
"Dadra and Nagar Haveli andDaman and Diu",97.8,97.3,97.6,97.0,98.5,97.7,70.1,84.2,76.6,58.2,71.9,64.7
Delhi,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,97.5,100.0,100.0
Goa,96.5,95.9,96.2,92.0,94.9,93.4,85.9,88.9,87.4,75.6,82.7,79.0
Gujarat,96.6,95.6,96.1,90.8,89.3,90.1,70.6,65.1,68.0,44.1,43.4,43.8
Haryana,100.0,100.0,100.0,100.0,100.0,100.0,87.9,86.0,87.0,90.1,87.1,88.7
Himachal Pradesh,95.1,95.7,95.4,94.8,94.3,94.6,91.4,92.0,91.7,94.0,95.4,94.6
Jammu and Kashmir,81.5,80.1,80.8,64.0,63.2,63.6,59.2,57.9,58.6,48.4,48.3,48.3
Jharkhand,76.8,79.6,78.1,62.4,66.4,64.3,41.2,45.6,43.4,20.4,22.5,21.4
Karnataka,96.2,97.7,96.9,92.9,93.8,93.3,84.8,86.4,85.5,50.2,58.4,54.1
Kerala,99.2,99.6,99.4,98.8,99.4,99.1,98.7,99.2,99.0,100.0,100.0,100.0
Ladakh,78.2,80.1,79.1,72.0,77.7,74.9,66.3,74.0,70.1,56.0,63.0,59.5
Lakshadweep,100.0,100.0,100.0,99.4,100.0,100.0,100.0,100.0,100.0,74.7,85.4,79.9
Madhya Pradesh,88.5,88.4,88.5,78.0,79.6,78.7,45.0,45.1,45.1,33.1,33.0,33.0
Maharashtra,92.3,92.5,92.4,90.1,90.3,90.2,83.7,82.9,83.3,65.7,65.1,65.4
Manipur,66.5,64.5,65.5,62.0,61.2,61.6,41.2,42.2,41.7,43.2,42.8,43.0
Meghalaya,55.6,61.3,58.4,41.7,51.7,46.6,26.4,36.5,31.3,15.6,22.5,19.0
Mizoram,63.3,65.6,64.4,53.7,57.5,55.5,43.1,50.8,46.8,31.6,42.3,36.7
Nagaland,70.6,73.7,72.1,54.7,61.0,57.7,33.0,39.2,36.0,24.8,31.7,28.1
Odisha,100.0,100.0,100.0,82.1,82.7,82.4,68.6,71.4,70.0,40.0,44.4,42.1
Puducherry,97.2,94.3,95.8,95.9,96.1,96.0,93.4,95.0,94.1,79.1,90.0,84.4
Punjab,100.0,100.0,100.0,84.7,87.1,85.8,76.2,79.4,77.7,66.3,68.9,67.4
Rajasthan,85.1,85.8,85.5,67.4,68.4,67.9,60.0,60.6,60.3,55.5,52.5,54.1
Sikkim,92.2,93.4,92.8,79.0,89.1,83.6,71.1,90.9,80.2,49.7,66.3,57.7
Tamil Nadu,97.8,97.9,97.9,93.8,93.5,93.7,86.3,87.4,86.8,64.9,71.8,68.3
Telangana,100.0,100.0,100.0,76.7,78.5,77.6,72.0,75.0,73.4,62.4,63.2,62.8
Tripura,92.0,91.9,92.0,80.1,85.2,82.6,58.1,64.2,61.1,46.3,52.5,49.3
Uttar Pradesh,81.3,81.4,81.3,58.1,57.9,58.0,55.3,50.1,52.8,37.0,32.7,34.9
Uttarakhand,87.5,87.9,87.7,76.4,78.4,77.3,72.7,75.0,73.8,74.3,76.2,75.2
West Bengal,77.1,78.5,77.8,81.3,84.3,82.8,94.3,100.0,100.0,34.6,49.3,41.8
