India/State/ UT,Adjusted Net Enrolment Rate (ANER),,,,,,,,,,,
"",Primary (1 to 5),Upper Primary (6 to 8),Elementary (1 to 8),Secondary (9-10),,,,,,,,
"",Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13)
India,86.6,92.0,89.1,76.2,79.5,77.8,87.5,91.5,89.4,59.4,62.5,60.9
Andaman and Nicobar Islands,99.6,99.3,99.5,91.4,96.4,93.8,97.3,98.9,98.1,81.7,91.4,86.3
Andhra Pradesh,89.3,93.0,91.1,85.5,87.4,86.4,94.1,95.4,94.7,68.0,72.8,70.3
Arunachal Pradesh,96.5,102.8,99.6,66.0,73.1,69.5,90.6,96.0,93.3,47.4,52.9,50.1
Assam,82.0,89.4,85.5,51.3,59.8,55.5,84.8,91.8,88.2,31.1,39.1,35.0
Bihar,80.7,89.2,84.7,63.3,71.2,67.0,78.8,86.8,82.5,41.7,49.4,45.3
Chandigarh,107.1,113.7,110.2,110.9,125.3,117.2,110.2,119.2,114.3,104.9,119.2,111.2
Chhattisgarh,88.8,90.8,89.7,84.5,87.1,85.8,89.3,91.1,90.2,60.5,69.4,64.9
Dadra and Nagar Haveli and Daman and Diu,107.3,109.9,108.6,100.3,108.6,104.1,107.8,111.9,109.7,76.7,94.2,84.5
Delhi,96.9,105.2,100.7,98.7,107.3,102.7,101.9,109.5,105.4,80.8,88.3,84.3
Goa,108.6,107.2,107.8,89.1,92.3,90.6,110.1,110.4,110.1,73.9,78.4,76.0
Gujarat,87.3,93.1,90.0,84.7,87.0,85.8,90.6,94.7,92.5,68.0,66.1,67.1
Haryana,81.6,84.3,82.9,79.0,81.3,80.0,89.6,90.7,90.1,63.9,68.4,65.9
Himachal Pradesh,108.2,110.3,108.8,100.9,103.5,102.5,106.3,108.5,107.3,89.4,93.9,91.5
Jammu and Kashmir,105.7,106.4,106.1,64.1,67.3,65.5,88.1,90.3,89.1,51.3,52.9,52.1
Jharkhand,69.3,72.4,70.8,46.4,48.7,47.6,74.2,76.1,75.1,29.0,31.8,30.4
Karnataka,95.0,97.6,96.3,86.6,87.3,86.9,100.5,101.7,101.1,72.1,75.7,73.9
Kerala,85.1,85.9,85.5,80.2,82.1,81.1,90.7,91.3,91.0,70.0,73.3,71.7
Ladakh,94.2,92.7,93.5,64.4,75.8,69.9,90.3,94.1,92.2,45.8,56.8,51.0
Lakshadweep,99.4,97.8,98.6,80.2,73.6,76.7,92.2,88.0,90.0,67.4,79.0,73.1
Madhya Pradesh,72.8,78.8,75.6,73.2,78.0,75.4,75.8,81.1,78.2,52.5,55.3,53.8
Maharashtra,102.1,108.6,105.1,94.5,94.2,94.4,99.9,103.5,101.5,77.7,78.3,78.0
Manipur,122.6,128.2,125.3,77.4,80.4,78.9,107.9,111.8,109.8,61.0,64.1,62.5
Meghalaya,129.5,139.1,134.2,70.6,87.7,79.0,123.2,133.2,128.1,39.1,55.6,47.2
Mizoram,117.4,122.2,119.7,84.0,92.3,88.0,115.3,119.8,117.5,59.6,71.6,65.5
Nagaland,80.2,85.2,82.6,52.2,59.8,55.8,73.8,79.4,76.4,37.6,47.0,42.1
Odisha,98.6,98.4,98.5,88.3,88.5,88.4,95.7,95.4,95.6,66.9,69.8,68.3
Puducherry,99.3,98.1,98.6,99.3,100.9,100.0,100.7,100.3,100.5,91.1,97.9,94.3
Punjab,105.1,106.7,105.8,95.1,99.4,97.1,104.5,106.5,105.4,78.5,83.7,80.9
Rajasthan,86.9,91.1,88.8,74.1,73.1,73.6,90.5,92.0,91.2,60.8,57.7,59.3
Sikkim,94.3,95.0,94.6,66.5,70.6,68.5,85.4,86.3,85.8,58.1,68.0,63.0
Tamil Nadu,92.8,96.0,94.3,97.6,99.1,98.3,95.8,98.1,96.9,87.9,92.6,90.2
Telangana,92.0,98.1,94.8,83.4,90.0,86.5,98.2,102.3,100.1,63.9,72.8,68.2
Tripura,113.6,119.6,116.5,80.6,86.7,83.6,102.5,107.8,105.0,65.6,73.1,69.2
Uttar Pradesh,76.3,83.0,79.4,62.5,65.5,63.9,75.5,80.4,77.8,51.2,50.7,51.0
Uttarakhand,94.9,102.3,98.3,81.7,86.6,84.0,99.2,104.7,101.8,69.8,74.2,71.8
West Bengal,105.1,107.7,106.4,91.8,95.4,93.5,100.3,103.1,101.7,63.2,70.5,66.8
