India/State/ UT,Total Schools,Number of schools with ramps for CWSN,Percentage of Schools with ramps for CWSN,,,,,,,,,,,,
"","Allmanagement","Government.","Government.aided","Pvt.unaided",Others,"Allmanagement","Government.","Government.aided","Pvt.unaided",Others,"Allmanagement","Government.","Government.aided","Pvt.unaided",Others
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16)
India,1466109,1016010,81486,323430,45183,1135895,867796,59207,193849,15043,77.5,85.4,72.7,59.9,33.3
Andaman & Nicobar Islands,414,342,2,70,0,255,231,1,23,0,61.6,67.5,50,32.9,0
Andhra Pradesh,61680,45167,1202,15127,184,59246,43353,1146,14568,179,96.1,96,95.3,96.3,97.3
Arunachal Pradesh,3543,2922,71,503,47,938,816,15,97,10,26.5,27.9,21.1,19.3,21.3
Assam,58876,44925,3386,5677,4888,44212,42826,322,857,207,75.1,95.3,9.5,15.1,4.2
Bihar,91447,75550,724,8053,7120,45294,39874,256,2832,2332,49.5,52.8,35.4,35.2,32.8
Chandigarh,230,119,7,77,27,207,119,6,71,11,90,100,85.7,92.2,40.7
Chhattisgarh,56333,48728,415,6931,259,45665,41726,257,3565,117,81.1,85.6,61.9,51.4,45.2
"Dadra & Nagar Haveli andDaman & Diu",459,387,8,63,1,452,385,7,59,1,98.5,99.5,87.5,93.7,100
Delhi,5488,2673,245,2570,0,5360,2657,219,2484,0,97.7,99.4,89.4,96.7,0
Goa,1504,806,558,140,0,929,724,168,37,0,61.8,89.8,30.1,26.4,0
Gujarat,53603,34651,5562,13387,3,43578,33140,3514,6922,2,81.3,95.6,63.2,51.7,66.7
Haryana,23561,14443,6,8315,797,16943,12030,5,4625,283,71.9,83.3,83.3,55.6,35.5
Himachal Pradesh,18062,15447,0,2613,2,13961,13378,0,583,0,77.3,86.6,0,22.3,0
Jammu & Kashmir,24278,18785,1,5407,85,10003,8663,1,1325,14,41.2,46.1,100,24.5,16.5
Jharkhand,44596,35764,1149,1583,6100,29493,27123,357,597,1416,66.1,75.8,31.1,37.7,23.2
Karnataka,76090,49520,7029,19531,10,56580,43265,4025,9288,2,74.4,87.4,57.3,47.6,20
Kerala,15934,4811,7178,3095,850,12984,4582,6529,1502,371,81.5,95.2,91,48.5,43.6
Ladakh,979,841,27,111,0,607,568,5,34,0,62,67.5,18.5,30.6,0
Lakshadweep,37,37,0,0,0,36,36,0,0,0,97.3,97.3,0,0,0
Madhya Pradesh,122937,92741,615,28047,1534,115650,92133,520,22128,869,94.1,99.3,84.6,78.9,56.6
Maharashtra,108451,65431,23964,18723,333,101488,63207,22105,15934,242,93.6,96.6,92.2,85.1,72.7
Manipur,4627,2922,583,996,126,1902,1531,152,200,19,41.1,52.4,26.1,20.1,15.1
Meghalaya,14588,7778,4173,2121,516,4581,3574,709,241,57,31.4,46,17,11.4,11
Mizoram,3891,2567,230,1023,71,1800,1588,61,142,9,46.3,61.9,26.5,13.9,12.7
Nagaland,2717,1954,0,762,1,1045,931,0,114,0,38.5,47.6,0,15,0
Odisha,61891,48767,5920,6062,1142,55163,45293,3953,5020,897,89.1,92.9,66.8,82.8,78.5
Puducherry,729,422,33,274,0,496,385,7,104,0,68,91.2,21.2,38,0
Punjab,27592,19245,447,7886,14,21690,17016,224,4445,5,78.6,88.4,50.1,56.4,35.7
Rajasthan,106670,69538,0,34497,2635,71547,52068,0,18911,568,67.1,74.9,0,54.8,21.6
Sikkim,1250,864,18,368,0,512,464,6,42,0,41,53.7,33.3,11.4,0
Tamil Nadu,58150,37658,8279,11969,244,58150,37658,8279,11969,244,100,100,100,100,100
Telangana,42476,29997,670,11707,102,31097,23154,237,7660,46,73.2,77.2,35.4,65.4,45.1
Tripura,4912,4245,43,367,257,3137,2917,30,100,90,63.9,68.7,69.8,27.2,35
Uttar Pradesh,251094,137003,8249,92348,13494,190544,126526,5701,52525,5792,75.9,92.4,69.1,56.9,42.9
Uttarakhand,22618,16381,613,5140,484,16702,13740,339,2471,152,73.8,83.9,55.3,48.1,31.4
West Bengal,94402,82579,79,7887,3857,73648,70115,51,2374,1108,78,84.9,64.6,30.1,28.7
