India/ State/ UT,Total Schools,Number of schools having drinking water facility within school premises – Private unaided,"No. of private unaidedschools not havingdrinking water facilitywithin school premises","Percentage of privateunaided schoolshaving drinking waterfacility within schoolpremises",,,,,,
"",,"Any source ofdrinkingwater",Tap Water,Packed Water,Hand Pump,Well,"UnprotectedWell","Othersources",,
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11)
India,323430,320624,228531,9045,70588,5249,269,6942,2806,99.1
Andaman & Nicobar Islands,70,70,69,1,0,0,0,0,0,100
Andhra Pradesh,15127,15127,12265,1725,845,58,0,234,0,100
Arunachal Pradesh,503,491,435,3,27,17,1,8,12,97.6
Assam,5677,5542,2666,103,2396,221,34,122,135,97.6
Bihar,8053,7812,5065,132,2600,2,0,13,241,97
Chandigarh,77,77,77,0,0,0,0,0,0,100
Chhattisgarh,6931,6926,4124,93,2608,53,1,47,5,99.9
"Dadra & Nagar Haveli andDaman & Diu",63,63,46,7,1,1,0,8,0,100
Delhi,2570,2570,2565,4,0,0,0,1,0,100
Goa,140,140,139,0,0,0,0,1,0,100
Gujarat,13387,13387,11928,344,604,245,12,254,0,100
Haryana,8315,8312,7084,174,537,130,2,385,3,100
Himachal Pradesh,2613,2613,2504,5,59,19,0,26,0,100
Jammu & Kashmir,5407,5383,5003,36,243,61,4,36,24,99.6
Jharkhand,1583,1580,1018,22,501,14,0,25,3,99.8
Karnataka,19531,19505,17668,769,568,221,6,273,26,99.9
Kerala,3095,3095,1514,73,163,1314,4,27,0,100
Ladakh,111,110,72,5,20,2,0,11,1,99.1
Lakshadweep,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,28047,27804,16046,649,10027,660,30,392,243,99.1
Maharashtra,18723,18705,14647,829,1548,759,11,911,18,99.9
Manipur,996,996,541,167,49,40,7,192,0,100
Meghalaya,2121,1150,864,17,73,81,55,60,971,54.2
Mizoram,1023,971,835,15,1,7,0,113,52,94.9
Nagaland,762,660,431,55,25,56,4,89,102,86.6
Odisha,6062,6050,4794,135,1047,44,5,25,12,99.8
Puducherry,274,274,248,4,10,6,0,6,0,100
Punjab,7886,7881,6794,57,671,20,1,338,5,99.9
Rajasthan,34497,33873,27057,732,4415,736,37,896,624,98.2
Sikkim,368,366,360,2,3,0,0,1,2,99.5
Tamil Nadu,11969,11969,11408,171,68,118,0,204,0,100
Telangana,11707,11707,9191,1147,680,103,4,582,0,100
Tripura,367,358,258,11,64,13,1,11,9,97.5
Uttar Pradesh,92348,92212,51504,974,38346,113,3,1272,136,99.9
Uttarakhand,5140,5082,4498,34,449,36,0,65,58,98.9
West Bengal,7887,7763,4813,550,1940,99,47,314,124,98.4
