India/State/ UT,Total Schools,Schools with drinking water facility,Schools with functional drinking water facility,,,,,,,,,,,,
"","Allmanagement","Government.","Government.aided","Pvt.unaided",Others,"Allmanagement","Government.","Government.aided","Pvt.unaided",Others,"Allmanagement","Government.","Government.aided","Pvt.unaided",Others
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16)
India,1466109,1016010,81486,323430,45183,1442621,999814,79325,320624,42858,1404721,975434,78120,310146,41021
Andaman & Nicobar Islands,414,342,2,70,0,414,342,2,70,0,414,342,2,70,0
Andhra Pradesh,61680,45167,1202,15127,184,61676,45163,1202,15127,184,61646,45141,1202,15119,184
Arunachal Pradesh,3543,2922,71,503,47,2953,2347,70,491,45,2468,1894,64,467,43
Assam,58876,44925,3386,5677,4888,56071,44157,2995,5542,3377,54727,43418,2840,5408,3061
Bihar,91447,75550,724,8053,7120,87575,72242,678,7812,6843,85402,70324,664,7716,6698
Chandigarh,230,119,7,77,27,230,119,7,77,27,230,119,7,77,27
Chhattisgarh,56333,48728,415,6931,259,56078,48480,414,6926,258,55146,47687,411,6795,253
"Dadra & Nagar Haveli andDaman & Diu",459,387,8,63,1,459,387,8,63,1,459,387,8,63,1
Delhi,5488,2673,245,2570,0,5488,2673,245,2570,0,5488,2673,245,2570,0
Goa,1504,806,558,140,0,1504,806,558,140,0,1504,806,558,140,0
Gujarat,53603,34651,5562,13387,3,53566,34614,5562,13387,3,53554,34603,5561,13387,3
Haryana,23561,14443,6,8315,797,23535,14420,6,8312,797,23498,14400,6,8296,796
Himachal Pradesh,18062,15447,0,2613,2,18062,15447,0,2613,2,18062,15447,0,2613,2
Jammu & Kashmir,24278,18785,1,5407,85,24149,18681,1,5383,84,23264,17931,1,5249,83
Jharkhand,44596,35764,1149,1583,6100,43885,35103,1135,1580,6067,42785,34143,1094,1569,5979
Karnataka,76090,49520,7029,19531,10,76050,49506,7029,19505,10,75098,48915,6962,19211,10
Kerala,15934,4811,7178,3095,850,15926,4806,7175,3095,850,15897,4791,7169,3089,848
Ladakh,979,841,27,111,0,955,818,27,110,0,905,771,26,108,0
Lakshadweep,37,37,0,0,0,37,37,0,0,0,37,37,0,0,0
Madhya Pradesh,122937,92741,615,28047,1534,122337,92427,608,27804,1498,115517,87028,589,26503,1397
Maharashtra,108451,65431,23964,18723,333,107974,64979,23957,18705,333,106676,63978,23844,18523,331
Manipur,4627,2922,583,996,126,4627,2922,583,996,126,4627,2922,583,996,126
Meghalaya,14588,7778,4173,2121,516,8240,4173,2624,1150,293,7157,3490,2338,1065,264
Mizoram,3891,2567,230,1023,71,3590,2321,227,971,71,3547,2292,225,960,70
Nagaland,2717,1954,0,762,1,1855,1194,0,660,1,1718,1078,0,639,1
Odisha,61891,48767,5920,6062,1142,61815,48751,5873,6050,1141,61386,48489,5781,5992,1124
Puducherry,729,422,33,274,0,729,422,33,274,0,729,422,33,274,0
Punjab,27592,19245,447,7886,14,27575,19233,447,7881,14,27504,19201,446,7845,12
Rajasthan,106670,69538,0,34497,2635,103803,67436,0,33873,2494,95901,62732,0,30944,2225
Sikkim,1250,864,18,368,0,1244,860,18,366,0,1232,851,18,363,0
Tamil Nadu,58150,37658,8279,11969,244,58150,37658,8279,11969,244,58150,37658,8279,11969,244
Telangana,42476,29997,670,11707,102,41271,28851,611,11707,102,38731,26897,568,11174,92
Tripura,4912,4245,43,367,257,4446,3824,41,358,223,3985,3417,38,339,191
Uttar Pradesh,251094,137003,8249,92348,13494,250542,136620,8233,92212,13477,242609,133944,7911,88041,12713
Uttarakhand,22618,16381,613,5140,484,21823,15667,598,5082,476,20681,14878,568,4809,426
West Bengal,94402,82579,79,7887,3857,93987,82328,79,7763,3817,93987,82328,79,7763,3817
