India/State/ UT,Total Boys’ and Co-educational Schools,Schools with boy’s toilet facility,Schools with functional boy’s toilet facility,,,,,,,,,,,,
"","Allmanagement","Government.","Government.aided","Pvt.unaided",Others,"Allmanagement","Government.","Government.aided","Pvt.unaided",Others,"Allmanagement","Government.","Government.aided","Pvt.unaided",Others
(1),(2),(3),(4),( 5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16)
India,1437545,995229,77748,320237,44331,1373880,942459,74309,316955,40157,1308784,892268,72500,306185,37831
Andaman & Nicobar Islands,413,341,2,70,0,413,341,2,70,0,410,338,2,70,0
Andhra Pradesh,60443,44144,1136,15002,161,53162,37104,949,14959,150,52216,36170,945,14951,150
Arunachal Pradesh,3455,2844,63,501,47,3252,2648,63,496,45,2410,1813,63,490,44
Assam,58129,44501,3180,5635,4813,52295,42976,2016,5438,1865,48182,39957,1614,5189,1422
Bihar,90471,74840,668,7886,7077,85502,70283,614,7711,6894,83216,68240,590,7610,6776
Chandigarh,227,119,6,75,27,227,119,6,75,27,227,119,6,75,27
Chhattisgarh,55079,47545,367,6915,252,52786,45284,360,6906,236,49664,42247,353,6839,225
"Dadra & Nagar Haveli andDaman & Diu",455,383,8,63,1,453,381,8,63,1,453,381,8,63,1
Delhi,4710,1974,188,2548,0,4709,1973,188,2548,0,4709,1973,188,2548,0
Goa,1492,806,546,140,0,1492,806,546,140,0,1492,806,546,140,0
Gujarat,51837,33526,5205,13104,2,51121,32878,5156,13085,2,50412,32179,5148,13083,2
Haryana,22490,13419,5,8272,794,22228,13168,5,8263,792,21988,12939,5,8254,790
Himachal Pradesh,17988,15376,0,2610,2,17632,15022,0,2608,2,17478,14878,0,2598,2
Jammu & Kashmir,23934,18466,1,5386,81,21666,16248,1,5338,79,19229,13963,1,5191,74
Jharkhand,43855,35265,1033,1487,6070,43074,34668,932,1472,6002,41954,33691,875,1466,5922
Karnataka,74571,48568,6706,19288,9,73112,47237,6671,19195,9,72327,46480,6665,19174,8
Kerala,15709,4756,7030,3075,848,15631,4718,6994,3071,848,15600,4700,6985,3070,845
Ladakh,952,817,24,111,0,903,769,23,111,0,884,750,23,111,0
Lakshadweep,37,37,0,0,0,37,37,0,0,0,37,37,0,0,0
Madhya Pradesh,120637,90589,561,27968,1519,119155,89413,555,27713,1474,107152,78761,531,26460,1400
Maharashtra,106719,64553,23259,18582,325,102758,60701,23179,18553,325,98647,56829,23089,18404,325
Manipur,4593,2907,569,992,125,3949,2478,375,985,111,3514,2126,321,959,108
Meghalaya,14503,7753,4127,2107,516,12611,7152,3512,1585,362,10663,5954,2990,1395,324
Mizoram,3886,2565,228,1022,71,3667,2404,215,978,70,3308,2075,203,964,66
Nagaland,2714,1954,0,759,1,2422,1683,0,738,1,2055,1329,0,725,1
Odisha,61045,48445,5558,5906,1136,58401,46460,5007,5828,1106,57096,45442,4822,5751,1081
Puducherry,698,396,31,271,0,693,392,30,271,0,693,392,30,271,0
Punjab,27125,18882,422,7807,14,26555,18338,419,7785,13,26250,18098,413,7726,13
Rajasthan,103640,66678,0,34344,2618,98038,62405,0,33376,2257,88390,56532,0,29951,1907
Sikkim,1244,859,17,368,0,1237,853,17,367,0,1230,847,17,366,0
Tamil Nadu,57054,37064,7856,11891,243,48002,28020,7848,11891,243,46869,26891,7848,11887,243
Telangana,40974,28677,602,11612,83,36040,23848,533,11582,77,33405,21226,524,11578,77
Tripura,4887,4223,43,365,256,4460,3876,43,359,182,3552,3018,41,345,148
Uttar Pradesh,247628,135748,7673,91206,13001,243608,132706,7440,90675,12787,232584,127668,7086,86112,11718
Uttarakhand,22290,16141,574,5099,476,21067,15054,543,5004,466,18966,13403,509,4653,401
West Bengal,91661,80068,60,7770,3763,91522,80016,59,7716,3731,91522,80016,59,7716,3731
