India/State/ UT,Percentage of Schools with toilet facility,Percentage of Schools with functional toilet facility,,,,,,,,
"","Allmanagement",Government.,"Government.aided",Pvt. unaided,Others,"Allmanagement",Government.,"Government.aided",Pvt. unaided,Others
(1),(17),(18),(19),(20),(21),(22),(23),(24),(25),(26)
India,98.6,98.8,97.4,99.3,92.4,95.2,95.4,95.1,96,87
Andaman & Nicobar Islands,100,100,100,100,0,100,100,100,100,0
Andhra Pradesh,99.4,99.2,99.1,100,100,99.2,99,99.1,100,100
Arunachal Pradesh,96.6,96.1,100,99,95.7,75,70.2,100,97.8,93.6
Assam,93.3,99.3,73.9,98.1,45.3,89.4,97,59.9,93.9,34.5
Bihar,97.1,96.9,94.1,98.4,97.8,95.1,94.8,91.2,97.2,96.3
Chandigarh,100,100,100,100,100,100,100,100,100,100
Chhattisgarh,99,98.9,100,99.9,98.8,96.6,96.2,98.8,99.2,97.7
"Dadra & Nagar Haveli andDaman & Diu",100,100,100,100,100,100,100,100,100,100
Delhi,100,100,100,100,0,100,100,100,100,0
Goa,100,100,100,100,0,100,100,100,100,0
Gujarat,99.6,99.4,99.7,100,100,99.1,98.7,99.6,100,100
Haryana,99.6,99.4,100,100,100,99.2,98.8,100,99.9,99.7
Himachal Pradesh,99.1,99,0,100,100,98.6,98.4,0,99.7,100
Jammu & Kashmir,97.5,96.8,100,99.6,98.8,89.9,87.7,100,97.1,92.9
Jharkhand,99.3,99.4,94.4,100,99.5,97.2,97.2,89.4,99.6,98.3
Karnataka,99.9,99.9,100,99.8,100,99.4,99.2,99.9,99.7,90
Kerala,100,100,100,100,100,99.9,99.9,100,100,99.9
Ladakh,98.8,98.6,100,100,0,97.9,97.5,100,100,0
Lakshadweep,100,100,0,0,0,100,100,0,0,0
Madhya Pradesh,99.5,99.6,99,99.2,97.9,93.2,92.7,95.1,94.7,93.2
Maharashtra,98.9,98.2,99.9,99.9,100,96.4,94.5,99.5,99.2,100
Manipur,91.9,91.8,79.9,99.8,88.9,82.4,80,68.1,97.2,87.3
Meghalaya,88.8,94.1,87.1,76.9,71.1,76.4,80.3,75.1,67.9,64.3
Mizoram,96.9,96.7,97.4,97.2,98.6,90.6,87.8,94.8,96.4,94.4
Nagaland,92.2,90.2,0,97.4,100,80.1,74,0,95.8,100
Odisha,99.2,99.7,95.2,99.4,98.9,97.7,98.3,92.2,98.1,97
Puducherry,100,100,100,100,0,100,100,100,100,0
Punjab,99.8,99.8,100,99.9,92.9,99.2,99.3,98.9,99.2,92.9
Rajasthan,96.6,96.4,0,97.5,90.2,88.1,88.8,0,87.6,76.4
Sikkim,99.9,99.9,100,100,0,99.8,99.9,100,99.7,0
Tamil Nadu,100,100,100,100,100,98.1,97.1,100,100,100
Telangana,96.9,95.8,91.9,100,98,91.7,88.4,90.4,100,98
Tripura,96,97,100,98.9,75.1,82.5,82.3,100,95.6,64.2
Uttar Pradesh,99.7,99.6,99.6,99.9,99.9,95.5,96.2,94.8,94.9,91.7
Uttarakhand,97.9,97.7,97.6,98.7,99,90.8,90.6,91.5,91.8,85.3
West Bengal,99.9,100,100,99.7,99.4,99.9,100,100,99.7,99.4
