India/State/ UT,Total Schools,"Schools with Library/Book Bank/Reading Cornerfacility","Percentage of Schools with Library/BookBank/Reading Corner facility",,,,,,,,,,,,
"","Allmanagement","Government.","Government.aided","Pvt.unaided",Others,"Allmanagement","Government.","Government.aided","Pvt.unaided",Others,"Allmanagement","Government.","Government.aided","Pvt.unaided",Others
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16)
India,1466109,1016010,81486,323430,45183,1294307,936379,71896,261605,24427,88.3,92.2,88.2,80.9,54.1
Andaman & Nicobar Islands,414,342,2,70,0,412,341,2,69,0,99.5,99.7,100,98.6,0
Andhra Pradesh,61680,45167,1202,15127,184,61678,45166,1201,15127,184,100,100,99.9,100,100
Arunachal Pradesh,3543,2922,71,503,47,1557,1123,65,346,23,43.9,38.4,91.5,68.8,48.9
Assam,58876,44925,3386,5677,4888,52520,44253,2154,4475,1638,89.2,98.5,63.6,78.8,33.5
Bihar,91447,75550,724,8053,7120,54535,44010,390,6086,4049,59.6,58.3,53.9,75.6,56.9
Chandigarh,230,119,7,77,27,226,119,7,77,23,98.3,100,100,100,85.2
Chhattisgarh,56333,48728,415,6931,259,55318,48362,393,6334,229,98.2,99.2,94.7,91.4,88.4
"Dadra & Nagar Haveli andDaman & Diu",459,387,8,63,1,459,387,8,63,1,100,100,100,100,100
Delhi,5488,2673,245,2570,0,5463,2658,241,2564,0,99.5,99.4,98.4,99.8,0
Goa,1504,806,558,140,0,1503,806,557,140,0,99.9,100,99.8,100,0
Gujarat,53603,34651,5562,13387,3,51684,34357,5465,11859,3,96.4,99.2,98.3,88.6,100
Haryana,23561,14443,6,8315,797,22952,14394,5,7917,636,97.4,99.7,83.3,95.2,79.8
Himachal Pradesh,18062,15447,0,2613,2,17309,14993,0,2315,1,95.8,97.1,0,88.6,50
Jammu & Kashmir,24278,18785,1,5407,85,17355,12959,1,4337,58,71.5,69,100,80.2,68.2
Jharkhand,44596,35764,1149,1583,6100,42183,35156,1073,1535,4419,94.6,98.3,93.4,97,72.4
Karnataka,76090,49520,7029,19531,10,74088,48733,6871,18476,8,97.4,98.4,97.8,94.6,80
Kerala,15934,4811,7178,3095,850,15733,4791,7167,3009,766,98.7,99.6,99.8,97.2,90.1
Ladakh,979,841,27,111,0,949,823,22,104,0,96.9,97.9,81.5,93.7,0
Lakshadweep,37,37,0,0,0,37,37,0,0,0,100,100,0,0,0
Madhya Pradesh,122937,92741,615,28047,1534,121011,92645,576,26528,1262,98.4,99.9,93.7,94.6,82.3
Maharashtra,108451,65431,23964,18723,333,106513,65029,23418,17768,298,98.2,99.4,97.7,94.9,89.5
Manipur,4627,2922,583,996,126,1136,307,53,739,37,24.6,10.5,9.1,74.2,29.4
Meghalaya,14588,7778,4173,2121,516,3935,2403,1087,376,69,27,30.9,26,17.7,13.4
Mizoram,3891,2567,230,1023,71,3246,2524,170,522,30,83.4,98.3,73.9,51,42.3
Nagaland,2717,1954,0,762,1,2016,1564,0,451,1,74.2,80,0,59.2,100
Odisha,61891,48767,5920,6062,1142,61355,48708,5644,5935,1068,99.1,99.9,95.3,97.9,93.5
Puducherry,729,422,33,274,0,729,422,33,274,0,100,100,100,100,0
Punjab,27592,19245,447,7886,14,27110,19201,396,7503,10,98.3,99.8,88.6,95.1,71.4
Rajasthan,106670,69538,0,34497,2635,81872,55155,0,26018,699,76.8,79.3,0,75.4,26.5
Sikkim,1250,864,18,368,0,1103,790,13,300,0,88.2,91.4,72.2,81.5,0
Tamil Nadu,58150,37658,8279,11969,244,58150,37658,8279,11969,244,100,100,100,100,100
Telangana,42476,29997,670,11707,102,39122,27798,542,10732,50,92.1,92.7,80.9,91.7,49
Tripura,4912,4245,43,367,257,3668,3330,33,229,76,74.7,78.4,76.7,62.4,29.6
Uttar Pradesh,251094,137003,8249,92348,13494,202445,133078,5422,58128,5817,80.6,97.1,65.7,62.9,43.1
Uttarakhand,22618,16381,613,5140,484,21914,16120,545,4819,430,96.9,98.4,88.9,93.8,88.8
West Bengal,94402,82579,79,7887,3857,83021,76179,63,4481,2298,87.9,92.2,79.7,56.8,59.6
