India/State/ UT,"Allmanagement",Government,"GovernmentAided","PrivateUnaidedRecognized",Others,,,,
"",,Total,KVS,NVS,"Other CentralGovernment","StateGovernment",,,
(1),(2),(3),(4),(5),(6),(7),(9),(10),(11)
India,30.4,28.7,76.8,72.2,41.5,28,39.8,35.1,16.4
Andaman & Nicobar Islands,26.3,26.9,100,66.7,0,26,0,24.3,0
Andhra Pradesh,21.4,16,80,93.3,25,15,17.6,37.8,27.7
Arunachal Pradesh,6.2,4.3,57.9,35.3,0,3,11.3,16.1,10.6
Assam,18.8,21.9,77.6,88.9,0,21,5.8,15.7,3.3
Bihar,15,13.8,46.9,71.8,33.3,13,14.2,24.1,17.5
Chandigarh,76.5,86.6,100,100,50,86,57.1,81.8,22.2
Chhattisgarh,58.8,59.7,86.1,78.6,33.3,59,49.2,54,44.8
"Dadra & Nagar Haveli andDaman & Diu",91.5,94.6,100,66.7,0,94,50,77.8,100
Delhi,99.5,99.9,100,100,0,99,97.6,99.3,0
Goa,7.4,3.8,80,50,0,3,11.5,11.4,0
Gujarat,35.8,45.6,55.6,76.5,60,45,19.5,17.4,0
Haryana,46.2,63.4,68.6,52.4,0,63,33.3,19.4,13.6
Himachal Pradesh,22.9,21.2,76.9,83.3,37.5,21,0,32.6,50
Jammu & Kashmir,6.5,3.8,44.4,35,0,3,0,15.8,10.6
Jharkhand,5.4,4.2,41.5,61.5,16.7,4,6.4,19.8,8.6
Karnataka,16.8,12.8,82.7,83.9,13.3,12,15.4,27.2,0
Kerala,27.6,47.1,73.7,50,0,46,20,18.5,13.3
Ladakh,18.7,20.6,0,50,0,20,0,9,0
Lakshadweep,56.8,56.8,100,100,0,54,0,0,0
Madhya Pradesh,20.6,13.8,78.6,75.9,23.1,13,38.7,43,15.3
Maharashtra,55.7,53,88.1,91.2,81,52,57.3,62.9,61.3
Manipur,6.5,2.6,55.6,63.6,16.7,2,2.2,20.2,7.1
Meghalaya,2.5,2.1,100,16.7,0,1,2.5,3.9,2.3
Mizoram,14.1,19.3,75,14.3,0,19,5.2,3.5,5.6
Nagaland,5.2,4.8,33.3,63.6,0,4,0,6.4,0
Odisha,62.8,65.7,86.4,83.9,58.3,65,47.6,57.2,49.2
Puducherry,37.6,42.7,75,100,0,41,21.2,31.8,0
Punjab,54,56.2,84.6,78.3,50,56,45.6,49.2,42.9
Rajasthan,20,12.5,92.2,85.7,50,12,0,35.9,11.5
Sikkim,23.3,28.8,100,75,0,28,11.1,10.9,0
Tamil Nadu,47.3,18.6,100,0,100,18,100,100,100
Telangana,4.9,4,54.3,77.8,0,3,2.1,7.3,1
Tripura,8.5,8.2,60,50,0,7,18.6,15.3,1.6
Uttar Pradesh,35.4,42.5,80.3,73.7,47.6,42,26.4,28.3,17.3
Uttarakhand,9.5,6.7,75.6,61.5,42.9,6,13.1,17.6,10.5
West Bengal,30.3,29.9,86.9,88.9,48.8,29,25.3,34.5,28.9
