India/State/ UT,"Allmanagement",Government,"GovernmentAided","PrivateUnaidedRecognized",Others,,,,
"",,Total,KVS,NVS,"Other CentralGovernment","StateGovernment",,,
(1),(2),(3),(4),(5),(6),(7),(9),(10),(11)
India,7.4,6,30.9,39,15.5,5.9,18.1,9.6,2.7
Andaman & Nicobar Islands,1.9,1.5,100,66.7,0,0.3,0,4.3,0
Andhra Pradesh,13.1,9.6,37.1,60,25,9.5,9.5,23.9,15.2
Arunachal Pradesh,0.9,0.4,0,11.8,0,0.4,1.4,3.6,0
Assam,0.5,0.4,17.2,44.4,0,0.4,0.2,1.6,0.1
Bihar,1.2,0.6,28.6,30.8,16.7,0.5,1.2,5.6,2.5
Chandigarh,10.4,5.9,50,0,0,4.5,0,22.1,0
Chhattisgarh,1.6,1.2,41.7,21.4,16.7,1.2,3.1,4.3,0.8
"Dadra & Nagar Haveli andDaman & Diu",1.1,0.8,0,0,0,0.8,0,3.2,0
Delhi,5.2,4.6,41.3,50,0,3.9,0.8,6.2,0
Goa,2.1,0.7,0,0,0,0.8,3.2,5,0
Gujarat,2.2,1,20,32.4,0,0.9,1.2,5.9,0
Haryana,3,0.9,25.7,42.9,25,0.7,0,6.6,4
Himachal Pradesh,1.2,0.5,26.9,33.3,12.5,0.4,0,5.2,0
Jammu & Kashmir,1.4,0.7,22.2,40,0,0.6,0,3.9,2.4
Jharkhand,1.7,1.3,17.1,38.5,0,1.3,0.5,5.8,3.5
Karnataka,3.8,1.3,28.8,45.2,20,1.3,3.1,10.2,10
Kerala,29.5,32.4,55.3,71.4,50,32.1,30.8,23.8,23.2
Ladakh,4.7,5.4,100,50,0,4.9,0,0.9,0
Lakshadweep,5.4,5.4,100,100,0,0,0,0,0
Madhya Pradesh,2,0.9,30.4,38.9,7.7,0.8,1,5.7,1.4
Maharashtra,7.8,6.7,33.9,52.9,9.5,6.7,8.1,11.1,6
Manipur,1.3,0.6,22.2,54.5,8.3,0.3,0.2,3.8,2.4
Meghalaya,0.7,0.3,28.6,25,0,0.2,1.6,0.8,0.4
Mizoram,0.1,0.2,25,28.6,0,0,0,0,0
Nagaland,1.3,0.7,16.7,18.2,0,0.6,0,2.5,100
Odisha,12.8,11.3,34.8,38.7,16.7,11.3,28.3,10,8.3
Puducherry,4.5,2.1,25,100,0,1,0,8.8,0
Punjab,6,6.3,23.1,34.8,0,6.2,1.8,5.5,7.1
Rajasthan,1.7,0.7,28.6,40,12.5,0.7,0,3.8,0.3
Sikkim,4.8,6,50,25,0,5.8,0,2.2,0
Tamil Nadu,100,100,100,0,100,100,100,100,100
Telangana,2.4,0.6,20,44.4,11.1,0.5,0.7,7.2,2
Tripura,0.9,1,30,75,0,0.8,0,0.8,0.4
Uttar Pradesh,1.5,0.7,27,35.5,4.8,0.7,1.4,2.9,0.8
Uttarakhand,1.3,0.7,15.6,38.5,28.6,0.6,0.8,3.6,1.7
West Bengal,0.4,0.2,27.9,44.4,0,0.2,2.5,2.2,0.9
