India/State/ UT,"Allmanagement",Government,"GovernmentAided","PrivateUnaidedRecognized",Others,,,,
"",,Total,KVS,NVS,"Other CentralGovernment","StateGovernment",,,
(1),(2),(3),(4),(5),(6),(7),(9),(10),(11)
India,11.5,8.1,33.4,31.2,22.2,7.6,9.9,15.6,5.7
Andaman & Nicobar Islands,13.1,14.0,50.0,33.3,0.0,12.6,0.0,10.0,0.0
Andhra Pradesh,21.1,15.9,27.3,60.0,28.6,15.7,13.7,26.6,25.0
Arunachal Pradesh,13.8,8.2,12.5,29.4,0.0,6.8,38.2,23.1,0.0
Assam,7.2,9.6,41.1,25.9,0.0,9.1,0.6,7.0,0.4
Bihar,9.6,7.0,29.2,41.0,50.0,6.7,6.9,22.3,6.9
Chandigarh,13.3,8.7,0.0,100.0,100.0,6.3,0.0,23.7,0.0
Chhattisgarh,10.5,10.1,41.2,28.6,0.0,9.8,7.5,11.3,0.0
"Dadra & Nagar Haveli andDaman & Diu",16.0,13.6,0.0,33.3,0.0,13.0,12.5,21.9,0.0
Delhi,23.4,20.5,52.2,0.0,0.0,19.2,12.4,29.2,0.0
Goa,9.3,8.4,20.0,0.0,0.0,8.0,7.7,31.4,0.0
Gujarat,10.7,6.1,31.1,20.6,0.0,5.3,10.2,12.7,0.0
Haryana,11.3,4.5,34.4,19.0,50.0,4.1,40.0,15.7,6.7
Himachal Pradesh,4.8,2.3,28.0,16.7,33.3,2.0,0.0,10.1,0.0
Jammu & Kashmir,10.5,5.1,35.3,30.0,0.0,4.5,0.0,18.4,8.3
Jharkhand,10.3,7.0,27.0,26.9,9.1,6.5,9.4,18.6,7.4
Karnataka,14.6,10.0,30.0,64.5,28.6,9.5,9.5,19.5,0.0
Kerala,25.3,23.4,44.7,35.7,0.0,22.6,24.9,27.2,14.8
Ladakh,19.4,20.8,100.0,0.0,0.0,20.0,0.0,14.7,0.0
Lakshadweep,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Madhya Pradesh,14.2,7.6,41.1,24.1,20.0,7.1,16.0,21.9,0.0
Maharashtra,9.2,9.0,27.1,32.4,12.5,7.9,8.2,11.1,8.9
Manipur,16.0,6.8,22.2,27.3,30.0,5.4,2.2,24.4,0.0
Meghalaya,6.8,12.3,28.6,16.7,0.0,10.9,8.2,5.1,5.0
Mizoram,4.8,7.9,50.0,42.9,0.0,6.7,5.1,1.6,5.9
Nagaland,14.9,8.3,0.0,36.4,0.0,7.4,0.0,19.4,0.0
Odisha,19.9,20.4,35.0,23.3,50.0,20.2,15.3,28.6,17.0
Puducherry,10.5,8.5,25.0,75.0,0.0,6.0,3.3,12.8,0.0
Punjab,8.9,4.3,39.2,26.1,20.0,3.7,3.0,12.7,0.0
Rajasthan,8.0,4.1,32.0,34.3,0.0,4.0,0.0,12.3,4.8
Sikkim,35.2,33.2,50.0,25.0,0.0,33.2,27.3,48.7,0.0
Tamil Nadu,6.4,7.9,41.9,0.0,11.1,7.7,4.9,5.3,0.0
Telangana,2.4,3.0,17.1,44.4,12.5,2.8,1.1,1.8,0.0
Tripura,11.2,10.4,44.4,25.0,0.0,10.0,9.1,18.4,0.0
Uttar Pradesh,15.7,8.9,30.1,25.7,27.8,7.3,11.8,18.3,6.0
Uttarakhand,12.6,7.7,23.3,61.5,42.9,7.0,8.7,24.4,2.1
West Bengal,6.0,4.8,30.5,22.2,21.9,4.5,17.1,18.5,3.8
